,Back_9_Round_3_Scoring_Average_RANK THIS WEEK,Back_9_Round_3_Scoring_Average_RANK LAST WEEK,Back_9_Round_3_Scoring_Average_PLAYER NAME,Back_9_Round_3_Scoring_Average_AVG,Back_9_Round_3_Scoring_Average_TOTAL STROKES,Back_9_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Steve Stricker,34.33,618,18
1,2,2,Justin Rose,34.36,481,14
2,3,3,Bob Estes,34.38,550,16
3,4,4,Boo Weekley,34.41,757,22
4,5,5,Matt Kuchar,34.44,551,16
5,6,6,Bo Van Pelt,34.45,758,22
6,7,7,Justin Leonard,34.53,656,19
7,8,8,Adam Scott,34.56,553,16
8,9,9,Camilo Villegas,34.59,588,17
9,10,10,Jonathan Byrd,34.62,450,13
10,11,11,Paul Stankowski,34.63,277,8
11,T12,T12,Jeff Maggert,34.67,520,15
12,T12,T12,Hunter Mahan,34.67,624,18
13,14,14,K.J. Choi,34.7,694,20
14,T15,T15,Johnson Wagner,34.73,521,15
15,T15,T15,Tiger Woods,34.73,521,15
16,T17,T17,Charles Warren,34.76,730,21
17,T17,T17,Nick Watney,34.76,591,17
18,19,19,Lee Janzen,34.78,313,9
19,20,20,Luke Donald,34.8,522,15
20,21,21,Stephen Ames,34.82,592,17
21,T22,T22,George McNeill,34.83,627,18
22,T22,T22,Dean Wilson,34.83,627,18
23,24,24,Chris Riley,34.85,453,13
24,25,25,John Rollins,34.86,767,22
25,T26,T26,Jeff Brehaut,34.89,314,9
26,T26,T26,Steve Flesch,34.89,663,19
27,28,28,Tim Petrovic,34.9,733,21
28,29,29,Ernie Els,34.93,489,14
29,T30,T30,Rich Beem,34.94,629,18
30,T30,T30,Joe Durant,34.94,559,16
31,T32,T32,Daniel Chopra,35.0,700,20
32,T32,T32,Brendon de Jonge,35.0,420,12
33,T32,T32,J.B. Holmes,35.0,420,12
34,T32,T32,Zach Johnson,35.0,595,17
35,T32,T32,Kent Jones,35.0,665,19
36,T32,T32,Jay Williamson,35.0,385,11
37,T38,T38,Jim Furyk,35.05,666,19
38,T38,T38,Doug LaBelle II,35.05,666,19
39,40,40,Alex Cejka,35.06,561,16
40,41,41,Trevor Immelman,35.07,491,14
41,42,42,Fred Funk,35.08,421,12
42,43,43,Dicky Pride,35.09,386,11
43,T44,T44,Woody Austin,35.1,702,20
44,T44,T44,Paul Gow,35.1,351,10
45,T46,T46,Aaron Baddeley,35.11,632,18
46,T46,T46,Troy Matteson,35.11,632,18
47,T46,T46,Geoff Ogilvy,35.11,632,18
48,T49,T49,Sergio Garcia,35.13,527,15
49,T49,T49,Stephen Leaney,35.13,562,16
50,T49,T49,Kevin Na,35.13,562,16
51,52,52,Jim Rutledge,35.14,246,7
52,53,53,Cameron Beckman,35.16,668,19
53,54,54,Rory Sabbatini,35.17,633,18
54,55,55,Tom Pernice Jr.,35.19,739,21
55,T56,T56,Steve Allan,35.21,493,14
56,T56,T56,Mike Weir,35.21,669,19
57,T58,T58,Kenny Perry,35.22,634,18
58,T58,T58,Michael Sim,35.22,317,9
59,60,60,Sean O'Hair,35.23,775,22
60,61,61,Lucas Glover,35.24,740,21
61,T62,T62,Stewart Cink,35.25,705,20
62,T62,T62,Ryan Palmer,35.25,564,16
63,64,64,Brian Davis,35.26,811,23
64,T65,T65,J.P. Hayes,35.28,635,18
65,T65,T65,Mark Wilson,35.28,635,18
66,67,67,John Senden,35.29,741,21
67,T68,T68,José María Olazábal,35.3,353,10
68,T68,T68,Jason Schultz,35.3,353,10
69,70,70,Shaun Micheel,35.31,565,16
70,71,71,John Mallinger,35.32,671,19
71,T72,T72,Mark Brooks,35.33,318,9
72,T72,T72,Tom Byrum,35.33,212,6
73,T72,T72,Harrison Frazar,35.33,424,12
74,T72,T72,Rod Pampling,35.33,742,21
75,T72,T72,Vaughn Taylor,35.33,636,18
76,T77,T77,Robert Garrigus,35.35,707,20
77,T77,T77,Brandt Snedeker,35.35,813,23
78,T79,T79,Paul Goydos,35.36,389,11
79,T79,T79,Steve Marino,35.36,778,22
80,T79,T79,Jeff Overton,35.36,389,11
81,T79,T79,Heath Slocum,35.36,778,22
82,T83,T83,Bill Haas,35.38,566,16
83,T83,T83,Shigeki Maruyama,35.38,460,13
84,T85,T85,Michael Boyd,35.4,354,10
85,T85,T85,Anders Hansen,35.4,354,10
86,87,87,Mathias Grönberg,35.41,602,17
87,T88,T88,Briny Baird,35.42,921,26
88,T88,T88,D.J. Brigman,35.42,425,12
89,90,90,Tim Clark,35.43,496,14
90,T91,T91,José Coceres,35.44,319,9
91,T91,T91,Jeff Quinney,35.44,638,18
92,T93,T93,Anthony Kim,35.45,709,20
93,T93,T93,Joe Ogilvie,35.45,709,20
94,T95,T95,Peter Lonard,35.47,532,15
95,T95,T95,Brett Quigley,35.47,532,15
96,T97,T97,Jason Bohn,35.5,426,12
97,T97,T97,Robert Gamez,35.5,497,14
98,T97,T97,Tom Lehman,35.5,426,12
99,T97,T97,David Toms,35.5,639,18
100,T97,T97,Scott Verplank,35.5,639,18
101,T102,T102,Ken Duke,35.52,888,25
102,T102,T102,Brian Gay,35.52,746,21
103,T104,T104,Robert Allenby,35.53,604,17
104,T104,T104,Jason Gore,35.53,604,17
105,T104,T104,Bob Tway,35.53,675,19
106,107,107,Nick O'Hern,35.54,462,13
107,T108,T108,D.J. Trahan,35.55,711,20
108,T108,T108,Duffy Waldorf,35.55,391,11
109,T110,T110,Tommy Armour III,35.56,569,16
110,T110,T110,Jason Dufner,35.56,640,18
111,T110,T110,Ryan Moore,35.56,640,18
112,113,113,Mark Calcavecchia,35.58,676,19
113,T114,T114,Mathew Goggin,35.6,712,20
114,T114,T114,Freddie Jacobson,35.6,534,15
115,T114,T114,Carl Pettersson,35.6,890,25
116,117,117,Cliff Kresge,35.61,819,23
117,118,118,Joey Sindelar,35.62,463,13
118,T119,T119,Bart Bryant,35.63,677,19
119,T119,T119,Steve Elkington,35.63,677,19
120,T119,T119,Bryce Molder,35.63,285,8
121,122,122,Kevin Sutherland,35.65,606,17
