,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Tiger Woods,63,69.02,2830,41
1,2,2,Billy Mayfair,98,69.44,2222,32
2,3,3,Woody Austin,95,69.72,2022,29
3,4,4,Ernie Els,59,69.73,2092,30
4,5,5,Heath Slocum,101,69.8,2443,35
5,6,6,Rory Sabbatini,81,69.86,2445,35
6,7,7,Jay Williamson,50,69.91,769,11
7,T8,T8,Sergio Garcia,68,70.0,2380,34
8,T8,T8,Jeff Overton,60,70.0,1190,17
9,10,10,Tommy Armour III,81,70.05,1471,21
10,11,11,Ian Poulter,63,70.06,1121,16
11,12,12,Freddie Jacobson,70,70.12,2384,34
12,13,13,Phil Mickelson,73,70.13,2665,38
13,14,14,Jonathan Byrd,73,70.17,2035,29
14,15,15,Ken Duke,112,70.18,1965,28
15,16,16,Steve Stricker,81,70.2,2457,35
16,17,17,John Senden,97,70.24,2388,34
17,18,18,Charles Howell III,89,70.3,2320,33
18,T19,T19,Michael Allen,74,70.32,1336,19
19,T19,T19,Chris Riley,59,70.32,1336,19
20,21,21,Tom Lehman,62,70.35,1618,23
21,22,22,Will MacKenzie,100,70.37,2111,30
22,23,23,Jim Furyk,84,70.38,3378,48
23,24,24,Cameron Beckman,96,70.41,2394,34
24,25,25,Steve Marino,106,70.43,2606,37
25,26,26,Hunter Mahan,91,70.45,2184,31
26,27,27,Adam Scott,69,70.46,2607,37
27,28,28,K.J. Choi,87,70.47,3030,43
28,29,29,Steve Allan,63,70.48,1480,21
29,30,30,Ryuji Imada,104,70.5,2538,36
30,31,31,Stewart Cink,91,70.51,2468,35
31,32,32,Kent Jones,97,70.52,1763,25
32,33,33,Robert Garrigus,95,70.54,1975,28
33,34,34,José Coceres,50,70.55,1411,20
34,T35,T35,Brian Davis,101,70.58,1694,24
35,T35,T35,Bob Estes,88,70.58,1694,24
36,T35,T35,Nathan Green,103,70.58,2541,36
37,T38,T38,Joe Ogilvie,102,70.59,2259,32
38,T38,T38,Carl Pettersson,111,70.59,3106,44
39,40,40,Bob Heintz,85,70.6,1765,25
40,T41,T41,Fred Funk,65,70.61,1271,18
41,T41,T41,Bo Van Pelt,104,70.61,2189,31
42,T43,T43,Pat Perez,84,70.62,2048,29
43,T43,T43,Kenny Perry,83,70.62,2048,29
44,T43,T43,Vijay Singh,102,70.62,3672,52
45,46,46,Shaun Micheel,91,70.65,1837,26
46,47,47,Daniel Chopra,106,70.69,2262,32
47,T48,T48,Shigeki Maruyama,84,70.7,1626,23
48,T48,T48,Mike Weir,82,70.7,2121,30
49,T50,T50,Paul Goydos,60,70.71,1202,17
50,T50,T50,Boo Weekley,101,70.71,2192,31
51,52,52,Tag Ridings,52,70.73,1061,15
52,53,53,Stephen Leaney,82,70.76,2052,29
53,T54,T54,J.P. Hayes,89,70.77,1840,26
54,T54,T54,Zach Johnson,76,70.77,2477,35
55,T56,T56,Tim Clark,66,70.79,2053,29
56,T56,T56,Jeff Quinney,95,70.79,2053,29
57,58,58,Scott Verplank,82,70.81,2549,36
58,T59,T59,Peter Lonard,85,70.82,1983,28
59,T59,T59,Kevin Na,84,70.82,1558,22
60,61,61,Anthony Kim,93,70.83,2054,29
61,T62,T62,Chad Campbell,96,70.85,1842,26
62,T62,T62,Dean Wilson,92,70.85,1842,26
63,T64,T64,Briny Baird,115,70.86,2551,36
64,T64,T64,Anders Hansen,55,70.86,1488,21
65,T64,T64,Duffy Waldorf,69,70.86,1559,22
66,T67,T67,Justin Rose,63,70.88,1701,24
67,T67,T67,D.J. Trahan,99,70.88,2410,34
68,69,69,Jesper Parnevik,88,70.89,1985,28
69,T70,T70,George McNeill,95,70.9,2056,29
70,T70,T70,Brandt Snedeker,105,70.9,2836,40
71,T70,T70,Chris Stroud,66,70.9,1489,21
72,73,73,Jason Gore,86,70.91,2340,33
73,74,74,Camilo Villegas,82,70.94,2483,35
74,75,75,Aaron Baddeley,83,70.97,2555,36
75,76,76,John Merrick,92,71.04,1634,23
76,T77,T77,Glen Day,85,71.06,1279,18
77,T77,T77,Sean O'Hair,98,71.06,2558,36
78,T79,T79,Steve Elkington,87,71.07,1919,27
79,T79,T79,David Toms,80,71.07,1990,28
80,T81,T81,Mathias Grönberg,95,71.08,1777,25
81,T81,T81,Tripp Isenhour,86,71.08,1706,24
82,T81,T81,John Mallinger,96,71.08,1706,24
83,84,84,Charlie Wi,90,71.09,2488,35
84,T85,T85,Ryan Armour,107,71.1,2204,31
85,T85,T85,Alex Cejka,80,71.1,1493,21
86,T87,T87,Ryan Moore,92,71.11,1991,28
87,T87,T87,Bubba Watson,80,71.11,1920,27
88,89,89,Billy Andrade,88,71.13,2205,31
89,90,90,Tim Petrovic,106,71.15,1921,27
90,T91,T91,Craig Bowden,78,71.17,1281,18
91,T91,T91,Mathew Goggin,97,71.17,2064,29
92,93,93,Jarrod Lyle,77,71.18,1566,22
93,T94,T94,Robert Allenby,90,71.19,2563,36
94,T94,T94,Kevin Sutherland,85,71.19,2278,32
95,96,96,Troy Matteson,87,71.21,2065,29
96,97,97,Bill Haas,93,71.22,2279,32
97,98,98,Michael Sim,52,71.24,1211,17
98,99,99,Dicky Pride,71,71.25,1710,24
99,T100,T100,Brian Bateman,55,71.27,784,11
100,T100,T100,Chris Tidland,59,71.27,784,11
101,102,102,Brian Gay,107,71.28,2566,36
102,T103,T103,Robert Gamez,88,71.29,1497,21
103,T103,T103,Craig Kanada,109,71.29,2495,35
104,T103,T103,Jerry Kelly,101,71.29,2923,41
105,T103,T103,Jason Schultz,63,71.29,1212,17
106,107,107,Lucas Glover,98,71.31,2781,39
107,T108,T108,Stephen Ames,81,71.32,2425,34
108,T108,T108,Doug LaBelle II,104,71.32,1783,25
109,T108,T108,Justin Leonard,95,71.32,1783,25
110,111,111,Bart Bryant,87,71.34,2069,29
111,112,112,Steve Flesch,100,71.35,1855,26
112,113,113,Craig Lile,77,71.36,1570,22
113,114,114,Parker McLachlin,83,71.37,1356,19
114,T115,T115,Gavin Coles,87,71.38,1499,21
115,T115,T115,Mark Wilson,87,71.38,1499,21
116,117,117,Jeff Maggert,79,71.42,1857,26
117,118,118,Arron Oberholser,69,71.44,1929,27
118,119,119,Joey Sindelar,75,71.45,1429,20
119,120,120,Johnson Wagner,97,71.46,2001,28
120,T121,T121,Jason Dufner,100,71.47,2144,30
121,T121,T121,Bob Tway,103,71.47,2287,32
122,123,123,Steve Wheatcroft,73,71.48,1787,25
123,124,124,Rich Beem,89,71.5,2145,30
124,125,125,John Rollins,102,71.51,2503,35
125,126,126,Mark Hensby,81,71.52,1502,21
126,T127,T127,Mark Brooks,53,71.53,1216,17
127,T127,T127,Richard Johnson,93,71.53,1216,17
128,T127,T127,Steve Lowery,74,71.53,1359,19
129,T130,T130,Tom Byrum,50,71.54,930,13
130,T130,T130,Frank Lickliter II,95,71.54,1717,24
131,132,132,Matt Kuchar,85,71.55,1574,22
132,T133,T133,Marco Dawson,73,71.56,1145,16
133,T133,T133,Nick Watney,87,71.56,1932,27
134,135,135,Tom Johnson,74,71.57,1002,14
135,T136,T136,Geoff Ogilvy,84,71.58,2720,38
136,T136,T136,Tom Pernice Jr.,104,71.58,2720,38
137,138,138,Stuart Appleby,74,71.61,2363,33
138,139,139,Daisuke Maruyama,86,71.62,1504,21
139,140,140,Charles Warren,101,71.67,2150,30
140,141,141,Rich Barcelo,80,71.68,1362,19
141,142,142,Luke Donald,69,71.69,1864,26
142,143,143,J.B. Holmes,71,71.71,1506,21
143,144,144,Jason Bohn,57,71.72,1793,25
144,T145,T145,Brendon de Jonge,76,71.74,1650,23
145,T145,T145,Joe Durant,88,71.74,1937,27
146,T145,T145,Brett Wetterich,88,71.74,1937,27
147,148,148,Mark Calcavecchia,93,71.75,2009,28
148,149,149,Bubba Dickerson,51,71.76,1220,17
149,150,150,Jeff Gove,103,71.77,1866,26
150,T151,T151,Tim Herron,98,71.79,1723,24
151,T151,T151,Cliff Kresge,107,71.79,2728,38
152,153,153,Nick O'Hern,72,71.8,2154,30
153,154,154,Andrew Buckle,77,71.83,1724,24
154,155,155,Retief Goosen,50,71.86,1006,14
155,156,156,Michael Putnam,96,71.91,2301,32
156,157,157,Lee Janzen,66,71.94,1223,17
157,158,158,J.J. Henry,86,71.96,1727,24
158,T159,T159,Craig Barlow,52,72.0,360,5
159,T159,T159,Jeff Brehaut,59,72.0,1152,16
160,T159,T159,Trevor Immelman,74,72.0,2160,30
161,T159,T159,José María Olazábal,52,72.0,1080,15
162,T159,T159,Jim Rutledge,59,72.0,792,11
163,164,164,Rod Pampling,92,72.03,2377,33
164,165,165,Kirk Triplett,77,72.05,1369,19
165,166,166,Scott Gutschewski,67,72.06,1153,16
166,167,167,Padraig Harrington,64,72.09,2451,34
167,168,168,Vaughn Taylor,91,72.1,2163,30
168,169,169,Rocco Mediate,72,72.15,1443,20
169,170,170,Darron Stiles,65,72.16,1371,19
170,T171,T171,Brett Quigley,79,72.17,1732,24
171,T171,T171,Jaco Van Zyl,51,72.17,1299,18
172,T173,T173,Charley Hoffman,97,72.19,2310,32
173,T173,T173,Ted Purdy,102,72.19,1949,27
174,175,175,Harrison Frazar,88,72.23,1589,22
175,176,176,Chris Couch,76,72.27,1590,22
176,177,177,Corey Pavin,81,72.29,1518,21
177,T178,T178,Ben Curtis,80,72.33,1302,18
178,T178,T178,Ryan Palmer,91,72.33,2170,30
179,180,180,Eric Axley,107,72.37,1954,27
180,181,181,D.J. Brigman,67,72.4,1448,20
181,182,182,Davis Love III,66,72.42,1738,24
182,183,183,Paul Stankowski,52,72.44,1159,16
183,184,184,Paul Gow,70,72.5,1160,16
184,185,185,Matt Hendrix,63,72.53,1378,19
185,186,186,Greg Owen,81,72.58,1379,19
186,187,187,Kevin Stadler,95,72.68,1817,25
187,188,188,John Daly,59,72.83,874,12
188,189,189,Chris DiMarco,79,72.96,2043,28
189,190,190,Henrik Stenson,52,73.0,1460,20
190,191,191,David Branshaw,83,73.12,1243,17
191,192,192,Jeff Sluman,60,73.13,1097,15
192,193,193,Todd Hamilton,76,73.18,1244,17
193,194,194,Bryce Molder,56,73.21,1025,14
194,195,195,Michael Boyd,61,73.29,1246,17
195,196,196,Kyle Reifers,71,73.44,1175,16
