,Front_9_Par_4_Scoring_Average_RANK THIS WEEK,Front_9_Par_4_Scoring_Average_RANK LAST WEEK,Front_9_Par_4_Scoring_Average_PLAYER NAME,Front_9_Par_4_Scoring_Average_ROUNDS,Front_9_Par_4_Scoring_Average_AVG,Front_9_Par_4_Scoring_Average_TOTAL STROKES,Front_9_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,63,3.94,1323,336
1,2,2,Bo Van Pelt,104,3.95,2264,573
2,T3,T3,Heath Slocum,101,3.97,2218,559
3,T3,T3,Steve Stricker,81,3.97,1777,448
4,T5,T5,Tag Ridings,52,3.98,1098,276
5,T5,T5,Chris Riley,59,3.98,1271,319
6,T5,T5,Vijay Singh,102,3.98,2242,563
7,T8,T8,Freddie Jacobson,70,3.99,1511,379
8,T8,T8,Geoff Ogilvy,84,3.99,1733,434
9,T8,T8,Jeff Overton,60,3.99,1286,322
10,T11,T11,Alex Cejka,80,4.0,1732,433
11,T11,T11,Brian Davis,101,4.0,2214,554
12,T11,T11,Anthony Kim,93,4.0,2047,512
13,T11,T11,Kenny Perry,83,4.0,1825,456
14,T11,T11,Scott Verplank,82,4.0,1832,458
15,T16,T16,Ernie Els,59,4.01,1308,326
16,T16,T16,Jim Furyk,84,4.01,1830,456
17,T16,T16,Lucas Glover,98,4.01,2127,531
18,T16,T16,Cliff Kresge,107,4.01,2360,588
19,T16,T16,Billy Mayfair,98,4.01,2168,541
20,T16,T16,Kevin Na,84,4.01,1820,454
21,T16,T16,Jesper Parnevik,88,4.01,1911,477
22,T16,T16,Rory Sabbatini,81,4.01,1764,440
23,T16,T16,Brandt Snedeker,105,4.01,2342,584
24,T16,T16,Jay Williamson,50,4.01,1083,270
25,T26,T26,Robert Allenby,90,4.02,2004,498
26,T26,T26,Briny Baird,115,4.02,2514,626
27,T26,T26,Cameron Beckman,96,4.02,2097,522
28,T26,T26,Ken Duke,112,4.02,2446,609
29,T26,T26,Zach Johnson,76,4.02,1666,414
30,T26,T26,John Merrick,92,4.02,2040,507
31,T26,T26,Justin Rose,63,4.02,1364,339
