,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Tiger Woods,63,26.98,17,63
1,2,2,Padraig Harrington,64,25.23,28,111
2,3,3,Ryan Moore,92,23.14,28,121
3,4,4,Ken Duke,112,22.81,26,114
4,5,5,Tag Ridings,52,22.62,19,84
5,6,6,Bubba Watson,80,21.8,29,133
6,7,7,Scott Verplank,82,21.74,15,69
7,8,8,Robert Garrigus,95,21.69,36,166
8,9,9,Jesper Parnevik,88,21.19,32,151
9,10,10,Robert Allenby,90,20.59,28,136
10,11,11,Craig Bowden,78,20.41,20,98
11,12,12,Freddie Jacobson,70,20.0,23,115
12,13,13,J.B. Holmes,71,19.72,28,142
13,14,14,Dean Wilson,92,19.35,24,124
14,15,15,Ernie Els,59,19.18,14,73
15,16,16,Marco Dawson,73,19.05,20,105
16,17,17,Vaughn Taylor,91,19.01,23,121
17,18,18,John Daly,59,18.6,24,129
18,19,19,Daniel Chopra,106,18.23,35,192
19,20,20,Rod Pampling,92,18.18,22,121
20,21,21,John Mallinger,96,18.1,21,116
21,22,22,Sergio Garcia,68,18.05,24,133
22,T23,T23,Steve Allan,63,17.98,16,89
23,T23,T23,Jason Bohn,57,17.98,16,89
24,25,25,Jason Gore,86,17.76,19,107
25,26,26,Joey Sindelar,75,17.65,18,102
26,27,27,Stewart Cink,91,17.54,20,114
27,28,28,Bill Haas,93,17.46,22,126
28,29,29,J.P. Hayes,89,17.42,23,132
29,30,30,Mike Weir,82,17.24,15,87
30,31,31,Jay Williamson,50,17.19,11,64
31,32,32,Brian Davis,101,17.17,17,99
32,33,33,Charley Hoffman,97,17.12,25,146
33,34,34,Lucas Glover,98,17.07,21,123
34,35,35,Frank Lickliter II,95,16.81,20,119
35,36,36,Nathan Green,103,16.76,29,173
36,T37,T37,Bob Estes,88,16.67,18,108
37,T37,T37,José María Olazábal,52,16.67,11,66
38,39,39,Jeff Maggert,79,16.53,20,121
39,40,40,Todd Hamilton,76,16.48,15,91
40,41,41,Rich Barcelo,80,16.38,19,116
41,42,42,Kevin Sutherland,85,16.26,20,123
42,43,43,Ian Poulter,63,16.13,10,62
43,44,44,Rich Beem,89,16.1,19,118
44,45,45,Charlie Wi,90,16.0,20,125
45,46,46,Ryuji Imada,104,15.95,26,163
46,47,47,Retief Goosen,50,15.87,10,63
47,48,48,Mathias Grönberg,95,15.82,28,177
48,49,49,Brett Quigley,79,15.79,21,133
49,50,50,Kevin Stadler,95,15.72,25,159
50,51,51,Tom Pernice Jr.,104,15.7,19,121
51,52,52,John Merrick,92,15.6,17,109
52,53,53,Camilo Villegas,82,15.45,17,110
53,54,54,Kevin Na,84,15.33,21,137
54,55,55,Mark Calcavecchia,93,15.32,19,124
55,56,56,Chris Couch,76,15.17,22,145
56,57,57,Rory Sabbatini,81,15.09,16,106
57,58,58,Woody Austin,95,15.0,18,120
58,59,59,Joe Durant,88,14.94,13,87
59,60,60,Mathew Goggin,97,14.88,18,121
60,61,61,George McNeill,95,14.84,19,128
61,62,62,Jason Dufner,100,14.81,24,162
62,63,63,Richard Johnson,93,14.79,21,142
63,64,64,Tommy Armour III,81,14.74,14,95
64,65,65,Craig Barlow,52,14.71,10,68
65,66,66,Daisuke Maruyama,86,14.66,17,116
66,T67,T67,Will MacKenzie,100,14.65,23,157
67,T67,T67,Bob Tway,103,14.65,29,198
68,69,69,Bart Bryant,87,14.61,13,89
69,70,70,John Rollins,102,14.53,17,117
70,71,71,Paul Gow,70,14.46,12,83
71,72,72,Jonathan Byrd,73,14.42,15,104
72,T73,T73,Matt Hendrix,63,14.29,13,91
73,T73,T73,Joe Ogilvie,102,14.29,21,147
74,T73,T73,Carl Pettersson,111,14.29,24,168
75,T73,T73,Henrik Stenson,52,14.29,9,63
76,T73,T73,Bo Van Pelt,104,14.29,22,154
77,78,78,Kenny Perry,83,14.17,18,127
78,79,79,Steve Marino,106,14.07,19,135
79,80,80,Peter Lonard,85,14.02,15,107
80,81,81,Geoff Ogilvy,84,13.95,12,86
81,82,82,Chris Tidland,59,13.92,11,79
82,T83,T83,Briny Baird,115,13.91,21,151
83,T83,T83,Brett Wetterich,88,13.91,16,115
84,85,85,Craig Lile,77,13.89,15,108
85,86,86,Bubba Dickerson,51,13.79,12,87
86,87,87,Anthony Kim,93,13.77,19,138
87,T88,T88,Harrison Frazar,88,13.64,18,132
88,T88,T88,Paul Goydos,60,13.64,9,66
89,T88,T88,Bob Heintz,85,13.64,18,132
90,T88,T88,Jeff Overton,60,13.64,12,88
91,92,92,Vijay Singh,102,13.61,20,147
92,93,93,Heath Slocum,101,13.56,16,118
93,94,94,Michael Putnam,96,13.55,21,155
94,95,95,Boo Weekley,101,13.53,18,133
95,96,96,Billy Andrade,88,13.51,20,148
96,97,97,Eric Axley,107,13.5,27,200
97,T98,T98,Johnson Wagner,97,13.48,19,141
98,T98,T98,Mark Wilson,87,13.48,12,89
99,100,100,Charles Howell III,89,13.42,20,149
100,T101,T101,Michael Boyd,61,13.41,11,82
101,T101,T101,Duffy Waldorf,69,13.41,11,82
102,103,103,Jarrod Lyle,77,13.39,15,112
103,T104,T104,K.J. Choi,87,13.33,18,135
104,T104,T104,Jim Furyk,84,13.33,8,60
105,106,106,Arron Oberholser,69,13.21,14,106
106,107,107,Cliff Kresge,107,13.17,27,205
107,108,108,Tim Clark,66,13.16,10,76
108,109,109,Greg Owen,81,13.13,13,99
109,110,110,Chad Campbell,96,13.11,16,122
110,111,111,Doug LaBelle II,104,13.1,19,145
111,112,112,Nick Watney,87,12.98,17,131
112,113,113,Matt Kuchar,85,12.96,14,108
113,114,114,Brendon de Jonge,76,12.93,15,116
114,115,115,Fred Funk,65,12.9,8,62
115,116,116,Luke Donald,69,12.86,9,70
116,117,117,Pat Perez,84,12.71,15,118
117,T118,T118,Stephen Ames,81,12.64,11,87
118,T118,T118,Adam Scott,69,12.64,11,87
119,120,120,Cameron Beckman,96,12.4,15,121
120,121,121,Steve Elkington,87,12.37,12,97
