,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
0,1,1,Tiger Woods,16,93.33
1,2,2,Ian Poulter,18,92.31
2,3,3,Mark Calcavecchia,28,84.21
3,4,4,Rory Sabbatini,23,82.35
4,5,5,Mathew Goggin,30,78.95
5,T6,T6,Tim Clark,19,78.57
6,T6,T6,Ernie Els,16,78.57
7,8,8,Brandt Snedeker,29,78.26
8,T9,T9,Todd Hamilton,28,77.78
9,T9,T9,David Toms,22,77.78
10,T9,T9,Dean Wilson,28,77.78
11,12,12,Bubba Watson,26,76.92
12,13,13,Zach Johnson,23,76.47
13,T14,T14,Alex Cejka,25,75.0
14,T14,T14,John Daly,24,75.0
15,T14,T14,Fred Funk,22,75.0
16,T14,T14,Lee Janzen,24,75.0
17,T14,T14,Tom Lehman,19,75.0
18,T14,T14,Darron Stiles,24,75.0
19,T20,T20,Sergio Garcia,19,73.33
20,T20,T20,Richard Johnson,32,73.33
21,T22,T22,Scott Gutschewski,22,72.73
22,T22,T22,Greg Owen,29,72.73
23,24,24,Hunter Mahan,27,72.22
24,25,25,Ryan Armour,32,71.43
25,26,26,Carl Pettersson,31,70.83
26,27,27,Robert Allenby,28,70.59
27,T28,T28,David Branshaw,30,70.0
28,T28,T28,Chris Couch,30,70.0
29,30,30,Marco Dawson,23,69.23
30,T31,T31,Jason Gore,27,68.75
31,T31,T31,Matt Kuchar,26,68.75
32,T31,T31,Adam Scott,19,68.75
33,T31,T31,Brett Wetterich,28,68.75
34,35,35,Jim Furyk,23,68.42
35,T36,T36,Tim Herron,27,68.18
36,T36,T36,Heath Slocum,28,68.18
37,T38,T38,J.P. Hayes,28,66.67
38,T38,T38,Frank Lickliter II,30,66.67
39,T38,T38,Phil Mickelson,22,66.67
40,T38,T38,Vijay Singh,27,66.67
41,T38,T38,Steve Stricker,23,66.67
42,T38,T38,Mike Weir,23,66.67
43,44,44,Camilo Villegas,24,64.71
44,T45,T45,Luke Donald,20,64.29
