,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,63,4.03,242,60
1,2,2,Freddie Jacobson,70,4.01,281,70
2,3,3,Jonathan Byrd,73,3.89,284,73
3,4,4,Jesper Parnevik,88,3.88,341,88
4,5,5,Mark Calcavecchia,93,3.87,360,93
5,6,6,Adam Scott,69,3.85,262,68
6,7,7,Justin Rose,63,3.81,225,59
7,8,8,Lucas Glover,98,3.77,366,97
8,9,9,Charles Warren,101,3.76,380,101
9,10,10,Kevin Na,84,3.74,314,84
10,T11,T11,J.B. Holmes,71,3.72,264,71
11,T11,T11,Jay Williamson,50,3.72,186,50
12,T13,T13,Steve Allan,63,3.71,234,63
13,T13,T13,Anthony Kim,93,3.71,345,93
14,T13,T13,Joe Ogilvie,102,3.71,378,102
15,T13,T13,Geoff Ogilvy,84,3.71,289,78
16,T17,T17,Charley Hoffman,97,3.7,359,97
17,T17,T17,Phil Mickelson,73,3.7,263,71
18,T19,T19,Brendon de Jonge,76,3.68,280,76
19,T19,T19,Bubba Watson,80,3.68,294,80
20,T21,T21,Daniel Chopra,106,3.67,389,106
21,T21,T21,Vaughn Taylor,91,3.67,334,91
22,T23,T23,Robert Garrigus,95,3.65,347,95
23,T23,T23,Bob Heintz,85,3.65,310,85
24,T23,T23,Jeff Overton,60,3.65,219,60
25,T23,T23,Carl Pettersson,111,3.65,401,110
26,T23,T23,Rory Sabbatini,81,3.65,288,79
27,28,28,Ernie Els,59,3.64,211,58
28,T29,T29,Cameron Beckman,96,3.63,348,96
29,T29,T29,Ryuji Imada,104,3.63,377,104
30,31,31,Bo Van Pelt,104,3.62,376,104
31,T32,T32,Rich Beem,89,3.61,321,89
32,T32,T32,Alex Cejka,80,3.61,289,80
33,T32,T32,John Daly,59,3.61,213,59
34,T32,T32,Jim Furyk,84,3.61,296,82
35,T32,T32,Sergio Garcia,68,3.61,238,66
36,T32,T32,Vijay Singh,102,3.61,361,100
37,T32,T32,Steve Stricker,81,3.61,289,80
38,T39,T39,Robert Allenby,90,3.6,320,89
39,T39,T39,Bob Estes,88,3.6,317,88
40,T41,T41,Aaron Baddeley,83,3.59,287,80
41,T41,T41,Bart Bryant,87,3.59,309,86
42,T43,T43,Craig Barlow,52,3.58,186,52
43,T43,T43,J.P. Hayes,89,3.58,319,89
44,T43,T43,Steve Lowery,74,3.58,265,74
45,T43,T43,Rocco Mediate,72,3.58,258,72
46,T43,T43,John Merrick,92,3.58,329,92
47,T43,T43,Tag Ridings,52,3.58,186,52
48,T43,T43,Paul Stankowski,52,3.58,186,52
49,T50,T50,Briny Baird,115,3.57,411,115
50,T50,T50,Steve Marino,106,3.57,378,106
51,T50,T50,Nick Watney,87,3.57,311,87
52,T53,T53,K.J. Choi,87,3.55,302,85
53,T53,T53,Stewart Cink,91,3.55,312,88
54,T53,T53,Brian Davis,101,3.55,359,101
55,T53,T53,Jason Gore,86,3.55,305,86
56,T53,T53,Sean O'Hair,98,3.55,348,98
57,T58,T58,Hunter Mahan,91,3.54,322,91
58,T58,T58,Chris Riley,59,3.54,209,59
59,T58,T58,Camilo Villegas,82,3.54,290,82
60,T61,T61,Woody Austin,95,3.53,335,95
61,T61,T61,Mathias Grönberg,95,3.53,335,95
62,T61,T61,Padraig Harrington,64,3.53,219,62
63,T61,T61,Kent Jones,97,3.53,342,97
64,T61,T61,Tim Petrovic,106,3.53,374,106
65,66,66,Jeff Quinney,95,3.52,334,95
66,T67,T67,Will MacKenzie,100,3.51,351,100
67,T67,T67,Ryan Moore,92,3.51,323,92
68,T67,T67,Brett Wetterich,88,3.51,305,87
69,70,70,Heath Slocum,101,3.5,354,101
70,T71,T71,Frank Lickliter II,95,3.49,332,95
71,T71,T71,Pat Perez,84,3.49,293,84
72,T71,T71,Charlie Wi,90,3.49,314,90
73,74,74,Darron Stiles,65,3.48,226,65
74,T75,T75,Harrison Frazar,88,3.47,305,88
75,T75,T75,Jarrod Lyle,77,3.47,267,77
76,T75,T75,John Senden,97,3.47,337,97
77,T78,T78,Ryan Armour,107,3.46,370,107
78,T78,T78,Brian Gay,107,3.46,370,107
79,T80,T80,Craig Bowden,78,3.45,269,78
80,T80,T80,Nathan Green,103,3.45,355,103
81,T82,T82,Billy Andrade,88,3.44,303,88
82,T82,T82,Tim Clark,66,3.44,220,64
83,T82,T82,Bill Haas,93,3.44,320,93
84,T82,T82,David Toms,80,3.44,265,77
85,T82,T82,Boo Weekley,101,3.44,347,101
86,T87,T87,Michael Allen,74,3.43,254,74
87,T87,T87,George McNeill,95,3.43,326,95
88,T89,T89,Jeff Maggert,79,3.42,270,79
89,T89,T89,Kenny Perry,83,3.42,284,83
90,91,91,Johnson Wagner,97,3.41,331,97
91,T92,T92,Rich Barcelo,80,3.4,272,80
92,T92,T92,Andrew Buckle,77,3.4,262,77
93,T92,T92,Marco Dawson,73,3.4,248,73
94,T92,T92,Kevin Sutherland,85,3.4,289,85
95,T96,T96,Scott Gutschewski,67,3.39,227,67
96,T96,T96,Tom Johnson,74,3.39,251,74
97,T98,T98,Craig Kanada,109,3.38,368,109
98,T98,T98,Troy Matteson,87,3.38,294,87
99,T98,T98,Chris Stroud,66,3.38,223,66
100,T101,T101,Luke Donald,69,3.37,226,67
101,T101,T101,Brandt Snedeker,105,3.37,354,105
102,T103,T103,Cliff Kresge,107,3.36,360,107
103,T103,T103,Bob Tway,103,3.36,346,103
104,T103,T103,Duffy Waldorf,69,3.36,232,69
105,T106,T106,Billy Mayfair,98,3.35,328,98
106,T106,T106,Parker McLachlin,83,3.35,278,83
107,T108,T108,Tim Herron,98,3.34,327,98
108,T108,T108,John Rollins,102,3.34,337,101
109,T110,T110,Jason Dufner,100,3.33,333,100
110,T110,T110,Steve Elkington,87,3.33,290,87
111,T110,T110,Mark Hensby,81,3.33,270,81
112,T110,T110,Tom Pernice Jr.,104,3.33,346,104
113,T110,T110,Ted Purdy,102,3.33,340,102
114,T110,T110,Michael Sim,52,3.33,173,52
115,T116,T116,Tommy Armour III,81,3.32,269,81
116,T116,T116,Chris Couch,76,3.32,252,76
117,T116,T116,Ken Duke,112,3.32,372,112
118,T116,T116,Mike Weir,82,3.32,269,81
119,T120,T120,Craig Lile,77,3.31,255,77
120,T120,T120,Peter Lonard,85,3.31,281,85
121,T122,T122,Mathew Goggin,97,3.3,320,97
122,T122,T122,Shigeki Maruyama,84,3.3,277,84
123,T122,T122,Michael Putnam,96,3.3,317,96
124,T125,T125,John Mallinger,96,3.29,316,96
125,T125,T125,Steve Wheatcroft,73,3.29,240,73
126,T127,T127,Robert Gamez,88,3.28,289,88
127,T127,T127,Jerry Kelly,101,3.28,331,101
128,T127,T127,Matt Kuchar,85,3.28,279,85
129,T127,T127,Scott Verplank,82,3.28,266,81
130,T131,T131,Glen Day,85,3.27,278,85
131,T131,T131,J.J. Henry,86,3.27,278,85
132,T131,T131,Ian Poulter,63,3.27,196,60
133,T134,T134,Jeff Gove,103,3.26,336,103
134,T134,T134,Dean Wilson,92,3.26,300,92
135,T136,T136,Jason Bohn,57,3.25,185,57
136,T136,T136,Greg Owen,81,3.25,263,81
137,T136,T136,Dicky Pride,71,3.25,231,71
138,T136,T136,D.J. Trahan,99,3.25,322,99
139,T140,T140,Steve Flesch,100,3.24,324,100
140,T140,T140,Justin Leonard,95,3.24,308,95
141,T140,T140,Ryan Palmer,91,3.24,295,91
142,T140,T140,Joey Sindelar,75,3.24,243,75
143,T144,T144,Gavin Coles,87,3.21,279,87
144,T144,T144,Tom Lehman,62,3.21,199,62
145,T144,T144,Arron Oberholser,69,3.21,218,68
146,T147,T147,Zach Johnson,76,3.2,240,75
147,T147,T147,Mark Wilson,87,3.2,278,87
148,T149,T149,Charles Howell III,89,3.19,274,86
149,T149,T149,Shaun Micheel,91,3.19,281,88
150,T149,T149,Kirk Triplett,77,3.19,246,77
151,T152,T152,D.J. Brigman,67,3.18,213,67
152,T152,T152,Chad Campbell,96,3.18,286,90
153,T152,T152,Bubba Dickerson,51,3.18,162,51
154,T152,T152,Rod Pampling,92,3.18,286,90
155,T156,T156,Stephen Ames,81,3.17,244,77
156,T156,T156,Lee Janzen,66,3.17,209,66
157,T158,T158,Stuart Appleby,74,3.16,231,73
158,T158,T158,Paul Gow,70,3.16,221,70
159,T160,T160,Brian Bateman,55,3.15,173,55
160,T160,T160,Stephen Leaney,82,3.15,258,82
161,T160,T160,Davis Love III,66,3.15,205,65
162,163,163,José Coceres,50,3.14,157,50
163,T164,T164,Michael Boyd,61,3.13,191,61
164,T164,T164,Kevin Stadler,95,3.13,297,95
165,166,166,Daisuke Maruyama,86,3.12,268,86
166,T167,T167,Joe Durant,88,3.11,271,87
167,T167,T167,Bryce Molder,56,3.11,174,56
168,169,169,Jason Schultz,63,3.1,195,63
169,170,170,Brett Quigley,79,3.09,241,78
170,171,171,Paul Goydos,60,3.08,182,59
171,T172,T172,Eric Axley,107,3.06,327,107
172,T172,T172,Matt Hendrix,63,3.06,193,63
173,174,174,Fred Funk,65,3.05,198,65
174,T175,T175,Jeff Brehaut,59,3.03,179,59
175,T175,T175,Kyle Reifers,71,3.03,215,71
176,T177,T177,Tripp Isenhour,86,3.02,260,86
177,T177,T177,Henrik Stenson,52,3.02,139,46
178,T179,T179,Trevor Immelman,74,2.99,203,68
179,T179,T179,Nick O'Hern,72,2.99,203,68
180,T179,T179,Corey Pavin,81,2.99,242,81
181,182,182,Doug LaBelle II,104,2.98,310,104
182,183,183,Chris Tidland,59,2.97,175,59
183,184,184,David Branshaw,83,2.93,243,83
184,185,185,Jaco Van Zyl,51,2.92,149,51
185,186,186,Retief Goosen,50,2.9,139,48
186,187,187,Anders Hansen,55,2.89,159,55
187,T188,T188,Ben Curtis,80,2.88,230,80
188,T188,T188,Richard Johnson,93,2.88,268,93
189,T188,T188,Jeff Sluman,60,2.88,173,60
190,191,191,Chris DiMarco,79,2.87,221,77
191,192,192,José María Olazábal,52,2.82,141,50
192,193,193,Mark Brooks,53,2.72,144,53
193,194,194,Tom Byrum,50,2.7,135,50
194,195,195,Jim Rutledge,59,2.66,157,59
195,196,196,Todd Hamilton,76,2.63,200,76
