,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,John Rollins,102,69.33,624,9
1,2,2,Kenny Perry,83,69.38,902,13
2,T3,T3,Justin Rose,63,69.5,695,10
3,T3,T3,Camilo Villegas,82,69.5,417,6
4,5,5,Phil Mickelson,73,69.67,209,3
5,T6,T6,Aaron Baddeley,83,69.82,768,11
6,T6,T6,Cameron Beckman,96,69.82,768,11
7,T6,T6,Steve Stricker,81,69.82,768,11
8,9,9,Kevin Na,84,69.84,1327,19
9,10,10,Sean O'Hair,98,69.94,1189,17
10,T11,T11,Alex Cejka,80,70.0,1050,15
11,T11,T11,K.J. Choi,87,70.0,770,11
12,T11,T11,Henrik Stenson,52,70.0,280,4
13,T11,T11,David Toms,80,70.0,700,10
14,T11,T11,Bo Van Pelt,104,70.0,1190,17
15,T11,T11,Nick Watney,87,70.0,1120,16
16,17,17,Davis Love III,66,70.1,701,10
17,18,18,Jason Gore,86,70.15,912,13
18,19,19,Lucas Glover,98,70.17,842,12
19,T20,T20,Tag Ridings,52,70.22,632,9
20,T20,T20,Charles Warren,101,70.22,1264,18
21,T22,T22,Padraig Harrington,64,70.33,211,3
22,T22,T22,Zach Johnson,76,70.33,211,3
23,T22,T22,Geoff Ogilvy,84,70.33,422,6
24,T25,T25,Joe Durant,88,70.36,774,11
25,T25,T25,Jesper Parnevik,88,70.36,985,14
26,27,27,Dicky Pride,71,70.38,563,8
27,28,28,Jason Dufner,100,70.44,1268,18
28,29,29,Michael Sim,52,70.45,775,11
29,30,30,Ryan Moore,92,70.57,988,14
30,31,31,Tom Johnson,74,70.58,1341,19
31,T32,T32,Michael Allen,74,70.6,1059,15
32,T32,T32,Jarrod Lyle,77,70.6,706,10
33,34,34,Tom Lehman,62,70.63,565,8
34,T35,T35,Jerry Kelly,101,70.67,848,12
35,T35,T35,Jay Williamson,50,70.67,848,12
36,T37,T37,Jeff Brehaut,59,70.71,1202,17
37,T37,T37,Michael Putnam,96,70.71,1202,17
38,39,39,Jeff Overton,60,70.73,1061,15
39,40,40,Steve Flesch,100,70.74,1344,19
40,T41,T41,Bart Bryant,87,70.75,1132,16
41,T41,T41,Nathan Green,103,70.75,1132,16
42,43,43,Stephen Ames,81,70.78,637,9
43,44,44,Marco Dawson,73,70.79,991,14
44,45,45,Stephen Leaney,82,70.8,708,10
45,46,46,Matt Kuchar,85,70.84,1346,19
46,T47,T47,Cliff Kresge,107,70.86,992,14
47,T47,T47,Rory Sabbatini,81,70.86,496,7
48,49,49,Bill Haas,93,70.87,1063,15
49,50,50,Steve Lowery,74,70.88,1205,17
50,51,51,Brian Gay,107,70.89,1276,18
51,52,52,Rod Pampling,92,70.92,922,13
52,53,53,Paul Gow,70,70.93,993,14
53,T54,T54,Tommy Armour III,81,71.0,1349,19
54,T54,T54,Jason Bohn,57,71.0,355,5
55,T54,T54,Mark Calcavecchia,93,71.0,1207,17
56,T54,T54,Jim Furyk,84,71.0,142,2
57,T54,T54,Sergio Garcia,68,71.0,355,5
58,T54,T54,Jeff Maggert,79,71.0,852,12
59,T54,T54,Arron Oberholser,69,71.0,568,8
60,T54,T54,Vijay Singh,102,71.0,355,5
61,T54,T54,Vaughn Taylor,91,71.0,1065,15
62,63,63,Heath Slocum,101,71.05,1350,19
63,T64,T64,Andrew Buckle,77,71.06,1279,18
64,T64,T64,Steve Elkington,87,71.06,1137,16
65,T64,T64,Joe Ogilvie,102,71.06,1208,17
66,T64,T64,Pat Perez,84,71.06,1279,18
67,68,68,Michael Boyd,61,71.07,995,14
68,T69,T69,Robert Allenby,90,71.08,853,12
69,T69,T69,Tim Petrovic,106,71.08,1777,25
70,T69,T69,Darron Stiles,65,71.08,853,12
71,72,72,Kevin Sutherland,85,71.09,782,11
72,73,73,Justin Leonard,95,71.1,1422,20
