,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,68.8,1032,15
1,2,2,Alex Cejka,69.56,1113,16
2,3,3,Bo Van Pelt,69.68,1533,22
3,4,4,Jonathan Byrd,69.69,906,13
4,5,5,Rory Sabbatini,69.71,1185,17
5,6,6,Ernie Els,69.79,977,14
6,7,7,Anthony Kim,69.8,1396,20
7,8,8,Heath Slocum,69.82,1536,22
8,9,9,Pat Perez,69.94,1119,16
9,10,10,Jim Furyk,69.95,1329,19
10,11,11,Ian Poulter,70.0,910,13
11,12,12,Brandt Snedeker,70.09,1612,23
12,T13,T13,Billy Mayfair,70.11,1262,18
13,T13,T13,Chris Stroud,70.11,631,9
14,15,15,Jeff Sluman,70.13,561,8
15,16,16,Jeff Overton,70.18,772,11
16,17,17,Tom Byrum,70.2,351,5
17,18,18,Marco Dawson,70.23,913,13
18,19,19,Joe Ogilvie,70.26,1335,19
19,20,20,Robert Allenby,70.29,1195,17
20,21,21,Darron Stiles,70.38,563,8
21,22,22,David Toms,70.39,1267,18
22,23,23,Phil Mickelson,70.4,1056,15
23,24,24,Brett Wetterich,70.44,1127,16
24,25,25,Vijay Singh,70.46,1691,24
25,26,26,Mark Calcavecchia,70.47,1339,19
26,T27,T27,K.J. Choi,70.5,1269,18
27,T27,T27,Davis Love III,70.5,846,12
28,T29,T29,Sergio Garcia,70.53,1058,15
29,T29,T29,Ryan Moore,70.53,1199,17
30,31,31,John Senden,70.57,1482,21
31,32,32,Mathew Goggin,70.58,1341,19
32,T33,T33,J.J. Henry,70.59,1200,17
33,T33,T33,Camilo Villegas,70.59,1200,17
34,35,35,Dicky Pride,70.6,706,10
35,36,36,Rocco Mediate,70.64,989,14
36,T37,T37,Freddie Jacobson,70.67,1060,15
37,T37,T37,Steve Stricker,70.67,1272,18
38,39,39,Hunter Mahan,70.72,1273,18
39,40,40,Matt Kuchar,70.75,1132,16
40,41,41,Justin Leonard,70.76,1203,17
41,T42,T42,Bart Bryant,70.78,1274,18
42,T42,T42,Doug LaBelle II,70.78,1274,18
43,T44,T44,Stephen Leaney,70.8,1062,15
44,T44,T44,Tim Petrovic,70.8,1416,20
45,46,46,Boo Weekley,70.85,1417,20
46,47,47,Frank Lickliter II,70.89,1276,18
47,48,48,Bob Heintz,70.93,1064,15
48,49,49,Zach Johnson,70.94,1206,17
49,50,50,Stewart Cink,70.95,1419,20
50,T51,T51,Tim Clark,71.0,994,14
51,T51,T51,Luke Donald,71.0,994,14
52,T51,T51,Jason Gore,71.0,1136,16
53,T51,T51,Padraig Harrington,71.0,994,14
54,T51,T51,Tim Herron,71.0,1562,22
55,T51,T51,Peter Lonard,71.0,1065,15
56,T51,T51,Jarrod Lyle,71.0,994,14
57,T51,T51,Justin Rose,71.0,994,14
58,59,59,Rod Pampling,71.05,1492,21
59,T60,T60,Jesper Parnevik,71.06,1137,16
60,T60,T60,Adam Scott,71.06,1137,16
61,T60,T60,Mike Weir,71.06,1279,18
62,63,63,Richard Johnson,71.07,1066,15
63,T64,T64,Ryan Armour,71.1,1493,21
64,T64,T64,Daniel Chopra,71.1,1422,20
65,T66,T66,Michael Sim,71.11,640,9
66,T66,T66,Mark Wilson,71.11,1280,18
67,68,68,Steve Elkington,71.12,1209,17
68,69,69,Arron Oberholser,71.13,1138,16
69,70,70,Jerry Kelly,71.14,1494,21
70,71,71,Parker McLachlin,71.15,925,13
71,T72,T72,Glen Day,71.19,1139,16
72,T72,T72,Mathias Grönberg,71.19,1139,16
73,T72,T72,John Merrick,71.19,1139,16
74,T72,T72,Sean O'Hair,71.19,1495,21
75,76,76,Chris Couch,71.2,712,10
76,77,77,Ryan Palmer,71.21,997,14
77,78,78,Nathan Green,71.23,1567,22
78,79,79,John Daly,71.25,570,8
79,80,80,Greg Owen,71.27,784,11
80,81,81,Dean Wilson,71.28,1283,18
81,T82,T82,Tommy Armour III,71.31,1141,16
82,T82,T82,Gavin Coles,71.31,1141,16
83,T82,T82,Bubba Watson,71.31,927,13
84,T85,T85,Andrew Buckle,71.33,856,12
85,T85,T85,Ken Duke,71.33,1712,24
86,T87,T87,Ryuji Imada,71.35,1427,20
87,T87,T87,Will MacKenzie,71.35,1427,20
88,T89,T89,Scott Gutschewski,71.36,785,11
89,T89,T89,John Rollins,71.36,1570,22
90,T91,T91,Bill Haas,71.38,1142,16
91,T91,T91,Shigeki Maruyama,71.38,928,13
92,T91,T91,Chris Tidland,71.38,571,8
93,94,94,George McNeill,71.39,1285,18
94,95,95,Carl Pettersson,71.42,1714,24
95,96,96,Lucas Glover,71.43,1500,21
96,97,97,Scott Verplank,71.44,1286,18
97,98,98,Woody Austin,71.45,1429,20
98,T99,T99,J.P. Hayes,71.47,1072,15
99,T99,T99,Charles Howell III,71.47,1215,17
100,T99,T99,Kent Jones,71.47,1215,17
101,T99,T99,Kenny Perry,71.47,1215,17
102,T103,T103,Lee Janzen,71.5,572,8
103,T103,T103,Tom Lehman,71.5,858,12
104,T105,T105,Harrison Frazar,71.55,787,11
105,T105,T105,Jay Williamson,71.55,787,11
106,107,107,Michael Boyd,71.56,644,9
107,T108,T108,Mark Brooks,71.57,501,7
108,T108,T108,Brian Davis,71.57,1503,21
109,T108,T108,Paul Stankowski,71.57,501,7
110,111,111,Nick Watney,71.59,1217,17
111,112,112,D.J. Trahan,71.61,1289,18
112,113,113,Robert Gamez,71.62,931,13
113,114,114,Charlie Wi,71.72,1291,18
114,115,115,Brendon de Jonge,71.75,861,12
115,116,116,Steve Marino,71.76,1507,21
116,117,117,Craig Lile,71.79,1005,14
117,118,118,Briny Baird,71.81,1867,26
118,T119,T119,Robert Garrigus,71.83,1293,18
119,T119,T119,Geoff Ogilvy,71.83,1293,18
120,121,121,Ted Purdy,71.84,1365,19
121,T122,T122,Brian Gay,71.86,1509,21
122,T122,T122,Matt Hendrix,71.86,503,7
123,T124,T124,Billy Andrade,71.88,1150,16
124,T124,T124,Shaun Micheel,71.88,1150,16
125,T124,T124,Kevin Sutherland,71.88,1222,17
126,T127,T127,Paul Gow,71.89,647,9
127,T127,T127,Jeff Quinney,71.89,1294,18
128,T129,T129,Fred Funk,71.92,863,12
129,T129,T129,Chris Riley,71.92,863,12
130,131,131,Michael Allen,71.93,1079,15
131,T132,T132,Bob Estes,72.0,1152,16
132,T132,T132,Kevin Na,72.0,1152,16
133,T132,T132,Jim Rutledge,72.0,360,5
134,T132,T132,Henrik Stenson,72.0,648,9
135,T132,T132,Kirk Triplett,72.0,864,12
136,T137,T137,Retief Goosen,72.09,793,11
137,T137,T137,Paul Goydos,72.09,793,11
138,139,139,Charles Warren,72.1,1514,21
139,140,140,Vaughn Taylor,72.11,1298,18
140,141,141,Corey Pavin,72.13,1082,15
141,T142,T142,Steve Allan,72.15,938,13
142,T142,T142,Craig Bowden,72.15,938,13
143,144,144,Cameron Beckman,72.16,1371,19
144,145,145,Charley Hoffman,72.17,1299,18
145,146,146,Steve Wheatcroft,72.2,722,10
146,147,147,Tom Pernice Jr.,72.25,1445,20
147,T148,T148,Cliff Kresge,72.26,1662,23
148,T148,T148,Bob Tway,72.26,1373,19
149,150,150,Johnson Wagner,72.27,1084,15
150,151,151,Anders Hansen,72.3,723,10
151,T152,T152,Aaron Baddeley,72.33,1302,18
152,T152,T152,John Mallinger,72.33,1302,18
153,T152,T152,Jason Schultz,72.33,651,9
154,155,155,Stuart Appleby,72.36,1013,14
155,T156,T156,Eric Axley,72.38,1158,16
156,T156,T156,Mark Hensby,72.38,1158,16
157,158,158,Troy Matteson,72.41,1231,17
158,159,159,Craig Kanada,72.45,1449,20
159,160,160,Stephen Ames,72.47,1232,17
160,161,161,Craig Barlow,72.5,725,10
161,T162,T162,Ben Curtis,72.53,1088,15
162,T162,T162,Brett Quigley,72.53,1088,15
163,T164,T164,José Coceres,72.56,653,9
164,T164,T164,Joe Durant,72.56,1161,16
165,166,166,Michael Putnam,72.58,1379,19
166,167,167,Rich Beem,72.59,1234,17
167,T168,T168,Rich Barcelo,72.62,944,13
168,T168,T168,Nick O'Hern,72.62,944,13
169,170,170,J.B. Holmes,72.67,872,12
170,T171,T171,Jason Bohn,72.73,800,11
171,T171,T171,Daisuke Maruyama,72.73,1091,15
172,173,173,Tag Ridings,72.75,582,8
173,T174,T174,Trevor Immelman,72.79,1019,14
174,T174,T174,Tripp Isenhour,72.79,1019,14
175,T176,T176,Tom Johnson,72.82,801,11
176,T176,T176,Duffy Waldorf,72.82,801,11
177,178,178,Steve Lowery,72.86,1020,14
178,179,179,Chris DiMarco,72.87,1093,15
179,180,180,Jeff Brehaut,72.88,583,8
180,T181,T181,David Branshaw,72.9,729,10
181,T181,T181,Jeff Gove,72.9,1458,20
182,183,183,Joey Sindelar,72.92,875,12
183,184,184,Jeff Maggert,72.93,1094,15
184,185,185,Steve Flesch,72.95,1386,19
185,186,186,José María Olazábal,73.0,730,10
186,187,187,Kevin Stadler,73.06,1169,16
187,188,188,Todd Hamilton,73.11,658,9
188,189,189,Chad Campbell,73.12,1243,17
189,190,190,Bryce Molder,73.29,513,7
190,191,191,Brian Bateman,73.33,660,9
191,192,192,Jaco Van Zyl,73.5,294,4
192,193,193,Jason Dufner,73.65,1252,17
193,194,194,Kyle Reifers,73.67,663,9
194,195,195,D.J. Brigman,74.09,815,11
195,196,196,Bubba Dickerson,74.83,449,6
