,Total_Eagles_RANK THIS WEEK,Total_Eagles_RANK LAST WEEK,Total_Eagles_PLAYER NAME,Total_Eagles_ROUNDS,Total_Eagles_TOTAL
0,T1,T1,Sean O'Hair,98,15.0
1,T1,T1,Charles Warren,101,15.0
2,T3,T3,Bill Haas,93,14.0
3,T3,T3,Rod Pampling,92,14.0
4,T5,T5,Eric Axley,107,13.0
5,T5,T5,Will MacKenzie,100,13.0
6,T7,T7,Rich Beem,89,12.0
7,T7,T7,Robert Garrigus,95,12.0
8,T7,T7,Daisuke Maruyama,86,12.0
9,T7,T7,Vijay Singh,102,12.0
10,T7,T7,Chris Tidland,59,12.0
11,T12,T12,Ken Duke,112,11.0
12,T12,T12,Steve Flesch,100,11.0
13,T12,T12,Harrison Frazar,88,11.0
14,T12,T12,Jeff Gove,103,11.0
15,T12,T12,Phil Mickelson,73,11.0
16,T12,T12,Pat Perez,84,11.0
17,T12,T12,Brett Wetterich,88,11.0
18,T12,T12,Tiger Woods,63,11.0
19,T20,T20,Michael Allen,74,10.0
20,T20,T20,Brian Davis,101,10.0
21,T20,T20,Chris DiMarco,79,10.0
22,T20,T20,Nathan Green,103,10.0
23,T20,T20,Mathias Grönberg,95,10.0
24,T20,T20,Joe Ogilvie,102,10.0
25,T20,T20,Greg Owen,81,10.0
26,T20,T20,Michael Putnam,96,10.0
27,T20,T20,John Rollins,102,10.0
28,T20,T20,Darron Stiles,65,10.0
29,T20,T20,Nick Watney,87,10.0
30,T31,T31,Jason Dufner,100,9.0
31,T31,T31,Lucas Glover,98,9.0
32,T31,T31,Mathew Goggin,97,9.0
33,T31,T31,Ryuji Imada,104,9.0
34,T31,T31,Kent Jones,97,9.0
35,T31,T31,Cliff Kresge,107,9.0
36,T31,T31,Jarrod Lyle,77,9.0
37,T31,T31,Hunter Mahan,91,9.0
38,T31,T31,George McNeill,95,9.0
39,T31,T31,Ryan Moore,92,9.0
40,T31,T31,Kevin Na,84,9.0
41,T31,T31,Ryan Palmer,91,9.0
42,T31,T31,Brett Quigley,79,9.0
43,T31,T31,Heath Slocum,101,9.0
44,T31,T31,Kevin Stadler,95,9.0
45,T31,T31,Bubba Watson,80,9.0
46,T47,T47,Jeff Brehaut,59,8.0
47,T47,T47,D.J. Brigman,67,8.0
48,T47,T47,John Daly,59,8.0
49,T47,T47,Ernie Els,59,8.0
50,T47,T47,Jason Gore,86,8.0
