,Back_9_Round_1_Scoring_Average_RANK THIS WEEK,Back_9_Round_1_Scoring_Average_RANK LAST WEEK,Back_9_Round_1_Scoring_Average_PLAYER NAME,Back_9_Round_1_Scoring_Average_AVG,Back_9_Round_1_Scoring_Average_TOTAL STROKES,Back_9_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Jim Furyk,34.64,762,22
1,2,2,Freddie Jacobson,34.65,693,20
2,3,3,Sergio Garcia,34.67,624,18
3,4,4,K.J. Choi,34.75,834,24
4,5,5,Tom Lehman,34.79,661,19
5,6,6,Tiger Woods,34.8,522,15
6,7,7,Scott Verplank,34.82,766,22
7,8,8,Nick Watney,34.88,907,26
8,9,9,D.J. Brigman,34.91,768,22
9,10,10,Tommy Armour III,34.92,838,24
10,11,11,Jay Williamson,34.93,489,14
11,12,12,Padraig Harrington,34.94,594,17
12,13,13,Charles Warren,35.0,1015,29
13,T14,T14,Stewart Cink,35.04,841,24
14,T14,T14,Camilo Villegas,35.04,841,24
15,16,16,Tim Clark,35.06,631,18
16,17,17,Ernie Els,35.07,526,15
17,18,18,Brandt Snedeker,35.1,1018,29
18,19,19,Jesper Parnevik,35.11,948,27
19,T20,T20,Daniel Chopra,35.12,1159,33
20,T20,T20,Craig Kanada,35.12,1194,34
21,T22,T22,Craig Barlow,35.13,562,16
22,T22,T22,Justin Rose,35.13,527,15
23,24,24,Charlie Wi,35.15,949,27
24,T25,T25,Jeff Maggert,35.16,879,25
25,T25,T25,Jeff Overton,35.16,668,19
26,T25,T25,Corey Pavin,35.16,879,25
27,T28,T28,Michael Putnam,35.17,1020,29
28,T28,T28,Duffy Waldorf,35.17,809,23
29,30,30,Carl Pettersson,35.2,1056,30
30,31,31,John Rollins,35.21,986,28
31,32,32,Gavin Coles,35.22,951,27
32,T33,T33,Ryuji Imada,35.23,1092,31
33,T33,T33,Stephen Leaney,35.23,916,26
34,T33,T33,Rory Sabbatini,35.23,775,22
35,T36,T36,Marco Dawson,35.26,811,23
36,T36,T36,Arron Oberholser,35.26,670,19
37,T38,T38,Will MacKenzie,35.27,1058,30
38,T38,T38,Kevin Na,35.27,917,26
39,T38,T38,Steve Stricker,35.27,776,22
40,41,41,Steve Elkington,35.28,882,25
41,42,42,Steve Marino,35.29,1094,31
42,43,43,Phil Mickelson,35.3,706,20
43,44,44,Cameron Beckman,35.31,1024,29
44,T45,T45,Aaron Baddeley,35.32,777,22
45,T45,T45,Joe Ogilvie,35.32,1095,31
46,T47,T47,Alex Cejka,35.33,848,24
47,T47,T47,Cliff Kresge,35.33,1060,30
48,T47,T47,Doug LaBelle II,35.33,1166,33
49,T50,T50,Briny Baird,35.35,1096,31
50,T50,T50,Michael Sim,35.35,601,17
51,52,52,Michael Allen,35.36,778,22
52,T53,T53,Jason Gore,35.37,955,27
53,T53,T53,Bob Heintz,35.37,955,27
54,T55,T55,Jason Dufner,35.38,1132,32
55,T55,T55,Matt Kuchar,35.38,920,26
56,T55,T55,Frank Lickliter II,35.38,1026,29
57,58,58,Rich Beem,35.39,991,28
58,T59,T59,Lucas Glover,35.41,956,27
59,T59,T59,Ian Poulter,35.41,602,17
60,61,61,Brett Quigley,35.42,850,24
61,T62,T62,Ryan Moore,35.43,992,28
62,T62,T62,Heath Slocum,35.43,992,28
63,64,64,Tag Ridings,35.44,638,18
64,65,65,Jeff Quinney,35.45,1028,29
65,T66,T66,José Coceres,35.47,603,17
66,T66,T66,Kent Jones,35.47,1064,30
67,T68,T68,Woody Austin,35.48,958,27
68,T68,T68,Chris Couch,35.48,1029,29
69,T68,T68,Steve Flesch,35.48,1100,31
70,T68,T68,David Toms,35.48,745,21
71,T72,T72,Ryan Armour,35.5,1136,32
72,T72,T72,Brian Davis,35.5,994,28
73,T72,T72,Brian Gay,35.5,1136,32
