,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,Padraig Harrington,64,69.0,759,11
1,2,2,Justin Rose,63,69.29,1178,17
2,3,3,Alex Cejka,80,69.52,2016,29
3,4,4,Scott Verplank,82,69.57,1600,23
4,5,5,Jeff Overton,60,69.62,1462,21
5,6,6,Heath Slocum,101,70.0,2380,34
6,7,7,Anthony Kim,93,70.03,2031,29
7,8,8,Vijay Singh,102,70.04,1681,24
8,T9,T9,Geoff Ogilvy,84,70.09,1542,22
9,T9,T9,Brandt Snedeker,105,70.09,2243,32
10,11,11,Stephen Leaney,82,70.1,1472,21
11,12,12,Rocco Mediate,72,70.12,1823,26
12,13,13,Jesper Parnevik,88,70.17,2105,30
13,14,14,Lucas Glover,98,70.18,1965,28
14,15,15,Bo Van Pelt,104,70.19,2597,37
15,16,16,Briny Baird,115,70.22,2528,36
16,17,17,Hunter Mahan,91,70.24,2037,29
17,T18,T18,Matt Kuchar,85,70.25,1967,28
18,T18,T18,Tiger Woods,63,70.25,562,8
19,20,20,Rod Pampling,92,70.26,2178,31
20,T21,T21,J.P. Hayes,89,70.28,2038,29
21,T21,T21,Sean O'Hair,98,70.28,2249,32
22,T21,T21,Darron Stiles,65,70.28,1265,18
23,24,24,Chris Riley,59,70.31,914,13
24,T25,T25,Steve Allan,63,70.33,1055,15
25,T25,T25,Bart Bryant,87,70.33,1899,27
26,27,27,Tim Clark,66,70.35,1196,17
27,28,28,Stewart Cink,91,70.36,1970,28
28,29,29,Charlie Wi,90,70.38,1478,21
29,30,30,Pat Perez,84,70.41,2042,29
30,31,31,Dicky Pride,71,70.44,1127,16
31,T32,T32,Ted Purdy,102,70.48,2044,29
32,T32,T32,David Toms,80,70.48,1762,25
33,34,34,Bill Haas,93,70.5,1974,28
34,35,35,Johnson Wagner,97,70.52,2327,33
35,36,36,Kenny Perry,83,70.54,1975,28
36,37,37,Boo Weekley,101,70.55,2681,38
37,T38,T38,Jeff Gove,103,70.56,2258,32
38,T38,T38,Doug LaBelle II,104,70.56,2399,34
39,40,40,Freddie Jacobson,70,70.57,988,14
40,T41,T41,Mark Calcavecchia,93,70.58,2541,36
41,T41,T41,Steve Stricker,81,70.58,1694,24
42,T43,T43,Jim Furyk,84,70.59,1200,17
43,T43,T43,Vaughn Taylor,91,70.59,2259,32
44,T45,T45,Brian Gay,107,70.6,2118,30
45,T45,T45,J.J. Henry,86,70.6,2471,35
46,T45,T45,Steve Marino,106,70.6,2118,30
47,48,48,Kent Jones,97,70.62,2613,37
48,49,49,Mark Wilson,87,70.63,2260,32
49,50,50,Tim Petrovic,106,70.64,2543,36
50,T51,T51,Justin Leonard,95,70.7,2616,37
51,T51,T51,Kevin Na,84,70.7,1909,27
52,53,53,Cliff Kresge,107,70.71,2475,35
53,T54,T54,Tom Pernice Jr.,104,70.72,2051,29
54,T54,T54,John Rollins,102,70.72,2758,39
55,T54,T54,Nick Watney,87,70.72,2051,29
56,57,57,Bob Heintz,85,70.73,1839,26
57,T58,T58,Jonathan Byrd,73,70.74,1627,23
58,T58,T58,Will MacKenzie,100,70.74,2405,34
59,T60,T60,Rich Barcelo,80,70.76,1769,25
60,T60,T60,K.J. Choi,87,70.76,1486,21
61,62,62,Mark Brooks,53,70.77,920,13
62,63,63,Woody Austin,95,70.79,2407,34
63,64,64,Craig Barlow,52,70.8,1416,20
64,65,65,Parker McLachlin,83,70.83,2054,29
65,T66,T66,Chris Couch,76,70.87,1630,23
66,T66,T66,Tim Herron,98,70.87,3189,45
67,T68,T68,Zach Johnson,76,70.89,1347,19
68,T68,T68,Arron Oberholser,69,70.89,1914,27
69,T70,T70,Tommy Armour III,81,70.93,2057,29
70,T70,T70,Jason Bohn,57,70.93,993,14
71,72,72,Stuart Appleby,74,70.94,1277,18
72,T73,T73,Daniel Chopra,106,70.97,2413,34
73,T73,T73,Steve Elkington,87,70.97,2058,29
74,T73,T73,Charley Hoffman,97,70.97,2342,33
75,T73,T73,Troy Matteson,87,70.97,2271,32
76,T77,T77,Luke Donald,69,71.0,1846,26
77,T77,T77,Frank Lickliter II,95,71.0,2414,34
78,79,79,Charles Warren,101,71.03,2202,31
79,80,80,Jeff Maggert,79,71.04,1634,23
80,T81,T81,Gavin Coles,87,71.06,2345,33
81,T81,T81,Mathias Grönberg,95,71.06,2416,34
82,T81,T81,John Mallinger,96,71.06,2558,36
83,T81,T81,Jay Williamson,50,71.06,1137,16
