,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Briny Baird,115,411
1,2,2,Carl Pettersson,111,401
2,3,3,Daniel Chopra,106,389
3,4,4,Charles Warren,101,380
4,T5,T5,Steve Marino,106,378
5,T5,T5,Joe Ogilvie,102,378
6,7,7,Ryuji Imada,104,377
7,8,8,Bo Van Pelt,104,376
8,9,9,Tim Petrovic,106,374
9,10,10,Ken Duke,112,372
10,T11,T11,Ryan Armour,107,370
11,T11,T11,Brian Gay,107,370
12,13,13,Craig Kanada,109,368
13,14,14,Lucas Glover,98,366
14,15,15,Vijay Singh,102,361
15,T16,T16,Mark Calcavecchia,93,360
16,T16,T16,Cliff Kresge,107,360
17,T18,T18,Brian Davis,101,359
18,T18,T18,Charley Hoffman,97,359
19,20,20,Nathan Green,103,355
20,T21,T21,Heath Slocum,101,354
21,T21,T21,Brandt Snedeker,105,354
22,23,23,Will MacKenzie,100,351
23,T24,T24,Cameron Beckman,96,348
24,T24,T24,Sean O'Hair,98,348
25,T26,T26,Robert Garrigus,95,347
26,T26,T26,Boo Weekley,101,347
27,T28,T28,Tom Pernice Jr.,104,346
28,T28,T28,Bob Tway,103,346
29,30,30,Anthony Kim,93,345
30,31,31,Kent Jones,97,342
31,32,32,Jesper Parnevik,88,341
32,33,33,Ted Purdy,102,340
33,T34,T34,John Rollins,102,337
34,T34,T34,John Senden,97,337
35,36,36,Jeff Gove,103,336
36,T37,T37,Woody Austin,95,335
37,T37,T37,Mathias Grönberg,95,335
38,T39,T39,Jeff Quinney,95,334
39,T39,T39,Vaughn Taylor,91,334
40,41,41,Jason Dufner,100,333
41,42,42,Frank Lickliter II,95,332
42,T43,T43,Jerry Kelly,101,331
43,T43,T43,Johnson Wagner,97,331
44,45,45,John Merrick,92,329
45,46,46,Billy Mayfair,98,328
46,T47,T47,Eric Axley,107,327
47,T47,T47,Tim Herron,98,327
48,49,49,George McNeill,95,326
49,50,50,Steve Flesch,100,324
50,51,51,Ryan Moore,92,323
51,T52,T52,Hunter Mahan,91,322
52,T52,T52,D.J. Trahan,99,322
53,54,54,Rich Beem,89,321
54,T55,T55,Robert Allenby,90,320
55,T55,T55,Mathew Goggin,97,320
56,T55,T55,Bill Haas,93,320
57,58,58,J.P. Hayes,89,319
58,T59,T59,Bob Estes,88,317
59,T59,T59,Michael Putnam,96,317
60,61,61,John Mallinger,96,316
61,T62,T62,Kevin Na,84,314
62,T62,T62,Charlie Wi,90,314
63,64,64,Stewart Cink,91,312
64,65,65,Nick Watney,87,311
65,T66,T66,Bob Heintz,85,310
66,T66,T66,Doug LaBelle II,104,310
67,68,68,Bart Bryant,87,309
68,69,69,Justin Leonard,95,308
69,T70,T70,Harrison Frazar,88,305
70,T70,T70,Jason Gore,86,305
71,T70,T70,Brett Wetterich,88,305
72,73,73,Billy Andrade,88,303
73,74,74,K.J. Choi,87,302
74,75,75,Dean Wilson,92,300
75,76,76,Kevin Stadler,95,297
76,77,77,Jim Furyk,84,296
77,78,78,Ryan Palmer,91,295
78,T79,T79,Troy Matteson,87,294
79,T79,T79,Bubba Watson,80,294
80,81,81,Pat Perez,84,293
81,T82,T82,Steve Elkington,87,290
82,T82,T82,Camilo Villegas,82,290
83,T84,T84,Alex Cejka,80,289
84,T84,T84,Robert Gamez,88,289
85,T84,T84,Geoff Ogilvy,84,289
86,T84,T84,Steve Stricker,81,289
87,T84,T84,Kevin Sutherland,85,289
88,89,89,Rory Sabbatini,81,288
89,90,90,Aaron Baddeley,83,287
90,T91,T91,Chad Campbell,96,286
91,T91,T91,Rod Pampling,92,286
92,T93,T93,Jonathan Byrd,73,284
93,T93,T93,Kenny Perry,83,284
94,T95,T95,Freddie Jacobson,70,281
95,T95,T95,Peter Lonard,85,281
96,T95,T95,Shaun Micheel,91,281
97,98,98,Brendon de Jonge,76,280
98,T99,T99,Gavin Coles,87,279
99,T99,T99,Matt Kuchar,85,279
100,T101,T101,Glen Day,85,278
101,T101,T101,J.J. Henry,86,278
102,T101,T101,Parker McLachlin,83,278
103,T101,T101,Mark Wilson,87,278
104,105,105,Shigeki Maruyama,84,277
105,106,106,Charles Howell III,89,274
106,107,107,Rich Barcelo,80,272
107,108,108,Joe Durant,88,271
108,T109,T109,Mark Hensby,81,270
109,T109,T109,Jeff Maggert,79,270
110,T111,T111,Tommy Armour III,81,269
111,T111,T111,Craig Bowden,78,269
112,T111,T111,Mike Weir,82,269
113,T114,T114,Richard Johnson,93,268
114,T114,T114,Daisuke Maruyama,86,268
115,116,116,Jarrod Lyle,77,267
116,117,117,Scott Verplank,82,266
117,T118,T118,Steve Lowery,74,265
118,T118,T118,David Toms,80,265
119,120,120,J.B. Holmes,71,264
120,T121,T121,Phil Mickelson,73,263
121,T121,T121,Greg Owen,81,263
122,T123,T123,Andrew Buckle,77,262
123,T123,T123,Adam Scott,69,262
124,125,125,Tripp Isenhour,86,260
125,T126,T126,Stephen Leaney,82,258
126,T126,T126,Rocco Mediate,72,258
127,128,128,Craig Lile,77,255
128,129,129,Michael Allen,74,254
129,130,130,Chris Couch,76,252
130,131,131,Tom Johnson,74,251
131,132,132,Marco Dawson,73,248
132,133,133,Kirk Triplett,77,246
133,134,134,Stephen Ames,81,244
134,T135,T135,David Branshaw,83,243
135,T135,T135,Joey Sindelar,75,243
136,T137,T137,Corey Pavin,81,242
137,T137,T137,Tiger Woods,63,242
138,139,139,Brett Quigley,79,241
139,T140,T140,Zach Johnson,76,240
140,T140,T140,Steve Wheatcroft,73,240
141,142,142,Sergio Garcia,68,238
142,143,143,Steve Allan,63,234
143,144,144,Duffy Waldorf,69,232
144,T145,T145,Stuart Appleby,74,231
145,T145,T145,Dicky Pride,71,231
146,147,147,Ben Curtis,80,230
147,148,148,Scott Gutschewski,67,227
148,T149,T149,Luke Donald,69,226
149,T149,T149,Darron Stiles,65,226
