,Sub-Par_Rounds_RANK THIS WEEK,Sub-Par_Rounds_RANK LAST WEEK,Sub-Par_Rounds_PLAYER NAME,Sub-Par_Rounds_EVENTS
0,1,1,Bo Van Pelt,30
1,2,2,Heath Slocum,28
2,3,3,Briny Baird,31
3,4,4,Daniel Chopra,34
4,5,5,Nathan Green,29
5,T6,T6,Steve Marino,31
6,T6,T6,Vijay Singh,27
7,T8,T8,Ken Duke,31
8,T8,T8,Sean O'Hair,28
9,T10,T10,Jim Furyk,23
10,T10,T10,Ryuji Imada,32
11,T10,T10,Brandt Snedeker,29
12,T13,T13,Brian Gay,32
13,T13,T13,Carl Pettersson,31
14,T15,T15,Brian Davis,28
15,T15,T15,Craig Kanada,34
16,T15,T15,Billy Mayfair,30
17,T15,T15,Joe Ogilvie,31
18,T15,T15,Tim Petrovic,32
19,T20,T20,Cameron Beckman,29
20,T20,T20,Jerry Kelly,28
21,T20,T20,Cliff Kresge,30
22,T20,T20,Charles Warren,29
23,T24,T24,Woody Austin,27
24,T24,T24,K.J. Choi,25
25,T24,T24,Mathew Goggin,30
26,T24,T24,Kent Jones,30
27,T24,T24,Ted Purdy,33
28,T24,T24,John Rollins,29
29,T30,T30,Ryan Armour,32
30,T30,T30,Stewart Cink,25
31,T30,T30,George McNeill,30
32,T33,T33,Lucas Glover,29
33,T33,T33,Ryan Moore,28
34,T35,T35,Bob Estes,28
35,T35,T35,Jeff Gove,30
36,T35,T35,Mathias Grönberg,31
37,T35,T35,Bill Haas,30
38,T35,T35,Anthony Kim,26
39,T35,T35,Matt Kuchar,26
40,T35,T35,Will MacKenzie,30
41,T35,T35,Kevin Na,27
42,T35,T35,Pat Perez,27
43,T35,T35,Tom Pernice Jr.,31
44,T35,T35,Jeff Quinney,29
45,T35,T35,Rory Sabbatini,23
46,T35,T35,Boo Weekley,29
47,T35,T35,Charlie Wi,27
48,T49,T49,Robert Allenby,28
49,T49,T49,Alex Cejka,25
50,T49,T49,Steve Elkington,25
51,T49,T49,Steve Flesch,31
52,T49,T49,Frank Lickliter II,30
53,T49,T49,Jesper Parnevik,27
54,T49,T49,Steve Stricker,23
55,T49,T49,Bob Tway,32
56,T49,T49,Johnson Wagner,33
57,T58,T58,Aaron Baddeley,23
58,T58,T58,Bart Bryant,25
59,T58,T58,Robert Garrigus,28
60,T58,T58,Charley Hoffman,30
61,T58,T58,John Merrick,29
62,T63,T63,Tommy Armour III,24
63,T63,T63,Freddie Jacobson,20
64,T63,T63,Doug LaBelle II,33
65,T63,T63,Stephen Leaney,26
66,T63,T63,John Mallinger,29
67,T63,T63,Parker McLachlin,28
68,T63,T63,John Senden,27
69,T63,T63,Kevin Sutherland,25
70,T63,T63,D.J. Trahan,30
71,T63,T63,Nick Watney,26
72,T63,T63,Dean Wilson,28
73,T74,T74,Rich Beem,29
74,T74,T74,Hunter Mahan,27
75,T74,T74,Rod Pampling,25
76,T74,T74,Kevin Stadler,31
77,T78,T78,Jonathan Byrd,23
78,T78,T78,Jason Gore,27
79,T78,T78,Bob Heintz,27
80,T78,T78,Justin Leonard,29
81,T78,T78,Mark Wilson,25
82,T83,T83,Mark Calcavecchia,28
83,T83,T83,Gavin Coles,28
84,T83,T83,J.P. Hayes,28
85,T83,T83,Phil Mickelson,22
86,T83,T83,Geoff Ogilvy,22
87,T83,T83,Vaughn Taylor,28
88,T83,T83,Scott Verplank,23
89,T83,T83,Camilo Villegas,24
90,T83,T83,Bubba Watson,26
91,T92,T92,Craig Bowden,25
92,T92,T92,Jason Dufner,32
93,T92,T92,Harrison Frazar,32
94,T92,T92,Tim Herron,27
95,T92,T92,Daisuke Maruyama,28
96,T92,T92,Shaun Micheel,29
97,T92,T92,Tiger Woods,16
98,T99,T99,Glen Day,27
99,T99,T99,Mark Hensby,25
