,Tenth_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_2_Scoring_Average_AVG,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Padraig Harrington,68.0,68,1
1,2,2,David Toms,68.25,273,4
2,T3,T3,Ryan Moore,68.33,205,3
3,T3,T3,John Rollins,68.33,205,3
4,5,5,Kenny Perry,68.75,550,8
5,T6,T6,Zach Johnson,69.0,69,1
6,T6,T6,Chris Riley,69.0,138,2
7,8,8,Nick Watney,69.13,553,8
8,9,9,Bill Haas,69.17,415,6
9,T10,T10,Jonathan Byrd,69.33,208,3
10,T10,T10,Charles Howell III,69.33,208,3
11,T12,T12,Jason Bohn,69.5,139,2
12,T12,T12,Davis Love III,69.5,139,2
13,T12,T12,Sean O'Hair,69.5,417,6
14,T12,T12,Ian Poulter,69.5,139,2
15,T12,T12,Justin Rose,69.5,139,2
16,T12,T12,Brandt Snedeker,69.5,278,4
17,18,18,Jeff Brehaut,69.57,487,7
18,19,19,Jason Dufner,69.6,348,5
19,20,20,Bart Bryant,69.63,557,8
20,T21,T21,Michael Sim,69.67,209,3
21,T21,T21,Charles Warren,69.67,418,6
22,23,23,Craig Bowden,69.71,488,7
23,T24,T24,Joe Durant,69.75,279,4
24,T24,T24,Tom Johnson,69.75,279,4
25,T24,T24,Steve Lowery,69.75,558,8
26,T24,T24,Kevin Sutherland,69.75,279,4
27,T28,T28,Camilo Villegas,69.8,349,5
28,T28,T28,Charlie Wi,69.8,349,5
29,30,30,Nathan Green,69.83,419,6
30,T31,T31,Robert Allenby,69.86,489,7
31,T31,T31,John Mallinger,69.86,489,7
32,T33,T33,Lucas Glover,70.0,140,2
33,T33,T33,Jeff Gove,70.0,630,9
34,T33,T33,Steve Marino,70.0,630,9
35,T33,T33,Phil Mickelson,70.0,70,1
36,37,37,Kevin Na,70.13,561,8
37,38,38,John Merrick,70.14,491,7
38,T39,T39,Andrew Buckle,70.25,281,4
39,T39,T39,Stephen Leaney,70.25,281,4
40,T39,T39,Dicky Pride,70.25,281,4
41,T39,T39,John Senden,70.25,281,4
42,T43,T43,Mathew Goggin,70.33,422,6
43,T43,T43,Jerry Kelly,70.33,422,6
44,T43,T43,Nick O'Hern,70.33,211,3
45,T43,T43,Tag Ridings,70.33,422,6
46,47,47,Ken Duke,70.38,563,8
47,48,48,Cameron Beckman,70.43,493,7
48,T49,T49,Geoff Ogilvy,70.5,282,4
49,T49,T49,Steve Stricker,70.5,423,6
50,T49,T49,Jaco Van Zyl,70.5,141,2
51,52,52,Mark Wilson,70.55,776,11
52,T53,T53,Marco Dawson,70.57,494,7
53,T53,T53,Tripp Isenhour,70.57,494,7
54,T55,T55,Darron Stiles,70.6,353,5
55,T55,T55,Bo Van Pelt,70.6,706,10
