,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Tiger Woods,63,12.59,136,1080
1,2,2,Heath Slocum,101,14.36,261,1818
2,3,3,Alex Cejka,80,14.51,209,1440
3,4,4,Jeff Overton,60,14.54,157,1080
4,5,5,Jim Furyk,84,14.63,216,1476
5,6,6,Steve Stricker,81,14.86,214,1440
6,7,7,Matt Kuchar,85,15.1,231,1530
7,8,8,Stephen Leaney,82,15.24,225,1476
8,T9,T9,Tommy Armour III,81,15.29,223,1458
9,T9,T9,Brandt Snedeker,105,15.29,289,1890
10,11,11,K.J. Choi,87,15.36,235,1530
11,12,12,Michael Sim,52,15.38,144,936
12,13,13,Bo Van Pelt,104,15.6,292,1872
13,14,14,Chris Riley,59,15.73,167,1062
14,15,15,Jay Williamson,50,15.78,142,900
15,16,16,Charlie Wi,90,15.8,256,1620
16,17,17,Phil Mickelson,73,15.81,202,1278
17,18,18,Ken Duke,112,15.82,319,2016
18,19,19,Mark Brooks,53,15.83,151,954
19,20,20,Briny Baird,115,15.94,330,2070
20,T21,T21,Cameron Beckman,96,15.97,276,1728
21,T21,T21,Tim Clark,66,15.97,184,1152
22,23,23,Daniel Chopra,106,15.99,305,1908
23,24,24,Zach Johnson,76,16.0,216,1350
24,25,25,Gavin Coles,87,16.03,251,1566
25,26,26,Scott Verplank,82,16.05,234,1458
26,27,27,Rory Sabbatini,81,16.1,229,1422
27,28,28,Freddie Jacobson,70,16.11,203,1260
28,29,29,Brian Gay,107,16.2,312,1926
29,30,30,José Coceres,50,16.22,146,900
30,31,31,Doug LaBelle II,104,16.29,305,1872
31,32,32,Kevin Na,84,16.4,248,1512
32,33,33,Sergio Garcia,68,16.41,195,1188
33,34,34,Billy Mayfair,98,16.44,290,1764
34,35,35,Bart Bryant,87,16.47,255,1548
35,T36,T36,Brian Davis,101,16.5,300,1818
