,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
0,1,1,Tiger Woods,63,23.43,253,1080,1
1,2,2,Freddie Jacobson,70,22.46,283,1260,46
2,3,3,Jonathan Byrd,73,22.07,290,1314,136
3,4,4,Mark Calcavecchia,93,21.92,367,1674,121
4,5,5,Jesper Parnevik,88,21.84,346,1584,33
5,6,6,Adam Scott,69,21.81,267,1224,72
6,7,7,Charles Warren,101,21.73,395,1818,14
7,8,8,Justin Rose,63,21.66,230,1062,58
8,9,9,Lucas Glover,98,21.48,375,1746,44
9,10,10,Phil Mickelson,73,21.44,274,1278,84
10,11,11,Kevin Na,84,21.36,323,1512,167
11,12,12,Steve Allan,63,21.25,241,1134,95
12,T13,T13,J.B. Holmes,71,21.13,270,1278,104
13,T13,T13,Joe Ogilvie,102,21.13,388,1836,172
14,15,15,Bubba Watson,80,21.04,303,1440,68
15,16,16,Geoff Ogilvy,84,21.01,295,1404,158
16,17,17,Robert Garrigus,95,20.99,359,1710,25
17,T18,T18,Brendon de Jonge,76,20.98,287,1368,113
18,T18,T18,Ernie Els,59,20.98,219,1044,98
19,20,20,Jeff Overton,60,20.93,226,1080,10
20,21,21,Anthony Kim,93,20.91,350,1674,73
21,22,22,Charley Hoffman,97,20.85,364,1746,123
22,23,23,John Daly,59,20.81,221,1062,179
23,24,24,Rich Beem,89,20.79,333,1602,112
24,25,25,Vaughn Taylor,91,20.76,340,1638,120
25,26,26,Rory Sabbatini,81,20.75,295,1422,174
26,27,27,Vijay Singh,102,20.72,373,1800,45
27,28,28,Jay Williamson,50,20.67,186,900,40
28,29,29,Carl Pettersson,111,20.66,409,1980,126
29,30,30,Daniel Chopra,106,20.65,394,1908,75
30,31,31,Ryuji Imada,104,20.62,386,1872,159
31,32,32,Sean O'Hair,98,20.58,363,1764,23
32,33,33,Sergio Garcia,68,20.54,244,1188,105
33,34,34,Bob Heintz,85,20.52,314,1530,146
34,T35,T35,Tag Ridings,52,20.51,192,936,157
35,T35,T35,Bo Van Pelt,104,20.51,384,1872,37
36,T37,T37,Steve Lowery,74,20.5,273,1332,41
37,T37,T37,Nick Watney,87,20.5,321,1566,35
38,39,39,Alex Cejka,80,20.49,295,1440,6
39,40,40,Cameron Beckman,96,20.43,353,1728,4
40,41,41,Steve Stricker,81,20.42,294,1440,55
41,42,42,Robert Allenby,90,20.41,327,1602,15
42,43,43,Brian Davis,101,20.3,369,1818,83
43,44,44,Aaron Baddeley,83,20.28,292,1440,188
44,45,45,Bob Estes,88,20.27,321,1584,143
45,46,46,Jim Furyk,84,20.26,299,1476,6
46,47,47,Steve Marino,106,20.23,386,1908,50
47,T48,T48,Jason Gore,86,20.22,313,1548,64
48,T48,T48,Will MacKenzie,100,20.22,364,1800,47
49,T48,T48,Rocco Mediate,72,20.22,262,1296,90
50,51,51,Hunter Mahan,91,20.21,331,1638,29
51,T52,T52,Briny Baird,115,20.19,418,2070,8
52,T52,T52,Craig Barlow,52,20.19,189,936,22
53,T54,T54,Mathias Grönberg,95,20.18,345,1710,108
