,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Tiger Woods,69.43,2083,30
1,2,2,Freddie Jacobson,69.88,2795,40
2,3,3,Jeff Overton,69.97,2729,39
3,4,4,Justin Rose,70.0,2240,32
4,5,5,Jim Furyk,70.2,3159,45
5,6,6,Heath Slocum,70.21,4072,58
6,7,7,Jay Williamson,70.25,1967,28
7,8,8,Scott Verplank,70.26,3232,46
8,9,9,Vijay Singh,70.3,3726,53
9,10,10,Tim Clark,70.33,2532,36
10,11,11,Cliff Kresge,70.35,4362,62
11,12,12,Briny Baird,70.36,4503,64
12,13,13,Phil Mickelson,70.37,3026,43
13,T14,T14,Alex Cejka,70.39,3449,49
14,T14,T14,Charlie Wi,70.39,3801,54
15,16,16,Brian Gay,70.42,4648,66
16,T17,T17,Cameron Beckman,70.44,4156,59
17,T17,T17,K.J. Choi,70.44,3381,48
18,19,19,Charles Warren,70.48,4299,61
19,20,20,Michael Allen,70.49,3172,45
20,21,21,Nathan Green,70.5,4230,60
21,T22,T22,Craig Kanada,70.51,5006,71
22,T22,T22,Kevin Na,70.51,3737,53
23,24,24,Sean O'Hair,70.54,3950,56
24,25,25,Kenny Perry,70.55,3457,49
25,26,26,Daniel Chopra,70.59,4800,68
26,27,27,Chris Riley,70.6,2471,35
27,T28,T28,Tommy Armour III,70.63,3602,51
28,T28,T28,Bill Haas,70.63,4379,62
29,30,30,Tag Ridings,70.64,2543,36
30,31,31,Steve Stricker,70.66,3109,44
31,32,32,Ryuji Imada,70.67,4523,64
32,33,33,Bart Bryant,70.7,3535,50
33,34,34,Jesper Parnevik,70.71,3960,56
34,35,35,Stewart Cink,70.75,3396,48
35,36,36,Aaron Baddeley,70.76,3184,45
36,T37,T37,Brian Davis,70.78,4176,59
37,T37,T37,Sergio Garcia,70.78,2548,36
38,T39,T39,Jeff Gove,70.79,4460,63
39,T39,T39,Tom Lehman,70.79,2761,39
40,T39,T39,Michael Sim,70.79,2407,34
41,T42,T42,Ernie Els,70.8,2124,30
42,T42,T42,Steve Lowery,70.8,3257,46
43,T44,T44,Stephen Ames,70.81,3045,43
44,T44,T44,Kevin Sutherland,70.81,3753,53
45,46,46,Jason Gore,70.82,3895,55
46,47,47,Arron Oberholser,70.83,2550,36
47,48,48,Steve Allan,70.84,2621,37
48,49,49,Michael Putnam,70.85,4180,59
49,50,50,Camilo Villegas,70.86,3472,49
50,51,51,Will MacKenzie,70.87,4323,61
51,T52,T52,Ryan Armour,70.88,4749,67
52,T52,T52,Woody Austin,70.88,3969,56
53,T52,T52,Mark Hensby,70.88,3615,51
54,T52,T52,Steve Marino,70.88,4607,65
55,T56,T56,Padraig Harrington,70.89,2481,35
56,T56,T56,Carl Pettersson,70.89,4395,62
57,T56,T56,Bo Van Pelt,70.89,4324,61
58,T59,T59,Lucas Glover,70.91,3971,56
59,T59,T59,Tim Herron,70.91,3900,55
60,61,61,Brandt Snedeker,70.92,4326,61
61,T62,T62,Matt Kuchar,70.93,3901,55
62,T62,T62,John Rollins,70.93,4114,58
63,64,64,Craig Barlow,70.94,2412,34
64,T65,T65,John Mallinger,70.95,4328,61
65,T65,T65,John Senden,70.95,3973,56
66,T67,T67,Jason Dufner,70.97,4755,67
67,T67,T67,Steve Flesch,70.97,4542,64
68,T67,T67,Joe Ogilvie,70.97,4613,65
69,T70,T70,John Merrick,70.98,4259,60
70,T70,T70,Bob Tway,70.98,4685,66
71,T70,T70,Nick Watney,70.98,3904,55
72,T73,T73,Bob Heintz,71.0,4047,57
73,T73,T73,Billy Mayfair,71.0,4402,62
74,T73,T73,Rocco Mediate,71.0,3124,44
75,T73,T73,Vaughn Taylor,71.0,3976,56
76,T77,T77,Craig Lile,71.02,3480,49
77,T77,T77,Jarrod Lyle,71.02,3480,49
78,T79,T79,Jason Bohn,71.03,2486,35
79,T79,T79,Ryan Moore,71.03,4191,59
80,81,81,Jeff Maggert,71.04,3481,49
81,T82,T82,Ken Duke,71.05,4618,65
82,T82,T82,Hunter Mahan,71.05,4050,57
83,T84,T84,Glen Day,71.06,3837,54
84,T84,T84,Rod Pampling,71.06,3411,48
85,T86,T86,Jerry Kelly,71.07,4193,59
86,T86,T86,Peter Lonard,71.07,3980,56
87,T88,T88,Mathew Goggin,71.08,4194,59
88,T88,T88,Stephen Leaney,71.08,3696,52
89,T90,T90,D.J. Brigman,71.09,3199,45
90,T90,T90,Anthony Kim,71.09,3839,54
91,92,92,Craig Bowden,71.1,3697,52
92,T93,T93,Rory Sabbatini,71.11,3200,45
93,T93,T93,Adam Scott,71.11,2560,36
94,T95,T95,George McNeill,71.13,4268,60
95,T95,T95,Mike Weir,71.13,3272,46
96,97,97,Duffy Waldorf,71.14,3486,49
97,98,98,Tim Petrovic,71.15,4767,67
98,T99,T99,Jonathan Byrd,71.17,3416,48
99,T99,T99,Zach Johnson,71.17,2918,41
100,T99,T99,Corey Pavin,71.17,3772,53
101,T99,T99,David Toms,71.17,2918,41
102,103,103,Gavin Coles,71.18,3915,55
103,T104,T104,J.P. Hayes,71.19,4129,58
104,T104,T104,Pat Perez,71.19,3773,53
105,106,106,Rich Barcelo,71.22,3917,55
106,T107,T107,Frank Lickliter II,71.24,4203,59
107,T107,T107,Ted Purdy,71.24,4702,66
108,T109,T109,Bob Estes,71.25,3990,56
109,T109,T109,Kent Jones,71.25,4489,63
110,T111,T111,Marco Dawson,71.26,3349,47
111,T111,T111,Geoff Ogilvy,71.26,2993,42
112,T111,T111,Tom Pernice Jr.,71.26,4632,65
113,T114,T114,Mark Calcavecchia,71.27,3991,56
114,T114,T114,José Coceres,71.27,2352,33
115,116,116,Johnson Wagner,71.28,4918,69
116,117,117,Jeff Quinney,71.3,4278,60
117,118,118,Boo Weekley,71.33,4351,61
118,119,119,Mathias Grönberg,71.35,4495,63
119,T120,T120,Brendon de Jonge,71.36,3782,53
120,T120,T120,Steve Elkington,71.36,3782,53
121,122,122,Charles Howell III,71.37,3711,52
122,T123,T123,Charley Hoffman,71.38,4497,63
123,T123,T123,Richard Johnson,71.38,4568,64
124,T123,T123,Mark Wilson,71.38,3783,53
125,126,126,Tripp Isenhour,71.39,4212,59
126,127,127,Shigeki Maruyama,71.4,4141,58
127,128,128,Billy Andrade,71.41,3999,56
128,T129,T129,Rich Beem,71.42,3928,55
129,T129,T129,Doug LaBelle II,71.42,4928,69
130,131,131,Bubba Watson,71.44,3858,54
131,132,132,Robert Allenby,71.45,4001,56
132,133,133,Daisuke Maruyama,71.46,4002,56
133,T134,T134,Troy Matteson,71.49,3789,53
134,T134,T134,D.J. Trahan,71.49,4504,63
135,T136,T136,Robert Garrigus,71.51,4219,59
136,T136,T136,Justin Leonard,71.51,4362,61
137,T136,T136,Joey Sindelar,71.51,3647,51
138,139,139,Chris Stroud,71.54,3434,48
139,140,140,Anders Hansen,71.56,2576,36
140,141,141,Tom Johnson,71.61,3867,54
141,142,142,Steve Wheatcroft,71.62,3796,53
142,143,143,Fred Funk,71.66,2938,41
143,144,144,Jason Schultz,71.67,3225,45
144,T145,T145,Parker McLachlin,71.68,4086,57
