,Par_3_Scoring_Average_RANK THIS WEEK,Par_3_Scoring_Average_RANK LAST WEEK,Par_3_Scoring_Average_PLAYER NAME,Par_3_Scoring_Average_ROUNDS,Par_3_Scoring_Average_AVG,Par_3_Scoring_Average_TOTAL STROKES,Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Tim Clark,66,2.96,769,260
1,2,2,Justin Rose,63,2.98,695,233
2,3,3,Tiger Woods,63,3.0,708,236
3,T4,T4,José Coceres,50,3.01,602,200
4,T4,T4,Steve Elkington,87,3.01,1072,356
5,T4,T4,Craig Kanada,109,3.01,1325,440
6,T4,T4,Heath Slocum,101,3.01,1239,411
7,T8,T8,Michael Allen,74,3.02,910,301
8,T8,T8,Tommy Armour III,81,3.02,984,326
9,T8,T8,Jonathan Byrd,73,3.02,884,293
10,T8,T8,Kenny Perry,83,3.02,1029,341
11,T8,T8,Henrik Stenson,52,3.02,549,182
12,T8,T8,Scott Verplank,82,3.02,971,321
13,T14,T14,Jim Furyk,84,3.03,972,321
14,T14,T14,Sergio Garcia,68,3.03,800,264
15,T14,T14,Freddie Jacobson,70,3.03,836,276
16,T14,T14,Dicky Pride,71,3.03,864,285
17,T14,T14,Dean Wilson,92,3.03,1121,370
18,T19,T19,Stewart Cink,91,3.04,1059,348
19,T19,T19,Brian Gay,107,3.04,1310,431
20,T19,T19,Retief Goosen,50,3.04,572,188
21,T19,T19,Mark Hensby,81,3.04,998,328
22,T19,T19,Tom Lehman,62,3.04,756,249
23,T19,T19,Arron Oberholser,69,3.04,823,271
24,T19,T19,Jeff Overton,60,3.04,738,243
25,T19,T19,Jay Williamson,50,3.04,607,200
26,T27,T27,Briny Baird,115,3.05,1417,465
27,T27,T27,Mark Brooks,53,3.05,653,214
28,T27,T27,Daniel Chopra,106,3.05,1305,428
29,T27,T27,Ken Duke,112,3.05,1373,450
30,T27,T27,Steve Flesch,100,3.05,1231,403
31,T27,T27,Anders Hansen,55,3.05,662,217
32,T27,T27,Padraig Harrington,64,3.05,748,245
33,T27,T27,George McNeill,95,3.05,1185,389
34,T27,T27,Rocco Mediate,72,3.05,889,291
35,T27,T27,Rory Sabbatini,81,3.05,949,311
36,T27,T27,Michael Sim,52,3.05,628,206
37,T38,T38,Bart Bryant,87,3.06,1055,345
38,T38,T38,K.J. Choi,87,3.06,1032,337
39,T38,T38,Ernie Els,59,3.06,698,228
40,T38,T38,Lucas Glover,98,3.06,1179,385
41,T38,T38,Ryuji Imada,104,3.06,1282,419
42,T38,T38,Richard Johnson,93,3.06,1162,380
43,T38,T38,Matt Kuchar,85,3.06,1034,338
44,T38,T38,John Mallinger,96,3.06,1198,392
45,T38,T38,Kevin Na,84,3.06,1030,337
46,T38,T38,Jeff Quinney,95,3.06,1165,381
47,T38,T38,Steve Stricker,81,3.06,974,318
48,T38,T38,Boo Weekley,101,3.06,1237,404
49,T50,T50,Gavin Coles,87,3.07,1084,353
50,T50,T50,Marco Dawson,73,3.07,906,295
51,T50,T50,Glen Day,85,3.07,1059,345
52,T50,T50,Fred Funk,65,3.07,800,261
53,T50,T50,J.P. Hayes,89,3.07,1115,363
54,T50,T50,Bob Heintz,85,3.07,1067,348
55,T50,T50,Charley Hoffman,97,3.07,1199,390
56,T50,T50,Stephen Leaney,82,3.07,1027,335
57,T50,T50,Craig Lile,77,3.07,943,307
58,T50,T50,Shaun Micheel,91,3.07,1079,351
59,T50,T50,Phil Mickelson,73,3.07,873,284
60,T50,T50,Ryan Palmer,91,3.07,1132,369
61,T50,T50,Tom Pernice Jr.,104,3.07,1276,416
62,T50,T50,Brandt Snedeker,105,3.07,1309,426
63,T50,T50,Chris Stroud,66,3.07,807,263
64,T50,T50,David Toms,80,3.07,927,302
65,T66,T66,Aaron Baddeley,83,3.08,971,315
66,T66,T66,Brian Davis,101,3.08,1237,402
67,T66,T66,Jason Dufner,100,3.08,1245,404
68,T66,T66,Robert Garrigus,95,3.08,1178,382
69,T66,T66,Jeff Gove,103,3.08,1288,418
70,T66,T66,Lee Janzen,66,3.08,819,266
71,T66,T66,Zach Johnson,76,3.08,923,300
72,T66,T66,Cliff Kresge,107,3.08,1334,433
73,T66,T66,Justin Leonard,95,3.08,1163,378
74,T66,T66,Steve Marino,106,3.08,1304,424
75,T66,T66,John Merrick,92,3.08,1136,369
76,T66,T66,Tim Petrovic,106,3.08,1323,430
77,T66,T66,Michael Putnam,96,3.08,1179,383
78,T66,T66,John Rollins,102,3.08,1242,403
79,T66,T66,John Senden,97,3.08,1184,385
80,T66,T66,Nick Watney,87,3.08,1079,350
81,T66,T66,Charlie Wi,90,3.08,1126,365
82,T66,T66,Mark Wilson,87,3.08,1102,358
83,T84,T84,Steve Allan,63,3.09,794,257
84,T84,T84,Stephen Ames,81,3.09,925,299
85,T84,T84,Woody Austin,95,3.09,1189,385
86,T84,T84,Craig Barlow,52,3.09,651,211
87,T84,T84,Cameron Beckman,96,3.09,1194,387
88,T84,T84,Rich Beem,89,3.09,1092,353
89,T84,T84,Jason Gore,86,3.09,1077,348
90,T84,T84,Paul Goydos,60,3.09,755,244
91,T84,T84,Nathan Green,103,3.09,1300,421
92,T84,T84,Jerry Kelly,101,3.09,1237,400
93,T84,T84,Will MacKenzie,100,3.09,1249,404
94,T84,T84,Jeff Maggert,79,3.09,975,316
95,T84,T84,Shigeki Maruyama,84,3.09,1044,338
96,T84,T84,Troy Matteson,87,3.09,1085,351
97,T84,T84,Joe Ogilvie,102,3.09,1290,418
98,T84,T84,Jesper Parnevik,88,3.09,1107,358
