,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,Chris Tidland,59,88.5,1062,12
1,2,2,Tiger Woods,63,98.2,1080,11
2,3,3,Rod Pampling,92,115.7,1620,14
3,4,4,Phil Mickelson,73,116.2,1278,11
4,5,5,Darron Stiles,65,117.0,1170,10
5,6,6,Sean O'Hair,98,117.6,1764,15
6,7,7,Bill Haas,93,119.6,1674,14
7,8,8,Charles Warren,101,121.2,1818,15
8,9,9,Daisuke Maruyama,86,129.0,1548,12
9,10,10,Ernie Els,59,130.5,1044,8
10,T11,T11,Jeff Brehaut,59,132.8,1062,8
11,T11,T11,John Daly,59,132.8,1062,8
12,13,13,Michael Allen,74,133.2,1332,10
13,14,14,Rich Beem,89,133.5,1602,12
14,15,15,Pat Perez,84,137.5,1512,11
15,16,16,Will MacKenzie,100,138.5,1800,13
16,17,17,Chris DiMarco,79,138.6,1386,10
17,18,18,Brett Wetterich,88,142.4,1566,11
18,19,19,Robert Garrigus,95,142.5,1710,12
19,20,20,Harrison Frazar,88,144.0,1584,11
20,21,21,Greg Owen,81,145.8,1458,10
21,22,22,Jason Bohn,57,146.6,1026,7
22,23,23,Eric Axley,107,148.2,1926,13
23,24,24,Vijay Singh,102,150.0,1800,12
24,25,25,D.J. Brigman,67,150.8,1206,8
25,26,26,Jarrod Lyle,77,154.0,1386,9
26,27,27,Jeff Overton,60,154.3,1080,7
27,T28,T28,Brett Quigley,79,156.0,1404,9
28,T28,T28,Tag Ridings,52,156.0,936,6
29,30,30,Nick Watney,87,156.6,1566,10
30,31,31,Bubba Watson,80,160.0,1440,9
31,T32,T32,Steve Allan,63,162.0,1134,7
32,T32,T32,Jason Schultz,63,162.0,1134,7
33,34,34,Steve Flesch,100,163.6,1800,11
34,35,35,Tim Clark,66,164.6,1152,7
35,36,36,Steve Lowery,74,166.5,1332,8
36,37,37,Kevin Na,84,168.0,1512,9
37,38,38,Jeff Gove,103,168.5,1854,11
38,39,39,Mathias Grönberg,95,171.0,1710,10
39,40,40,Michael Putnam,96,172.8,1728,10
40,41,41,Kirk Triplett,77,173.3,1386,8
41,42,42,Duffy Waldorf,69,177.4,1242,7
42,43,43,Tom Byrum,50,180.0,900,5
43,T44,T44,Brian Davis,101,181.8,1818,10
44,T44,T44,John Rollins,102,181.8,1818,10
45,T46,T46,Hunter Mahan,91,182.0,1638,9
46,T46,T46,Ryan Palmer,91,182.0,1638,9
47,T48,T48,Scott Verplank,82,182.3,1458,8
48,T48,T48,Mike Weir,82,182.3,1458,8
49,50,50,Ken Duke,112,183.3,2016,11
50,51,51,Joe Ogilvie,102,183.6,1836,10
51,52,52,Ryan Moore,92,184.0,1656,9
52,53,53,Nathan Green,103,185.4,1854,10
53,T54,T54,George McNeill,95,190.0,1710,9
54,T54,T54,Kevin Stadler,95,190.0,1710,9
55,T56,T56,Jason Gore,86,193.5,1548,8
56,T56,T56,Charles Howell III,89,193.5,1548,8
57,T56,T56,Tripp Isenhour,86,193.5,1548,8
58,T59,T59,Lucas Glover,98,194.0,1746,9
59,T59,T59,Mathew Goggin,97,194.0,1746,9
60,T59,T59,Kent Jones,97,194.0,1746,9
61,62,62,Brendon de Jonge,76,195.4,1368,7
62,63,63,Troy Matteson,87,195.8,1566,8
63,T64,T64,Sergio Garcia,68,198.0,1188,6
64,T64,T64,Lee Janzen,66,198.0,1188,6
65,66,66,Jason Dufner,100,200.0,1800,9
66,67,67,Scott Gutschewski,67,201.0,1206,6
67,68,68,Heath Slocum,101,202.0,1818,9
68,69,69,Charlie Wi,90,202.5,1620,8
69,70,70,Rory Sabbatini,81,203.1,1422,7
70,71,71,Ryuji Imada,104,208.0,1872,9
