,Putts_made_Distance_RANK THIS WEEK,Putts_made_Distance_RANK LAST WEEK,Putts_made_Distance_PLAYER NAME,Putts_made_Distance_EVENTS,Putts_made_Distance_DISTANCE IN INCHES
0,T1,T1,Sangmoon Bae,26,55
1,T1,T1,Peter Hanson,15,55
2,T1,T1,Russell Henley,24,55
3,T1,T1,Brandt Snedeker,23,55
4,T5,T5,Stephen Ames,19,54
5,T5,T5,Harris English,26,54
6,T5,T5,Phil Mickelson,21,54
7,T5,T5,"Ted Potter, Jr.",22,54
8,T5,T5,Charl Schwartzel,19,54
9,T10,T10,Greg Chalmers,25,53
10,T10,T10,James Driscoll,23,53
11,T10,T10,Rickie Fowler,22,53
12,T10,T10,Chris Kirk,24,53
13,T14,T14,Aaron Baddeley,24,52
14,T14,T14,Sergio Garcia,17,52
15,T14,T14,David Hearn,26,52
16,T14,T14,Billy Horschel,26,52
17,T14,T14,Doug LaBelle II,23,52
18,T14,T14,Richard Lee,24,52
19,T14,T14,Graeme McDowell,16,52
20,T21,T21,Tim Clark,20,51
21,T21,T21,Erik Compton,24,51
22,T21,T21,Tommy Gainey,28,51
23,T21,T21,Morgan Hoffmann,20,51
24,T21,T21,Martin Kaymer,17,51
25,T21,T21,Colt Knost,25,51
26,T21,T21,Ben Kohles,25,51
27,T21,T21,Jeff Overton,24,51
28,T21,T21,Ryan Palmer,22,51
29,T21,T21,Carl Pettersson,24,51
30,T21,T21,Patrick Reed,26,51
31,T21,T21,Jordan Spieth,23,51
32,T21,T21,Steve Stricker,13,51
33,T21,T21,Aaron Watkins,19,51
34,T21,T21,Charlie Wi,23,51
35,T36,T36,Brian Davis,28,50
36,T36,T36,Ken Duke,28,50
37,T36,T36,Derek Ernst,21,50
38,T36,T36,Luke Guthrie,27,50
39,T36,T36,Charles Howell III,26,50
40,T36,T36,Zach Johnson,24,50
41,T36,T36,Martin Laird,21,50
42,T36,T36,D.H. Lee,22,50
43,T36,T36,David Lynn,22,50
44,T36,T36,Bryce Molder,24,50
45,T36,T36,D.A. Points,28,50
46,T36,T36,Andres Romero,21,50
47,T36,T36,Rory Sabbatini,27,50
48,T36,T36,Scott Stallings,27,50
49,T36,T36,Johnson Wagner,24,50
50,T36,T36,Jimmy Walker,24,50
51,T36,T36,Nick Watney,26,50
52,T36,T36,Gary Woodland,26,50
53,T54,T54,Stuart Appleby,25,49
54,T54,T54,Jonas Blixt,24,49
55,T54,T54,Jason Bohn,23,49
56,T54,T54,Ángel Cabrera,21,49
57,T54,T54,Ben Crane,21,49
58,T54,T54,Jason Day,21,49
59,T54,T54,Graham DeLaet,26,49
60,T54,T54,Luke Donald,17,49
61,T54,T54,Bob Estes,18,49
62,T54,T54,Matt Every,28,49
63,T54,T54,Tom Gillis,22,49
64,T54,T54,Bill Haas,25,49
65,T54,T54,Padraig Harrington,17,49
66,T54,T54,Jim Herman,19,49
67,T54,T54,Justin Hicks,25,49
68,T54,T54,Charley Hoffman,23,49
69,T54,T54,John Huh,28,49
70,T54,T54,Freddie Jacobson,19,49
71,T54,T54,Jason Kokrak,25,49
72,T54,T54,Matt Kuchar,23,49
73,T54,T54,Scott Langley,27,49
74,T54,T54,David Lingmerth,23,49
75,T54,T54,William McGirt,24,49
76,T54,T54,Rory McIlroy,16,49
77,T54,T54,George McNeill,21,49
78,T54,T54,Sean O'Hair,22,49
79,T54,T54,Geoff Ogilvy,19,49
80,T54,T54,Webb Simpson,25,49
81,T54,T54,Henrik Stenson,18,49
82,T54,T54,Kevin Streelman,25,49
83,T54,T54,Chris Stroud,26,49
84,T54,T54,Nicholas Thompson,29,49
85,T54,T54,Michael Thompson,22,49
86,T54,T54,Cameron Tringale,24,49
87,T54,T54,Mike Weir,22,49
88,T54,T54,Casey Wittenberg,27,49
89,T54,T54,Tiger Woods,16,49
90,T91,T91,Steven Bowditch,22,48
91,T91,T91,Keegan Bradley,25,48
92,T91,T91,Martin Flores,25,48
93,T91,T91,Brad Fritsch,24,48
94,T91,T91,Jim Furyk,22,48
95,T91,T91,Scott Gardiner,23,48
96,T91,T91,Brian Gay,24,48
97,T91,T91,Fabián Gómez,23,48
98,T91,T91,Tim Herron,15,48
99,T91,T91,Brandt Jobe,19,48
100,T91,T91,Dustin Johnson,22,48
101,T91,T91,Matt Jones,24,48
102,T91,T91,Marc Leishman,23,48
103,T91,T91,Jeff Maggert,21,48
104,T91,T91,Hunter Mahan,25,48
105,T91,T91,Henrik Norlander,22,48
106,T91,T91,Scott Piercy,24,48
107,T91,T91,Ian Poulter,16,48
108,T91,T91,Alistair Presnell,23,48
109,T91,T91,Dicky Pride,23,48
110,T91,T91,Chez Reavie,22,48
111,T91,T91,Tag Ridings,24,48
112,T91,T91,Adam Scott,16,48
113,T91,T91,Shawn Stefani,21,48
114,T91,T91,Brian Stuard,25,48
115,T91,T91,D.J. Trahan,16,48
116,T91,T91,Camilo Villegas,23,48
117,T118,T118,Robert Allenby,24,47
118,T118,T118,Justin Bolli,23,47
119,T118,T118,Chad Campbell,25,47
120,T118,T118,Kevin Chappell,24,47
121,T118,T118,K.J. Choi,24,47
122,T118,T118,Ben Curtis,20,47
123,T118,T118,Brendon de Jonge,30,47
124,T118,T118,Jason Dufner,22,47
125,T118,T118,James Hahn,26,47
126,T118,T118,Brian Harman,29,47
127,T118,T118,Ryo Ishikawa,23,47
128,T118,T118,Steve LeBrun,21,47
129,T118,T118,Justin Leonard,24,47
130,T118,T118,Troy Matteson,24,47
131,T118,T118,John Merrick,23,47
132,T118,T118,Seung-Yul Noh,25,47
133,T118,T118,Jin Park,20,47
134,T118,T118,Cameron Percy,21,47
135,T118,T118,John Rollins,24,47
136,T118,T118,Justin Rose,17,47
137,T118,T118,John Senden,25,47
138,T118,T118,Kevin Stadler,25,47
139,T118,T118,Darron Stiles,20,47
140,T118,T118,Robert Streb,25,47
141,T118,T118,Daniel Summerhays,26,47
142,T118,T118,Josh Teater,24,47
143,T118,T118,Bo Van Pelt,22,47
144,T118,T118,Y.E. Yang,19,47
145,T146,T146,Charlie Beljan,24,46
146,T146,T146,Scott Brown,21,46
147,T146,T146,Roberto Castro,29,46
148,T146,T146,Stewart Cink,22,46
149,T146,T146,Nicolas Colsaerts,17,46
150,T146,T146,J.J. Henry,26,46
151,T146,T146,Jerry Kelly,22,46
152,T146,T146,Luke List,24,46
153,T146,T146,David Mathis,24,46
154,T146,T146,Ryan Moore,22,46
155,T146,T146,Pat Perez,22,46
156,T146,T146,Kyle Stanley,24,46
157,T146,T146,Brendan Steele,26,46
158,T146,T146,Andrew Svoboda,18,46
159,T146,T146,Vaughn Taylor,16,46
160,T146,T146,David Toms,16,46
161,T146,T146,Boo Weekley,27,46
162,T146,T146,Lee Westwood,19,46
163,T146,T146,Lee Williams,22,46
164,T165,T165,Ricky Barnes,26,45
165,T165,T165,Michael Bradley,21,45
166,T165,T165,Bud Cauley,24,45
167,T165,T165,Ernie Els,19,45
168,T165,T165,Bobby Gates,20,45
169,T165,T165,Lucas Glover,23,45
170,T165,T165,Robert Karlsson,18,45
171,T172,T172,Robert Garrigus,22,44
172,T172,T172,Trevor Immelman,24,44
173,T172,T172,Eric Meierdierks,19,44
174,T172,T172,Greg Owen,24,44
175,T172,T172,Bubba Watson,21,44
176,T172,T172,Mark Wilson,19,44
177,T178,T178,Will Claxton,24,42
178,T178,T178,Vijay Singh,19,42
179,180,180,Rod Pampling,16,40
