,3-Putt_Avoidance_-_20-25_RANK THIS WEEK,3-Putt_Avoidance_-_20-25_RANK LAST WEEK,3-Putt_Avoidance_-_20-25_PLAYER NAME,3-Putt_Avoidance_-_20-25_ROUNDS,3-Putt_Avoidance_-_20-25_%,3-Putt_Avoidance_-_20-25_TOTAL 3 PUTTS,3-Putt_Avoidance_-_20-25_ATTEMPTS,3-Putt_Avoidance_-_20-25_2 PUTT OR BETTER %
0,T1,T1,Aaron Baddeley,68,0.0,,71,100.0
1,T1,T1,Michael Bradley,56,0.0,,66,100.0
2,T1,T1,Will Claxton,67,0.0,,70,100.0
3,T1,T1,James Driscoll,76,0.0,,80,100.0
4,T1,T1,Bill Haas,85,0.0,,97,100.0
5,T1,T1,Padraig Harrington,52,0.0,,46,100.0
6,T1,T1,Charley Hoffman,84,0.0,,93,100.0
7,T1,T1,Trevor Immelman,73,0.0,,84,100.0
8,T1,T1,Jerry Kelly,75,0.0,,108,100.0
9,T1,T1,Doug LaBelle II,72,0.0,,98,100.0
10,T1,T1,Justin Leonard,86,0.0,,112,100.0
11,T1,T1,William McGirt,75,0.0,,116,100.0
12,T1,T1,Phil Mickelson,78,0.0,,65,100.0
13,T1,T1,Rod Pampling,46,0.0,,49,100.0
14,T1,T1,Jin Park,52,0.0,,59,100.0
15,T1,T1,Carl Pettersson,82,0.0,,105,100.0
16,T1,T1,Alistair Presnell,59,0.0,,64,100.0
17,T1,T1,Charl Schwartzel,69,0.0,,78,100.0
18,T1,T1,Scott Stallings,79,0.0,,99,100.0
19,T1,T1,Henrik Stenson,65,0.0,,69,100.0
20,T1,T1,Andrew Svoboda,46,0.0,,66,100.0
21,T1,T1,Vaughn Taylor,50,0.0,,48,100.0
22,T1,T1,Bubba Watson,76,0.0,,85,100.0
23,T1,T1,Tiger Woods,61,0.0,,63,100.0
24,25,25,Boo Weekley,100,0.83,1.0,120,99.1
25,26,26,Matt Kuchar,93,0.92,1.0,109,99.0
26,27,27,Russell Henley,80,0.94,1.0,106,99.0
27,28,28,Jimmy Walker,84,0.98,1.0,102,99.0
