,GIR_Putting_-_Inside_5_RANK THIS WEEK,GIR_Putting_-_Inside_5_RANK LAST WEEK,GIR_Putting_-_Inside_5_PLAYER NAME,GIR_Putting_-_Inside_5_ROUNDS,GIR_Putting_-_Inside_5_%,GIR_Putting_-_Inside_5_ATTEMPTS,GIR_Putting_-_Inside_5_PUTTS MADE
0,T1,T1,Justin Bolli,59,100.0,21,21
1,T1,T1,Jim Herman,59,100.0,26,26
2,3,3,Freddie Jacobson,63,96.0,25,24
3,4,4,Brandt Jobe,62,95.65,23,22
4,5,5,Vaughn Taylor,50,95.45,22,21
5,T6,T6,D.H. Lee,65,94.87,39,37
6,T6,T6,Bryce Molder,82,94.87,39,37
7,T8,T8,Stephen Ames,49,94.12,17,16
8,T8,T8,Peter Hanson,45,94.12,17,16
9,T8,T8,Steve Stricker,51,94.12,34,32
10,11,11,Bo Van Pelt,72,93.55,31,29
11,12,12,Nicolas Colsaerts,50,92.86,14,13
12,13,13,Bubba Watson,76,92.59,27,25
13,T14,T14,Billy Horschel,96,92.5,40,37
14,T14,T14,Phil Mickelson,78,92.5,40,37
15,T16,T16,Graeme McDowell,53,92.31,13,12
16,T16,T16,Brendan Steele,86,92.31,39,36
17,T18,T18,Sergio Garcia,65,92.0,25,23
18,T18,T18,Aaron Watkins,46,92.0,25,23
19,T18,T18,Mike Weir,60,92.0,25,23
20,T18,T18,Mark Wilson,56,92.0,25,23
21,22,22,Steven Bowditch,67,91.43,35,32
22,23,23,Andrew Svoboda,46,91.3,23,21
23,24,24,Greg Chalmers,77,91.18,34,31
24,T25,T25,Ryan Palmer,79,90.7,43,39
25,T25,T25,Chez Reavie,72,90.7,43,39
26,T27,T27,Jerry Kelly,75,90.63,32,29
27,T27,T27,David Lynn,70,90.63,32,29
28,29,29,Brian Davis,91,90.38,52,47
29,T30,T30,Justin Hicks,79,90.0,30,27
30,T30,T30,Patrick Reed,83,90.0,40,36
31,32,32,Brian Gay,79,89.47,38,34
32,33,33,Ian Poulter,59,89.29,28,25
33,T34,T34,Tommy Gainey,84,88.89,27,24
34,T34,T34,Jason Kokrak,78,88.89,54,48
35,T34,T34,Scott Langley,79,88.89,36,32
36,T34,T34,Troy Matteson,68,88.89,27,24
37,T34,T34,Chris Stroud,88,88.89,45,40
38,39,39,Rory Sabbatini,86,88.68,53,47
39,40,40,Andres Romero,63,88.64,44,39
40,41,41,Ricky Barnes,74,88.57,35,31
41,T42,T42,Robert Allenby,58,88.46,26,23
42,T42,T42,Casey Wittenberg,72,88.46,26,23
43,T44,T44,Keegan Bradley,88,88.24,34,30
44,T44,T44,Martin Kaymer,61,88.24,17,15
45,T44,T44,Cameron Percy,68,88.24,34,30
46,47,47,Derek Ernst,58,88.0,25,22
47,48,48,Jeff Overton,78,87.8,41,36
48,49,49,Nicholas Thompson,99,87.69,65,57
49,T50,T50,Charles Howell III,87,87.5,48,42
50,T50,T50,Ben Kohles,75,87.5,16,14
51,T50,T50,Brandt Snedeker,79,87.5,40,35
52,53,53,Charley Hoffman,84,87.23,47,41
53,54,54,Luke Donald,60,87.1,31,27
54,55,55,Michael Thompson,66,86.96,23,20
55,T56,T56,James Hahn,78,86.84,38,33
56,T56,T56,Russell Henley,80,86.84,38,33
57,T56,T56,John Rollins,77,86.84,38,33
58,T59,T59,Ben Crane,62,86.67,30,26
59,T59,T59,Fabián Gómez,65,86.67,30,26
60,61,61,Matt Kuchar,93,86.49,37,32
61,T62,T62,David Lingmerth,68,86.36,22,19
62,T62,T62,Jin Park,52,86.36,22,19
63,64,64,Chris Kirk,89,86.27,51,44
64,T65,T65,Martin Laird,68,86.11,36,31
65,T65,T65,John Merrick,79,86.11,36,31
66,T65,T65,Henrik Norlander,70,86.11,36,31
67,T65,T65,Justin Rose,62,86.11,36,31
68,T69,T69,Charlie Beljan,62,85.71,28,24
69,T69,T69,Scott Brown,65,85.71,28,24
70,T69,T69,Erik Compton,74,85.71,28,24
71,T69,T69,James Driscoll,76,85.71,28,24
72,T69,T69,J.J. Henry,83,85.71,42,36
73,T69,T69,Doug LaBelle II,72,85.71,28,24
74,T69,T69,Josh Teater,86,85.71,42,36
75,76,76,Justin Leonard,86,85.42,48,41
76,T77,T77,Brad Fritsch,81,85.19,27,23
77,T77,T77,Robert Streb,75,85.19,27,23
78,79,79,Nick Watney,88,85.0,40,34
79,80,80,Gary Woodland,94,84.75,59,50
80,T81,T81,Stuart Appleby,88,84.62,39,33
81,T81,T81,Ben Curtis,59,84.62,13,11
82,T81,T81,Jason Dufner,78,84.62,39,33
83,T81,T81,Ernie Els,63,84.62,26,22
84,T81,T81,Jim Furyk,80,84.62,39,33
85,T81,T81,Johnson Wagner,64,84.62,26,22
86,87,87,Matt Jones,83,84.44,45,38
87,T88,T88,Scott Gardiner,61,84.38,32,27
88,T88,T88,Henrik Stenson,65,84.38,32,27
89,90,90,Kevin Stadler,83,84.0,50,42
90,91,91,Chad Campbell,78,83.78,37,31
91,92,92,Jason Day,86,83.72,43,36
92,93,93,Cameron Tringale,80,83.64,55,46
93,T94,T94,Richard Lee,81,83.33,36,30
94,T94,T94,Geoff Ogilvy,57,83.33,24,20
95,T94,T94,Adam Scott,61,83.33,24,20
96,T94,T94,Kevin Streelman,86,83.33,36,30
97,T98,T98,Jason Bohn,70,82.93,41,34
98,T98,T98,Bud Cauley,67,82.93,41,34
99,T98,T98,Luke Guthrie,82,82.93,41,34
100,101,101,Dustin Johnson,71,82.86,35,29
101,102,102,Morgan Hoffmann,64,82.76,29,24
102,103,103,Roberto Castro,97,82.61,46,38
103,T104,T104,Graham DeLaet,94,82.22,45,37
104,T104,T104,Hunter Mahan,91,82.22,45,37
105,106,106,Matt Every,89,82.0,50,41
106,T107,T107,David Hearn,88,81.82,44,36
