,Putting_from_Inside_5_RANK THIS WEEK,Putting_from_Inside_5_RANK LAST WEEK,Putting_from_Inside_5_PLAYER NAME,Putting_from_Inside_5_ROUNDS,Putting_from_Inside_5_%,Putting_from_Inside_5_ATTEMPTS,Putting_from_Inside_5_PUTTS MADE
0,1,1,Greg Chalmers,77,98.52,949,935
1,2,2,David Lynn,70,98.09,785,770
2,3,3,Andrew Svoboda,46,98.03,508,498
3,T4,T4,Matt Kuchar,93,97.76,981,959
4,T4,T4,Aaron Watkins,46,97.76,491,480
5,6,6,Brendan Steele,86,97.69,1127,1101
6,T7,T7,Brandt Jobe,62,97.63,761,743
7,T7,T7,Hunter Mahan,91,97.63,972,949
8,9,9,Jeff Overton,78,97.58,1032,1007
9,10,10,Ernie Els,63,97.55,694,677
10,11,11,Ian Poulter,59,97.53,567,553
11,12,12,Graeme McDowell,53,97.51,522,509
12,13,13,Freddie Jacobson,63,97.49,638,622
13,14,14,Chris Stroud,88,97.47,1108,1080
14,15,15,Jin Park,52,97.46,630,614
15,16,16,Justin Leonard,86,97.43,1090,1062
16,17,17,Brendon de Jonge,110,97.41,1388,1352
17,18,18,Bryce Molder,82,97.4,1001,975
18,19,19,Peter Hanson,45,97.35,453,441
19,T20,T20,Ryan Palmer,79,97.34,976,950
20,T20,T20,Gary Woodland,94,97.34,1165,1134
21,T22,T22,Ben Kohles,75,97.33,862,839
22,T22,T22,Patrick Reed,83,97.33,1050,1022
23,T24,T24,Keegan Bradley,88,97.29,1034,1006
24,T24,T24,Scott Brown,65,97.29,811,789
25,26,26,Stephen Ames,49,97.24,617,600
26,27,27,Bob Estes,66,97.23,903,878
27,28,28,Jonas Blixt,76,97.22,971,944
28,29,29,Johnson Wagner,64,97.19,748,727
29,30,30,Luke Donald,60,97.18,638,620
30,31,31,Steve Stricker,51,97.16,493,479
31,32,32,Charles Howell III,87,97.14,1155,1122
32,T33,T33,Chris Kirk,89,97.12,1111,1079
33,T33,T33,Michael Thompson,66,97.12,765,743
34,35,35,Scott Langley,79,97.11,935,908
35,T36,T36,Aaron Baddeley,68,97.06,850,825
36,T36,T36,Nick Watney,88,97.06,1055,1024
37,T38,T38,Jim Furyk,80,97.02,939,911
38,T38,T38,Richard Lee,81,97.02,1007,977
39,T40,T40,Justin Bolli,59,97.01,670,650
40,T40,T40,James Driscoll,76,97.01,871,845
41,T42,T42,Rod Pampling,46,96.99,531,515
42,T42,T42,Robert Streb,75,96.99,898,871
43,T44,T44,Martin Kaymer,61,96.98,596,578
44,T44,T44,Phil Mickelson,78,96.98,794,770
45,46,46,Harris English,95,96.95,1148,1113
46,47,47,Dicky Pride,71,96.94,850,824
47,T48,T48,Cameron Percy,68,96.93,815,790
48,T48,T48,Bo Van Pelt,72,96.93,783,759
49,50,50,James Hahn,78,96.89,965,935
50,51,51,Vaughn Taylor,50,96.87,575,557
51,52,52,Tag Ridings,69,96.85,858,831
52,T53,T53,Stuart Appleby,88,96.83,1134,1098
53,T53,T53,Brian Gay,79,96.83,1009,977
54,55,55,Brian Davis,91,96.82,1162,1125
55,56,56,Bobby Gates,49,96.8,562,544
56,57,57,Zach Johnson,84,96.76,956,925
57,58,58,Sergio Garcia,65,96.75,677,655
58,59,59,Tiger Woods,61,96.74,613,593
59,T60,T60,J.J. Henry,83,96.72,1097,1061
60,T60,T60,Charley Hoffman,84,96.72,1037,1003
61,T60,T60,Kevin Streelman,86,96.72,977,945
62,T60,T60,Bubba Watson,76,96.72,854,826
63,64,64,Jim Herman,59,96.7,636,615
64,65,65,Graham DeLaet,94,96.69,1177,1138
65,T66,T66,Roberto Castro,97,96.68,1266,1224
66,T66,T66,Ken Duke,87,96.68,1083,1047
67,68,68,Matt Every,89,96.67,1141,1103
68,69,69,Dustin Johnson,71,96.64,743,718
69,70,70,Brian Stuard,78,96.63,921,890
70,71,71,Rory McIlroy,56,96.62,591,571
71,T72,T72,Fabián Gómez,65,96.61,797,770
72,T72,T72,Billy Horschel,96,96.61,1149,1110
73,74,74,Daniel Summerhays,83,96.6,1119,1081
74,T75,T75,Ben Curtis,59,96.59,675,652
75,T75,T75,Josh Teater,86,96.59,881,851
76,T77,T77,Matt Jones,83,96.58,1023,988
77,T77,T77,Carl Pettersson,82,96.58,907,876
78,T77,T77,Adam Scott,61,96.58,644,622
79,T80,T80,Ben Crane,62,96.56,786,759
80,T80,T80,Martin Flores,83,96.56,1106,1068
81,T82,T82,Tim Herron,45,96.55,638,616
82,T82,T82,Brandt Snedeker,79,96.55,811,783
83,84,84,Bill Haas,85,96.53,981,947
84,T85,T85,Jason Day,86,96.52,891,860
85,T85,T85,Robert Karlsson,56,96.52,546,527
86,87,87,Jerry Kelly,75,96.51,917,885
87,88,88,Brad Fritsch,81,96.5,971,937
88,T89,T89,David Toms,49,96.48,455,439
89,T89,T89,Mark Wilson,56,96.48,739,713
90,91,91,Casey Wittenberg,72,96.47,878,847
91,T92,T92,Rickie Fowler,75,96.46,819,790
92,T92,T92,Brian Harman,89,96.46,1102,1063
93,94,94,David Lingmerth,68,96.41,807,778
94,T95,T95,Nicolas Colsaerts,50,96.39,526,507
95,T95,T95,Steve LeBrun,66,96.39,748,721
96,T97,T97,John Merrick,79,96.37,992,956
97,T97,T97,Shawn Stefani,63,96.37,717,691
98,99,99,Chez Reavie,72,96.35,959,924
99,T100,T100,Tommy Gainey,84,96.31,1056,1017
100,T100,T100,Doug LaBelle II,72,96.31,812,782
101,T100,T100,Jimmy Walker,84,96.31,1056,1017
102,103,103,Robert Garrigus,69,96.3,729,702
103,104,104,Tim Clark,64,96.29,620,597
104,105,105,Jason Bohn,70,96.25,934,899
105,T106,T106,Scott Piercy,78,96.23,902,868
106,T106,T106,Justin Rose,62,96.23,664,639
107,T106,T106,John Senden,79,96.23,902,868
108,T109,T109,Chad Campbell,78,96.22,1059,1019
109,T109,T109,Derek Ernst,58,96.22,714,687
