,One-Putt_Percentage_-_Round_4_RANK THIS WEEK,One-Putt_Percentage_-_Round_4_RANK LAST WEEK,One-Putt_Percentage_-_Round_4_PLAYER NAME,One-Putt_Percentage_-_Round_4_%,One-Putt_Percentage_-_Round_4_# OF 1 PUTTS,One-Putt_Percentage_-_Round_4_# OF HOLES
130,T130,T130,Steve Stricker,36.87,73,198
131,132,132,K.J. Choi,36.84,126,342
132,133,133,Robert Karlsson,36.81,53,144
133,134,134,Ryo Ishikawa,36.57,79,216
134,T135,T135,Nicolas Colsaerts,36.51,46,126
135,T135,T135,Chez Reavie,36.51,92,252
136,T135,T135,Justin Rose,36.51,92,252
137,138,138,John Merrick,36.46,105,288
138,139,139,Colt Knost,36.42,59,162
139,140,140,Ben Kohles,36.36,72,198
140,141,141,Pat Perez,36.32,85,234
141,T142,T142,Charlie Beljan,36.11,39,108
142,T142,T142,Luke List,36.11,52,144
143,T142,T142,Greg Owen,36.11,78,216
144,T142,T142,Nicholas Thompson,36.11,130,360
145,146,146,Gary Woodland,35.96,123,342
146,147,147,Nick Watney,35.95,110,306
147,148,148,Seung-Yul Noh,35.8,58,162
148,149,149,Henrik Stenson,35.56,96,270
149,150,150,Will Claxton,35.42,51,144
150,T151,T151,Jim Furyk,35.19,114,324
151,T151,T151,Jim Herman,35.19,57,162
152,T151,T151,Tiger Woods,35.19,95,270
153,154,154,Josh Teater,34.97,107,306
154,155,155,Mark Wilson,34.92,44,126
155,156,156,Boo Weekley,34.54,143,414
156,157,157,Michael Bradley,34.44,31,90
157,158,158,Ángel Cabrera,34.38,99,288
158,159,159,Rod Pampling,34.26,37,108
159,160,160,Tim Herron,34.13,43,126
160,161,161,Tag Ridings,33.95,55,162
161,162,162,Charley Hoffman,33.92,116,342
162,163,163,David Mathis,33.89,61,180
163,164,164,Cameron Percy,33.76,79,234
164,165,165,Sergio Garcia,33.7,91,270
165,T166,T166,Kevin Chappell,33.33,90,270
166,T166,T166,George McNeill,33.33,78,234
167,168,168,Bill Haas,33.01,101,306
168,169,169,Ricky Barnes,32.72,53,162
169,170,170,Casey Wittenberg,32.64,47,144
170,171,171,Johnson Wagner,32.41,35,108
171,172,172,Graham DeLaet,32.28,122,378
172,173,173,Jin Park,32.22,29,90
173,174,174,Vijay Singh,31.82,63,198
174,175,175,Sean O'Hair,31.75,40,126
175,T176,T176,J.J. Henry,31.48,85,270
176,T176,T176,Troy Matteson,31.48,51,162
177,178,178,Padraig Harrington,30.25,49,162
178,179,179,Scott Gardiner,30.16,38,126
179,180,180,Andrew Svoboda,27.78,25,90
