,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,1,Phil Mickelson,78,34.97,327,935
1,2,2,Tiger Woods,61,33.33,243,729
2,3,3,Charl Schwartzel,69,33.17,267,805
3,4,4,Rory McIlroy,56,33.13,214,646
4,5,5,Aaron Baddeley,68,32.99,226,685
5,6,6,Sangmoon Bae,83,32.84,312,950
6,7,7,Brandt Snedeker,79,32.8,306,933
7,8,8,Charley Hoffman,84,32.59,321,985
8,9,9,Ryan Palmer,79,32.55,306,940
9,10,10,Rory Sabbatini,86,32.5,324,997
10,11,11,Charlie Wi,75,32.43,250,771
11,12,12,Chris Kirk,89,32.35,340,1051
12,13,13,Andres Romero,63,32.26,210,651
13,14,14,Vaughn Taylor,50,32.13,169,526
14,15,15,Morgan Hoffmann,64,32.12,239,744
15,16,16,Matt Every,89,32.06,335,1045
16,17,17,Jordan Spieth,82,32.01,314,981
17,18,18,Harris English,95,31.94,360,1127
18,19,19,Steven Bowditch,67,31.86,231,725
19,20,20,Billy Horschel,96,31.85,371,1165
20,21,21,Steve Stricker,51,31.77,190,598
21,22,22,Jimmy Walker,84,31.39,313,997
22,23,23,Dustin Johnson,71,31.35,263,839
23,24,24,Greg Chalmers,77,31.3,252,805
24,T25,T25,Brian Davis,91,31.26,317,1014
25,T25,T25,Bryce Molder,82,31.26,286,915
26,27,27,Russell Henley,80,31.11,280,900
27,T28,T28,David Hearn,88,31.05,318,1024
28,T28,T28,Patrick Reed,83,31.05,295,950
29,30,30,Scott Piercy,78,31.03,260,838
30,31,31,Robert Garrigus,69,31.0,239,771
31,32,32,Mike Weir,60,30.98,184,594
32,33,33,David Lingmerth,68,30.92,239,773
33,34,34,Jason Bohn,70,30.91,251,812
34,35,35,Daniel Summerhays,83,30.9,296,958
35,36,36,Luke Donald,60,30.76,199,647
36,37,37,James Driscoll,76,30.75,254,826
37,38,38,Gary Woodland,94,30.74,332,1080
38,39,39,Keegan Bradley,88,30.7,319,1039
39,T40,T40,Jason Day,86,30.65,286,933
40,T40,T40,Matt Kuchar,93,30.65,316,1031
41,42,42,Webb Simpson,92,30.58,322,1053
42,43,43,Rickie Fowler,75,30.5,258,846
43,44,44,Kevin Stadler,83,30.49,297,974
44,45,45,Bubba Watson,76,30.41,277,911
45,46,46,James Hahn,78,30.34,260,857
46,47,47,Charles Howell III,87,30.32,309,1019
47,48,48,Justin Rose,62,30.28,225,743
48,49,49,Peter Hanson,45,30.23,143,473
49,50,50,Camilo Villegas,79,30.21,271,897
50,51,51,Jeff Overton,78,30.19,275,911
51,52,52,Justin Leonard,86,30.15,294,975
52,53,53,Matt Jones,83,30.08,296,984
53,54,54,Brian Gay,79,30.06,242,805
54,55,55,Jason Kokrak,78,30.02,275,916
55,56,56,Brad Fritsch,81,30.0,276,920
56,T57,T57,Luke Guthrie,82,29.88,280,937
57,T57,T57,Scott Stallings,79,29.88,274,917
58,59,59,Fabián Gómez,65,29.81,223,748
59,60,60,D.A. Points,87,29.77,292,981
60,61,61,Stephen Ames,49,29.74,160,538
61,62,62,Sergio Garcia,65,29.62,226,763
62,63,63,Freddie Jacobson,63,29.58,197,666
63,64,64,Luke List,65,29.52,201,681
64,65,65,Chris Stroud,88,29.5,300,1017
65,66,66,Pat Perez,69,29.37,247,841
66,T67,T67,Martin Flores,83,29.35,287,978
67,T67,T67,Henrik Stenson,65,29.35,243,828
68,69,69,Graham DeLaet,94,29.34,350,1193
69,70,70,Doug LaBelle II,72,29.33,237,808
70,71,71,Tommy Gainey,84,29.32,270,921
71,72,72,Roberto Castro,97,29.28,344,1175
72,T73,T73,Ryan Moore,72,29.23,240,821
73,T73,T73,Josh Teater,86,29.23,287,982
74,T75,T75,Adam Scott,61,29.21,217,743
75,T75,T75,Aaron Watkins,46,29.21,144,493
76,77,77,Hunter Mahan,91,29.07,300,1032
77,78,78,Kevin Chappell,80,28.84,274,950
78,79,79,Seung-Yul Noh,71,28.77,223,775
79,80,80,D.H. Lee,65,28.74,221,769
80,81,81,Nicholas Thompson,99,28.69,346,1206
81,82,82,Carl Pettersson,82,28.67,256,893
82,83,83,Jason Dufner,78,28.62,267,933
83,84,84,John Rollins,77,28.54,252,883
84,85,85,Nick Watney,88,28.5,301,1056
85,86,86,Ernie Els,63,28.4,194,683
86,87,87,Kevin Streelman,86,28.36,291,1026
87,T88,T88,Brendon de Jonge,110,28.33,385,1359
88,T88,T88,Shawn Stefani,63,28.33,204,720
89,90,90,Stewart Cink,71,28.32,245,865
90,91,91,Brendan Steele,86,28.29,275,972
91,92,92,Ángel Cabrera,73,28.25,241,853
92,93,93,Bo Van Pelt,72,28.24,233,825
93,94,94,Lee Westwood,70,28.22,228,808
94,95,95,Bud Cauley,67,28.19,203,720
95,96,96,William McGirt,75,28.15,248,881
96,T97,T97,Brian Harman,89,28.14,269,956
97,T97,T97,David Toms,49,28.14,141,501
98,99,99,Erik Compton,74,28.09,243,865
99,100,100,"Ted Potter, Jr.",65,28.05,198,706
100,101,101,Jim Herman,59,28.02,188,671
101,102,102,Justin Bolli,59,27.98,169,604
102,103,103,Henrik Norlander,70,27.95,230,823
103,104,104,Charlie Beljan,62,27.92,201,720
104,105,105,Boo Weekley,100,27.87,347,1245
105,106,106,Tag Ridings,69,27.83,214,769
106,T107,T107,Zach Johnson,84,27.76,282,1016
107,T107,T107,D.J. Trahan,48,27.76,156,562
108,109,109,Alistair Presnell,59,27.74,177,638
109,110,110,Cameron Tringale,80,27.73,267,963
110,111,111,Ken Duke,87,27.72,273,985
111,112,112,Jim Furyk,80,27.69,265,957
112,113,113,Bill Haas,85,27.65,282,1020
113,114,114,Greg Owen,73,27.62,232,840
114,T115,T115,George McNeill,68,27.6,220,797
115,T115,T115,Robert Streb,75,27.6,231,837
116,117,117,Justin Hicks,79,27.57,255,925
117,118,118,Bob Estes,66,27.5,212,771
118,119,119,Cameron Percy,68,27.44,214,780
119,T120,T120,Scott Brown,65,27.41,205,748
120,T120,T120,Martin Kaymer,61,27.41,185,675
121,122,122,Jonas Blixt,76,27.4,228,832
122,123,123,Tim Clark,64,27.39,186,679
123,124,124,Scott Gardiner,61,27.35,186,680
124,125,125,Tim Herron,45,27.33,132,483
125,T126,T126,Jeff Maggert,63,27.32,206,754
126,T126,T126,Geoff Ogilvy,57,27.32,174,637
127,128,128,Robert Karlsson,56,27.29,161,590
128,129,129,John Merrick,79,27.28,257,942
129,130,130,Jerry Kelly,75,27.27,240,880
130,131,131,Lucas Glover,65,27.26,211,774
131,T132,T132,Marc Leishman,77,27.25,245,899
132,T132,T132,Rod Pampling,46,27.25,133,488
133,134,134,Chez Reavie,72,27.2,235,864
134,135,135,Martin Laird,68,27.16,211,777
135,136,136,David Mathis,71,27.15,208,766
136,137,137,Richard Lee,81,27.14,250,921
137,138,138,Steve LeBrun,66,27.13,204,752
138,139,139,Jin Park,52,27.07,154,569
139,140,140,Ben Crane,62,27.03,180,666
140,141,141,David Lynn,70,26.93,209,776
141,T142,T142,Stuart Appleby,88,26.9,265,985
142,T142,T142,Y.E. Yang,56,26.9,170,632
143,T144,T144,John Senden,79,26.89,249,926
144,T144,T144,Brian Stuard,78,26.89,235,874
145,146,146,Kyle Stanley,71,26.81,230,858
146,147,147,Tom Gillis,69,26.69,189,708
147,148,148,Dicky Pride,71,26.58,206,775
148,149,149,Ian Poulter,59,26.57,161,606
149,150,150,K.J. Choi,85,26.53,264,995
150,151,151,Padraig Harrington,52,26.44,142,537
151,152,152,Brandt Jobe,62,26.35,181,687
152,153,153,Chad Campbell,78,26.32,240,912
153,154,154,John Huh,88,26.29,276,1050
154,155,155,Derek Ernst,58,26.28,175,666
155,156,156,Graeme McDowell,53,26.27,145,552
156,T157,T157,Scott Langley,79,26.19,226,863
157,T157,T157,Darron Stiles,51,26.19,143,546
158,T159,T159,Colt Knost,69,26.15,188,719
159,T159,T159,Andrew Svoboda,46,26.15,136,520
160,161,161,Robert Allenby,58,26.04,163,626
161,162,162,Ryo Ishikawa,72,25.78,214,830
162,163,163,Ben Kohles,75,25.75,214,831
163,164,164,Eric Meierdierks,48,25.73,141,548
164,165,165,Sean O'Hair,56,25.64,160,624
165,166,166,Lee Williams,62,25.49,169,663
166,167,167,Will Claxton,67,25.4,189,744
167,168,168,Michael Thompson,66,25.21,184,730
168,169,169,Ricky Barnes,74,25.03,222,887
169,170,170,Ben Curtis,59,24.92,163,654
170,171,171,Casey Wittenberg,72,24.65,193,783
171,172,172,Michael Bradley,56,24.6,152,618
172,173,173,Troy Matteson,68,24.41,187,766
173,174,174,Nicolas Colsaerts,50,24.33,137,563
174,175,175,Mark Wilson,56,24.23,150,619
175,176,176,J.J. Henry,83,24.22,240,991
176,177,177,Johnson Wagner,64,23.81,165,693
177,178,178,Bobby Gates,49,23.43,119,508
178,179,179,Trevor Immelman,73,22.67,187,825
179,180,180,Vijay Singh,61,22.27,169,759
