,Putting_from_5-10_RANK THIS WEEK,Putting_from_5-10_RANK LAST WEEK,Putting_from_5-10_PLAYER NAME,Putting_from_5-10_ROUNDS,Putting_from_5-10_%,Putting_from_5-10_ATTEMPTS,Putting_from_5-10_PUTTS MADE
0,1,1,Doug LaBelle II,72,65.25,259,169
1,T2,T2,David Hearn,88,62.26,310,193
2,T2,T2,William McGirt,75,62.26,265,165
3,4,4,Aaron Watkins,46,62.04,137,85
4,5,5,Sangmoon Bae,83,61.41,298,183
5,6,6,Cameron Percy,68,61.28,235,144
6,7,7,Brian Gay,79,61.27,284,174
7,8,8,Richard Lee,81,60.98,287,175
8,9,9,Steve Stricker,51,60.94,128,78
9,10,10,Scott Stallings,79,60.91,307,187
10,11,11,Tiger Woods,61,60.82,171,104
11,12,12,Greg Chalmers,77,60.74,298,181
12,13,13,Colt Knost,69,60.54,223,135
13,14,14,Russell Henley,80,60.34,290,175
14,15,15,Tom Gillis,69,60.0,240,144
15,16,16,Freddie Jacobson,63,59.7,201,120
16,17,17,Martin Laird,68,59.57,230,137
17,18,18,Casey Wittenberg,72,59.54,262,156
18,19,19,Brandt Snedeker,79,59.46,222,132
19,20,20,Luke Donald,60,58.71,201,118
20,21,21,Jimmy Walker,84,58.7,339,199
21,22,22,David Lynn,70,58.6,215,126
22,23,23,Ryan Moore,72,58.37,233,136
23,24,24,K.J. Choi,85,58.3,271,158
24,25,25,Jeff Overton,78,58.26,345,201
25,26,26,Phil Mickelson,78,58.02,243,141
26,27,27,Peter Hanson,45,58.0,150,87
27,28,28,Justin Rose,62,57.98,188,109
28,29,29,Stephen Ames,49,57.95,176,102
29,30,30,Hunter Mahan,91,57.93,271,157
30,31,31,John Huh,88,57.91,335,194
31,32,32,Steven Bowditch,67,57.89,228,132
32,33,33,Kevin Streelman,86,57.86,280,162
33,34,34,Chris Kirk,89,57.82,358,207
34,35,35,Alistair Presnell,59,57.79,199,115
35,36,36,Martin Kaymer,61,57.74,168,97
36,37,37,Mike Weir,60,57.71,201,116
37,38,38,Jerry Kelly,75,57.59,257,148
38,39,39,Gary Woodland,94,57.53,372,214
39,40,40,Jeff Maggert,63,57.46,228,131
40,41,41,Steve LeBrun,66,57.41,263,151
41,42,42,Charl Schwartzel,69,57.36,265,152
42,43,43,Morgan Hoffmann,64,57.32,239,137
43,44,44,Graham DeLaet,94,57.29,295,169
44,45,45,Andres Romero,63,57.21,229,131
45,46,46,Chez Reavie,72,57.19,285,163
46,47,47,Shawn Stefani,63,57.0,207,118
47,48,48,Webb Simpson,92,56.99,286,163
48,49,49,Henrik Norlander,70,56.96,230,131
49,50,50,Billy Horschel,96,56.91,376,214
50,51,51,Bryce Molder,82,56.9,297,169
51,52,52,Brian Harman,89,56.86,299,170
52,53,53,Luke Guthrie,82,56.83,271,154
53,54,54,Rickie Fowler,75,56.8,250,142
54,55,55,Charlie Beljan,62,56.71,231,131
55,56,56,Ian Poulter,59,56.67,150,85
56,57,57,Camilo Villegas,79,56.62,272,154
57,58,58,Cameron Tringale,80,56.57,327,185
58,59,59,Patrick Reed,83,56.54,306,173
59,60,60,Johnson Wagner,64,56.52,207,117
60,61,61,Harris English,95,56.47,340,192
61,62,62,Y.E. Yang,56,56.4,172,97
62,63,63,George McNeill,68,56.31,293,165
63,64,64,Stuart Appleby,88,56.25,304,171
64,65,65,Sergio Garcia,65,56.21,169,95
65,66,66,James Driscoll,76,56.16,276,155
66,67,67,Troy Matteson,68,56.14,228,128
67,68,68,Erik Compton,74,55.81,258,144
68,69,69,Matt Kuchar,93,55.79,285,159
69,70,70,Jason Day,86,55.74,235,131
70,T71,T71,Keegan Bradley,88,55.71,289,161
71,T71,T71,Tommy Gainey,84,55.71,350,195
72,73,73,Ben Crane,62,55.65,248,138
73,74,74,Jordan Spieth,82,55.64,275,153
74,75,75,Chris Stroud,88,55.59,331,184
75,76,76,David Toms,49,55.56,144,80
76,77,77,Aaron Baddeley,68,55.5,209,116
77,T78,T78,J.J. Henry,83,55.47,274,152
78,T78,T78,Brian Stuard,78,55.47,247,137
79,80,80,Jason Dufner,78,55.4,287,159
80,81,81,Fabián Gómez,65,55.32,235,130
81,82,82,Nicholas Thompson,99,55.31,367,203
82,83,83,Tim Clark,64,55.25,181,100
83,84,84,James Hahn,78,55.23,277,153
84,85,85,Jonas Blixt,76,55.22,268,148
85,86,86,D.H. Lee,65,55.2,250,138
86,87,87,Ken Duke,87,55.15,301,166
87,88,88,D.A. Points,87,55.14,292,161
88,89,89,Daniel Summerhays,83,55.11,323,178
89,90,90,Padraig Harrington,52,55.03,149,82
90,91,91,Zach Johnson,84,54.98,251,138
91,92,92,Matt Jones,83,54.93,284,156
92,93,93,"Ted Potter, Jr.",65,54.84,248,136
93,94,94,Brian Davis,91,54.81,385,211
94,95,95,David Lingmerth,68,54.79,261,143
95,96,96,Trevor Immelman,73,54.76,252,138
96,97,97,Ben Kohles,75,54.75,263,144
97,98,98,Brad Fritsch,81,54.72,307,168
98,99,99,Stewart Cink,71,54.63,227,124
99,100,100,Michael Bradley,56,54.6,174,95
100,101,101,Kyle Stanley,71,54.58,273,149
101,102,102,Bill Haas,85,54.49,301,164
102,103,103,Henrik Stenson,65,54.4,182,99
103,104,104,Ángel Cabrera,73,54.34,219,119
104,T105,T105,John Merrick,79,54.3,256,139
105,T105,T105,Ryan Palmer,79,54.3,291,158
106,107,107,Martin Flores,83,54.25,306,166
107,108,108,Brendan Steele,86,53.97,302,163
108,T109,T109,Justin Leonard,86,53.95,291,157
109,T109,T109,Luke List,65,53.95,215,116
110,T109,T109,Carl Pettersson,82,53.95,304,164
111,112,112,Rory Sabbatini,86,53.92,332,179
112,113,113,Jason Bohn,70,53.9,295,159
113,114,114,Ernie Els,63,53.85,208,112
114,115,115,Jim Herman,59,53.8,184,99
115,116,116,Josh Teater,86,53.79,277,149
116,117,117,Jason Kokrak,78,53.74,294,158
117,118,118,Pat Perez,69,53.73,255,137
118,119,119,Marc Leishman,77,53.69,244,131
119,120,120,Bobby Gates,49,53.64,151,81
120,121,121,Brendon de Jonge,110,53.43,408,218
121,122,122,Dicky Pride,71,53.39,251,134
122,123,123,Bubba Watson,76,53.31,272,145
123,124,124,Charley Hoffman,84,53.29,334,178
124,125,125,Charles Howell III,87,53.23,310,165
125,126,126,Bo Van Pelt,72,53.06,245,130
126,127,127,Vaughn Taylor,50,53.04,181,96
127,128,128,Chad Campbell,78,52.96,304,161
128,129,129,Tim Herron,45,52.91,189,100
129,130,130,Justin Bolli,59,52.88,191,101
130,131,131,Robert Garrigus,69,52.83,212,112
131,132,132,Rory McIlroy,56,52.69,186,98
132,133,133,Jin Park,52,52.6,192,101
133,134,134,Graeme McDowell,53,52.53,158,83
134,135,135,Robert Allenby,58,52.38,231,121
135,136,136,Justin Hicks,79,52.24,312,163
136,137,137,Matt Every,89,52.14,374,195
137,138,138,Geoff Ogilvy,57,52.02,198,103
138,139,139,Andrew Svoboda,46,51.97,152,79
139,140,140,Charlie Wi,75,51.89,291,151
140,141,141,Derek Ernst,58,51.87,214,111
