,1-Putts_per_Round_RANK THIS WEEK,1-Putts_per_Round_RANK LAST WEEK,1-Putts_per_Round_PLAYER NAME,1-Putts_per_Round_ROUNDS,1-Putts_per_Round_AVG,1-Putts_per_Round_TOTAL 1 PUTTS,1-Putts_per_Round_TOTAL ROUNDS
0,1,1,Brian Gay,79,8.23,650,79
1,2,2,Aaron Baddeley,68,8.17,539,66
2,3,3,Mike Weir,60,7.91,459,58
3,4,4,Greg Chalmers,77,7.85,573,73
4,5,5,Chris Kirk,89,7.83,697,89
5,T6,T6,Brandt Snedeker,79,7.7,608,79
6,T6,T6,Vaughn Taylor,50,7.7,354,46
7,8,8,Charlie Wi,75,7.69,546,71
8,9,9,Steven Bowditch,67,7.65,497,65
9,T10,T10,Jonas Blixt,76,7.62,579,76
10,T10,T10,Phil Mickelson,78,7.62,594,78
11,12,12,Bryce Molder,82,7.58,606,80
12,13,13,Stephen Ames,49,7.57,371,49
13,14,14,Patrick Reed,83,7.55,627,83
14,T15,T15,Luke Donald,60,7.53,437,58
15,T15,T15,Freddie Jacobson,63,7.53,452,60
16,T15,T15,Chris Stroud,88,7.53,663,88
17,T18,T18,Jason Day,86,7.51,601,80
18,T18,T18,David Hearn,88,7.51,661,88
19,T18,T18,Justin Leonard,86,7.51,646,86
20,T21,T21,Sangmoon Bae,83,7.49,622,83
21,T21,T21,Peter Hanson,45,7.49,322,43
22,T23,T23,Bob Estes,66,7.47,493,66
23,T23,T23,Andres Romero,63,7.47,441,59
24,T25,T25,Brian Davis,91,7.46,679,91
25,T25,T25,Charles Howell III,87,7.46,634,85
26,27,27,Rory McIlroy,56,7.45,410,55
27,28,28,James Driscoll,76,7.43,535,72
28,29,29,Jordan Spieth,82,7.41,608,82
29,30,30,Steve Stricker,51,7.4,348,47
30,31,31,Matt Kuchar,93,7.39,643,87
31,T32,T32,Ben Crane,62,7.38,428,58
32,T32,T32,Rickie Fowler,75,7.38,546,74
33,T34,T34,David Lingmerth,68,7.37,501,68
34,T34,T34,Jeff Overton,78,7.37,575,78
35,36,36,Morgan Hoffmann,64,7.36,471,64
36,T37,T37,Matt Every,89,7.34,653,89
37,T37,T37,Luke Guthrie,82,7.34,602,82
38,T39,T39,Ryan Palmer,79,7.33,579,79
39,T39,T39,Tiger Woods,61,7.33,440,60
40,41,41,Scott Stallings,79,7.32,578,79
41,T42,T42,Erik Compton,74,7.3,540,74
42,T42,T42,Doug LaBelle II,72,7.3,511,70
43,T44,T44,Martin Flores,83,7.29,605,83
44,T44,T44,Matt Jones,83,7.29,605,83
45,T46,T46,Harris English,95,7.26,690,95
46,T46,T46,Brian Harman,89,7.26,617,85
47,T46,T46,Jimmy Walker,84,7.26,610,84
48,T49,T49,David Lynn,70,7.25,500,69
49,T49,T49,Aaron Watkins,46,7.25,319,44
50,51,51,Tom Gillis,69,7.23,470,65
51,52,52,Jason Kokrak,78,7.22,563,78
