,Putts_per_Round_-_Round_3_RANK THIS WEEK,Putts_per_Round_-_Round_3_RANK LAST WEEK,Putts_per_Round_-_Round_3_PLAYER NAME,Putts_per_Round_-_Round_3_AVG,Putts_per_Round_-_Round_3_TOTAL PUTTS,Putts_per_Round_-_Round_3_TOTAL ROUNDS
0,1,1,Brian Davis,27.21,517,19
1,2,2,Luke Donald,27.38,356,13
2,3,3,Mark Wilson,27.56,248,9
3,4,4,Richard Lee,27.63,442,16
4,5,5,Brian Gay,27.81,445,16
5,6,6,Brian Harman,27.87,418,15
6,7,7,Lee Williams,27.9,279,10
7,T8,T8,Aaron Baddeley,28.0,280,10
8,T8,T8,Greg Chalmers,28.0,364,13
9,T8,T8,Justin Leonard,28.0,532,19
10,T8,T8,Jeff Maggert,28.0,336,12
11,12,12,David Lingmerth,28.08,337,12
12,13,13,Peter Hanson,28.1,281,10
13,14,14,Russell Henley,28.13,450,16
14,T15,T15,Brandt Jobe,28.18,310,11
15,T15,T15,Michael Thompson,28.18,310,11
16,17,17,Sergio Garcia,28.19,451,16
17,18,18,Mike Weir,28.22,254,9
18,T19,T19,Freddie Jacobson,28.25,339,12
19,T19,T19,David Toms,28.25,226,8
20,21,21,Jordan Spieth,28.28,509,18
21,22,22,Luke Guthrie,28.29,396,14
22,23,23,Ken Duke,28.31,453,16
23,24,24,Charley Hoffman,28.32,538,19
24,T25,T25,Erik Compton,28.33,425,15
25,T25,T25,James Hahn,28.33,340,12
26,T25,T25,Phil Mickelson,28.33,510,18
27,28,28,Brian Stuard,28.36,397,14
28,T29,T29,Sangmoon Bae,28.38,454,16
29,T29,T29,Daniel Summerhays,28.38,454,16
30,31,31,Charles Howell III,28.39,511,18
31,32,32,James Driscoll,28.4,426,15
32,33,33,Tim Clark,28.42,341,12
33,34,34,Jin Park,28.43,199,7
34,35,35,Brandt Snedeker,28.47,484,17
35,36,36,Chris Kirk,28.48,598,21
36,T37,T37,Matt Every,28.5,513,18
37,T37,T37,Padraig Harrington,28.5,285,10
38,T37,T37,David Lynn,28.5,399,14
39,T37,T37,Graeme McDowell,28.5,285,10
40,T37,T37,Steve Stricker,28.5,342,12
41,T37,T37,Chris Stroud,28.5,570,20
42,T37,T37,Charlie Wi,28.5,399,14
43,T44,T44,Stuart Appleby,28.56,514,18
44,T44,T44,Jason Kokrak,28.56,457,16
45,T44,T44,Y.E. Yang,28.56,257,9
46,47,47,Andres Romero,28.6,286,10
47,48,48,Rory McIlroy,28.62,372,13
48,49,49,David Hearn,28.63,544,19
49,50,50,Jimmy Walker,28.67,516,18
50,51,51,Josh Teater,28.68,545,19
51,52,52,Stephen Ames,28.71,201,7
52,53,53,Troy Matteson,28.73,316,11
53,T54,T54,Jason Bohn,28.75,345,12
54,T54,T54,Alistair Presnell,28.75,230,8
55,56,56,Vaughn Taylor,28.78,259,9
56,T57,T57,Jonas Blixt,28.8,432,15
57,T57,T57,Aaron Watkins,28.8,144,5
58,59,59,Cameron Tringale,28.81,461,16
59,T60,T60,Ben Crane,28.82,317,11
60,T60,T60,John Merrick,28.82,490,17
61,62,62,Darron Stiles,28.83,173,6
62,63,63,Graham DeLaet,28.86,606,21
63,64,64,Brendan Steele,28.88,462,16
64,65,65,Matt Kuchar,28.91,636,22
65,T66,T66,Steven Bowditch,28.92,347,12
66,T66,T66,Ernie Els,28.92,376,13
67,T66,T66,Tom Gillis,28.92,347,12
68,69,69,Scott Piercy,28.93,434,15
69,T70,T70,Martin Flores,28.94,492,17
70,T70,T70,Jim Furyk,28.94,521,18
71,T72,T72,Ian Poulter,29.0,348,12
72,T72,T72,Charl Schwartzel,29.0,464,16
73,T74,T74,Rickie Fowler,29.06,494,17
74,T74,T74,Rory Sabbatini,29.06,494,17
75,T74,T74,Camilo Villegas,29.06,465,16
76,77,77,Chez Reavie,29.07,407,14
77,T78,T78,Morgan Hoffmann,29.08,378,13
78,T78,T78,Scott Stallings,29.08,378,13
79,80,80,Webb Simpson,29.1,611,21
80,T81,T81,Tim Herron,29.13,233,8
81,T81,T81,Marc Leishman,29.13,466,16
82,T81,T81,Jeff Overton,29.13,466,16
83,T84,T84,Justin Bolli,29.14,204,7
84,T84,T84,Nicholas Thompson,29.14,612,21
85,T86,T86,Scott Brown,29.17,350,12
86,T86,T86,Scott Langley,29.17,350,12
87,88,88,Fabián Gómez,29.18,321,11
88,T89,T89,Jason Day,29.2,584,20
89,T89,T89,Bob Estes,29.2,438,15
90,T89,T89,Tag Ridings,29.2,292,10
91,T89,T89,Casey Wittenberg,29.2,292,10
