,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,1,Greg Chalmers,25,51.3
1,2,2,Billy Horschel,26,67.8
2,3,3,Russell Henley,24,71.9
3,4,4,David Hearn,26,72.1
4,5,5,Bryce Molder,24,73.2
5,6,6,Luke Donald,17,73.5
6,7,7,Richard Lee,24,74.2
7,8,8,Stephen Ames,19,76.5
8,9,9,Tiger Woods,16,79.7
9,10,10,Peter Hanson,15,81.8
10,11,11,Phil Mickelson,21,84.8
11,12,12,David Lynn,22,86.2
12,13,13,Steve Stricker,13,86.8
13,14,14,Jeff Overton,24,87.1
14,15,15,Rickie Fowler,22,88.0
15,16,16,Brian Gay,24,92.7
16,17,17,Freddie Jacobson,19,96.3
17,18,18,Matt Kuchar,23,97.4
18,19,19,Charl Schwartzel,19,102.1
19,20,20,James Driscoll,23,103.8
20,21,21,Aaron Baddeley,24,106.1
21,22,22,Hunter Mahan,25,107.2
22,23,23,Kevin Streelman,25,108.6
23,24,24,Chris Kirk,24,108.9
24,25,25,Martin Kaymer,17,112.7
25,26,26,Brandt Snedeker,23,112.8
26,27,27,Shawn Stefani,21,113.8
27,28,28,Ryan Palmer,22,114.1
28,29,29,Bob Estes,18,115.4
29,30,30,Sergio Garcia,17,116.3
30,31,31,Andres Romero,21,117.0
31,32,32,Chris Stroud,26,117.2
32,33,33,Justin Leonard,24,118.9
33,34,34,Aaron Watkins,19,122.3
34,35,35,Ben Kohles,25,123.6
35,36,36,Harris English,26,130.7
36,37,37,Webb Simpson,25,136.1
37,38,38,Fabián Gómez,23,137.1
38,39,39,Ian Poulter,16,139.0
39,40,40,Morgan Hoffmann,20,140.3
40,41,41,Daniel Summerhays,26,143.8
41,42,42,Jerry Kelly,22,147.2
42,43,43,Jason Day,21,148.8
43,44,44,Casey Wittenberg,27,149.8
44,45,45,Charles Howell III,26,151.9
45,46,46,Keegan Bradley,25,152.1
46,47,47,Doug LaBelle II,23,153.2
47,48,48,Mike Weir,22,154.4
48,49,49,Jimmy Walker,24,155.8
49,50,50,Brian Davis,28,156.4
50,51,51,Tim Clark,20,156.9
51,52,52,Erik Compton,24,158.3
52,53,53,Colt Knost,25,158.9
53,54,54,Bobby Gates,20,160.3
54,55,55,Brian Harman,29,160.8
55,56,56,Gary Woodland,26,162.3
56,57,57,Jonas Blixt,24,163.5
57,58,58,Cameron Tringale,24,163.7
58,59,59,Tommy Gainey,28,164.3
59,60,60,Patrick Reed,26,165.4
60,61,61,Scott Stallings,27,167.8
61,T62,T62,William McGirt,24,168.2
62,T62,T62,Brian Stuard,25,168.2
63,64,64,Jim Furyk,22,170.6
64,65,65,Troy Matteson,24,171.5
65,66,66,Sangmoon Bae,26,172.7
66,67,67,Graham DeLaet,26,173.3
67,68,68,Andrew Svoboda,18,173.5
68,69,69,Ben Crane,21,175.1
69,70,70,Adam Scott,16,175.7
70,71,71,Y.E. Yang,19,176.2
71,72,72,Josh Teater,24,179.0
72,73,73,Johnson Wagner,24,179.8
73,74,74,Tom Gillis,22,180.3
74,75,75,Scott Langley,27,181.1
75,76,76,Robert Streb,25,181.9
76,77,77,Chez Reavie,22,183.6
77,T78,T78,Brandt Jobe,19,184.5
78,T78,T78,Brendan Steele,26,184.5
79,80,80,John Merrick,23,185.3
80,81,81,Carl Pettersson,24,186.4
81,82,82,Zach Johnson,24,186.7
82,83,83,"Ted Potter, Jr.",22,186.8
83,84,84,Stuart Appleby,25,188.0
84,85,85,Bill Haas,25,188.6
85,86,86,Dicky Pride,23,190.3
86,87,87,Cameron Percy,21,191.4
87,88,88,Brendon de Jonge,30,192.6
88,89,89,K.J. Choi,24,192.8
89,90,90,Tag Ridings,24,193.8
90,91,91,Henrik Stenson,18,197.3
91,92,92,Charley Hoffman,23,197.9
92,93,93,Jordan Spieth,23,198.0
93,94,94,Rory McIlroy,16,198.4
94,95,95,James Hahn,26,198.8
95,96,96,Scott Brown,21,200.8
