,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,1,Padraig Harrington,52,9.24,119,11
1,2,2,Peter Hanson,45,9.09,110,10
2,3,3,Zach Johnson,84,8.71,264,23
3,4,4,Phil Mickelson,78,8.7,207,18
4,5,5,Steve Stricker,51,8.51,141,12
5,6,6,Brandt Snedeker,79,8.37,215,18
6,7,7,Colt Knost,69,8.3,241,20
7,8,8,Graeme McDowell,53,8.03,137,11
8,9,9,Rickie Fowler,75,7.93,227,18
9,10,10,Sergio Garcia,65,7.84,204,16
10,11,11,D.J. Trahan,48,7.78,167,13
11,12,12,Ryan Palmer,79,7.69,247,19
12,T13,T13,Ken Duke,87,7.58,277,21
13,T13,T13,"Ted Potter, Jr.",65,7.58,211,16
14,15,15,Luke Guthrie,82,7.57,251,19
15,16,16,Aaron Baddeley,68,7.55,212,16
16,17,17,Chris Kirk,89,7.36,258,19
17,18,18,Tim Herron,45,7.27,165,12
18,19,19,Charlie Wi,75,7.17,237,17
19,20,20,Greg Chalmers,77,7.01,271,19
20,21,21,Roberto Castro,97,6.95,331,23
21,22,22,Russell Henley,80,6.94,288,20
22,23,23,Aaron Watkins,46,6.9,145,10
23,24,24,Stephen Ames,49,6.86,175,12
24,25,25,Carl Pettersson,82,6.85,248,17
25,26,26,Scott Langley,79,6.84,234,16
26,27,27,Tommy Gainey,84,6.79,265,18
27,28,28,Richard Lee,81,6.77,325,22
28,29,29,Jason Bohn,70,6.76,222,15
29,30,30,Gary Woodland,94,6.73,327,22
30,T31,T31,Jim Herman,59,6.67,195,13
31,T31,T31,Jordan Spieth,82,6.67,210,14
32,33,33,Charl Schwartzel,69,6.63,196,13
33,T34,T34,Bill Haas,85,6.62,302,20
34,T34,T34,Mike Weir,60,6.62,151,10
