,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Greg Chalmers,77,102.63,949,39,935
1,2,2,Stephen Ames,49,101.62,617,27,600
2,3,3,Scott Langley,79,101.18,935,38,908
3,T4,T4,David Lynn,70,101.15,785,24,770
4,T4,T4,Graeme McDowell,53,101.15,522,19,509
5,6,6,Bryce Molder,82,101.1,1001,37,975
6,T7,T7,Matt Kuchar,93,101.02,981,32,959
7,T7,T7,Aaron Watkins,46,101.02,491,16,480
8,9,9,Andrew Svoboda,46,100.98,508,15,498
9,10,10,Jeff Overton,78,100.97,1032,35,1007
10,11,11,Peter Hanson,45,100.88,453,16,441
11,12,12,Steve Stricker,51,100.81,493,18,479
12,13,13,Aaron Baddeley,68,100.71,850,31,825
13,14,14,Freddie Jacobson,63,100.63,638,20,622
14,15,15,Sergio Garcia,65,100.59,677,26,655
15,16,16,James Driscoll,76,100.57,871,31,845
16,17,17,Chris Stroud,88,100.54,1108,34,1080
17,T18,T18,Brendan Steele,86,100.53,1127,32,1101
18,T18,T18,Johnson Wagner,64,100.53,748,25,727
19,20,20,Zach Johnson,84,100.52,956,36,925
20,21,21,Ryan Palmer,79,100.51,976,31,950
21,22,22,Brandt Snedeker,79,100.49,811,32,783
22,23,23,Jin Park,52,100.48,630,19,614
23,24,24,Nick Watney,88,100.47,1055,36,1024
24,T25,T25,Harris English,95,100.44,1148,40,1113
25,T25,T25,Bob Estes,66,100.44,903,29,878
26,27,27,Charles Howell III,87,100.43,1155,38,1122
27,28,28,Hunter Mahan,91,100.41,972,27,949
28,29,29,Brandt Jobe,62,100.39,761,21,743
29,T30,T30,Phil Mickelson,78,100.38,794,27,770
30,T30,T30,Patrick Reed,83,100.38,1050,32,1022
31,32,32,Martin Kaymer,61,100.34,596,20,578
32,33,33,Russell Henley,80,100.33,910,38,875
33,34,34,Jonas Blixt,76,100.31,971,30,944
34,35,35,Keegan Bradley,88,100.29,1034,31,1006
35,36,36,Gary Woodland,94,100.26,1165,34,1134
36,37,37,Ben Kohles,75,100.23,862,25,839
37,T38,T38,Stuart Appleby,88,100.18,1134,38,1098
38,T38,T38,Chris Kirk,89,100.18,1111,34,1079
39,40,40,Rory McIlroy,56,100.17,591,21,571
40,T41,T41,Rickie Fowler,75,100.12,819,30,790
41,T41,T41,Tag Ridings,69,100.12,858,28,831
42,43,43,Graham DeLaet,94,100.08,1177,40,1138
43,T44,T44,Ken Duke,87,100.0,1083,36,1047
44,T44,T44,Carl Pettersson,82,100.0,907,31,876
45,T44,T44,Michael Thompson,66,100.0,765,22,743
46,47,47,Bill Haas,85,99.9,981,33,947
47,48,48,Doug LaBelle II,72,99.88,812,29,782
48,49,49,Charl Schwartzel,69,99.86,736,29,706
49,50,50,Tim Herron,45,99.84,638,21,616
50,T51,T51,Richard Lee,81,99.8,1007,28,977
51,T51,T51,Kevin Streelman,86,99.8,977,30,945
52,53,53,Jim Furyk,80,99.79,939,26,911
53,T54,T54,Ángel Cabrera,73,99.76,832,30,800
54,T54,T54,Colt Knost,69,99.76,832,30,800
55,56,56,Morgan Hoffmann,64,99.73,739,27,710
56,57,57,Justin Leonard,86,99.72,1090,25,1062
57,58,58,Ernie Els,63,99.71,694,15,677
58,59,59,Chez Reavie,72,99.69,959,32,924
59,60,60,Tiger Woods,61,99.67,613,18,593
60,61,61,Jason Day,86,99.66,891,28,860
61,62,62,Ian Poulter,59,99.65,567,12,553
62,63,63,Bo Van Pelt,72,99.62,783,21,759
63,64,64,Matt Every,89,99.56,1141,33,1103
64,65,65,Martin Flores,83,99.55,1106,33,1068
65,T66,T66,Luke Donald,60,99.53,638,15,620
66,T66,T66,Jim Herman,59,99.53,636,18,615
67,68,68,Scott Brown,65,99.51,811,18,789
68,69,69,John Merrick,79,99.5,992,31,956
69,70,70,Dustin Johnson,71,99.46,743,21,718
70,T71,T71,Derek Ernst,58,99.44,714,23,687
71,T71,T71,Robert Streb,75,99.44,898,22,871
72,73,73,Billy Horschel,96,99.39,1149,32,1110
73,74,74,Brendon de Jonge,110,99.35,1388,27,1352
74,75,75,Scott Piercy,78,99.33,902,28,868
75,T76,T76,John Rollins,77,99.3,1001,32,962
76,T76,T76,Kevin Stadler,83,99.3,1005,31,967
77,78,78,Roberto Castro,97,99.29,1266,33,1224
78,79,79,James Hahn,78,99.27,965,23,935
