,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Brian Gay,79,27.51,2173,79,21
1,2,2,Aaron Baddeley,68,27.8,1835,66,23
2,3,3,Greg Chalmers,77,28.01,2045,73,23
3,4,4,Mike Weir,60,28.07,1628,58,22
4,5,5,Luke Donald,60,28.21,1636,58,24
5,6,6,Chris Kirk,89,28.26,2515,89,22
6,7,7,Charlie Wi,75,28.34,2012,71,23
7,T8,T8,Brian Davis,91,28.38,2583,91,23
8,T8,T8,Justin Leonard,86,28.38,2441,86,21
9,T8,T8,Brandt Snedeker,79,28.38,2242,79,22
10,11,11,Jonas Blixt,76,28.39,2158,76,22
11,T12,T12,Bryce Molder,82,28.4,2272,80,23
12,T12,T12,Chris Stroud,88,28.4,2499,88,23
13,14,14,Bob Estes,66,28.41,1875,66,23
14,T15,T15,Steven Bowditch,67,28.48,1851,65,23
15,T15,T15,David Hearn,88,28.48,2506,88,23
16,17,17,Freddie Jacobson,63,28.5,1710,60,23
17,18,18,James Driscoll,76,28.51,2053,72,23
18,19,19,Stephen Ames,49,28.53,1398,49,22
19,20,20,Brian Harman,89,28.54,2426,85,23
20,21,21,Phil Mickelson,78,28.56,2228,78,23
21,22,22,Andres Romero,63,28.58,1686,59,23
22,23,23,Patrick Reed,83,28.6,2374,83,22
23,24,24,Vaughn Taylor,50,28.61,1316,46,23
24,25,25,Jason Day,86,28.63,2290,80,24
25,26,26,Matt Kuchar,93,28.64,2492,87,22
26,27,27,Rickie Fowler,75,28.65,2120,74,21
27,28,28,Charles Howell III,87,28.66,2436,85,24
28,T29,T29,Peter Hanson,45,28.67,1233,43,23
29,T29,T29,Morgan Hoffmann,64,28.67,1835,64,23
30,T31,T31,Jordan Spieth,82,28.68,2352,82,21
31,T31,T31,Steve Stricker,51,28.68,1348,47,23
32,33,33,David Lynn,70,28.7,1980,69,24
33,34,34,Stuart Appleby,88,28.71,2412,84,22
34,35,35,Daniel Summerhays,83,28.72,2384,83,23
35,36,36,Aaron Watkins,46,28.75,1265,44,23
36,37,37,Jeff Overton,78,28.77,2244,78,25
37,38,38,Colt Knost,69,28.78,1871,65,23
38,39,39,Jason Bohn,70,28.79,2015,70,24
39,T40,T40,Sangmoon Bae,83,28.8,2390,83,23
40,T40,T40,James Hahn,78,28.8,2131,74,22
41,T42,T42,Tim Herron,45,28.82,1297,45,23
42,T42,T42,Lee Williams,62,28.82,1729,60,24
43,44,44,Ian Poulter,59,28.83,1528,53,23
44,T45,T45,Jerry Kelly,75,28.84,2163,75,23
45,T45,T45,Ryan Palmer,79,28.84,2278,79,22
46,T47,T47,Rory McIlroy,56,28.85,1587,55,22
47,T47,T47,Tiger Woods,61,28.85,1731,60,22
48,49,49,Jimmy Walker,84,28.87,2425,84,24
49,T50,T50,David Lingmerth,68,28.88,1964,68,21
50,T50,T50,William McGirt,75,28.88,2166,75,24
51,T52,T52,Tim Clark,64,28.89,1762,61,23
52,T52,T52,Matt Jones,83,28.89,2398,83,20
53,54,54,Doug LaBelle II,72,28.9,2023,70,23
54,T55,T55,Ken Duke,87,28.92,2516,87,23
55,T55,T55,Martin Flores,83,28.92,2400,83,23
56,T55,T55,Sergio Garcia,65,28.92,1822,63,25
57,58,58,Webb Simpson,92,28.93,2546,88,22
58,T59,T59,Keegan Bradley,88,28.94,2518,87,24
59,T59,T59,Russell Henley,80,28.94,2257,78,24
60,61,61,Harris English,95,28.95,2750,95,22
61,62,62,Jason Kokrak,78,28.96,2259,78,23
62,63,63,Fabián Gómez,65,28.97,1883,65,23
63,T64,T64,Ben Crane,62,28.98,1681,58,22
64,T64,T64,Ernie Els,63,28.98,1797,62,24
65,T66,T66,Scott Stallings,79,29.0,2291,79,23
66,T66,T66,Shawn Stefani,63,29.0,1827,63,21
67,T66,T66,Casey Wittenberg,72,29.0,2030,70,24
68,T69,T69,Erik Compton,74,29.01,2147,74,22
69,T69,T69,Matt Every,89,29.01,2582,89,23
70,T69,T69,Charl Schwartzel,69,29.01,1973,68,25
71,T72,T72,Tom Gillis,69,29.02,1886,65,23
72,T72,T72,David Toms,49,29.02,1277,44,23
73,T74,T74,Scott Brown,65,29.03,1887,65,21
74,T74,T74,Chez Reavie,72,29.03,2090,72,23
75,T76,T76,Graeme McDowell,53,29.04,1423,49,22
76,T76,T76,Darron Stiles,51,29.04,1423,49,23
77,T78,T78,Charley Hoffman,84,29.05,2440,84,21
78,T78,T78,Richard Lee,81,29.05,2237,77,23
79,T80,T80,Tommy Gainey,84,29.07,2442,84,23
80,T80,T80,Luke Guthrie,82,29.07,2384,82,23
81,T80,T80,Dicky Pride,71,29.07,1948,67,24
82,T83,T83,Scott Langley,79,29.08,2181,75,23
83,T83,T83,Carl Pettersson,82,29.08,2326,80,25
84,T83,T83,D.A. Points,87,29.08,2530,87,23
85,T86,T86,Justin Bolli,59,29.09,1600,55,21
86,T86,T86,Cameron Tringale,80,29.09,2327,80,22
87,T88,T88,Brendon de Jonge,110,29.1,3201,110,24
88,T88,T88,"Ted Potter, Jr.",65,29.1,1775,61,24
89,T90,T90,Troy Matteson,68,29.11,1921,66,24
90,T90,T90,Y.E. Yang,56,29.11,1630,56,23
91,T92,T92,K.J. Choi,85,29.12,2446,84,23
92,T92,T92,Scott Piercy,78,29.12,2184,75,22
93,94,94,Camilo Villegas,79,29.13,2185,75,24
94,T95,T95,Billy Horschel,96,29.14,2797,96,21
95,T95,T95,Cameron Percy,68,29.14,1923,66,23
96,T97,T97,Ryan Moore,72,29.18,2072,71,23
97,T97,T97,Michael Thompson,66,29.18,1926,66,23
98,99,99,D.H. Lee,65,29.23,1900,65,24
99,T100,T100,Roberto Castro,97,29.24,2836,97,23
100,T100,T100,Padraig Harrington,52,29.24,1433,49,23
