,Average_Putting_Distance_-_All_2_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_2_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_2_putts_PLAYER NAME,Average_Putting_Distance_-_All_2_putts_ROUNDS,Average_Putting_Distance_-_All_2_putts_AVG,Average_Putting_Distance_-_All_2_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_2_putts_TOTAL PUTTS
0,T1,T1,Charles Howell III,87,"24' 4""",19222.917,791
1,T1,T1,Hunter Mahan,91,"24' 4""",17469.0,717
2,3,3,Henrik Stenson,65,"24' 3""",11215.333,463
3,T4,T4,Russell Henley,80,"24' 2""",15997.0,663
4,T4,T4,Cameron Tringale,80,"24' 2""",18519.833,767
5,T6,T6,Ángel Cabrera,73,"24' 1""",14181.5,589
6,T6,T6,Doug LaBelle II,72,"24' 1""",14330.25,595
7,T6,T6,Richard Lee,81,"24' 1""",17828.25,739
8,T9,T9,Bobby Gates,49,"24' 0""",9832.0,410
9,T9,T9,Brendan Steele,86,"24' 0""",19335.25,807
10,T9,T9,Aaron Watkins,46,"24' 0""",8440.667,352
11,12,12,Steve Stricker,51,"23' 9""",7818.5,329
12,13,13,Johnson Wagner,64,"23' 8""",12893.75,544
13,T14,T14,Sergio Garcia,65,"23' 7""",10992.25,466
14,T14,T14,Brandt Jobe,62,"23' 7""",13210.25,561
15,T16,T16,J.J. Henry,83,"23' 6""",19599.0,834
16,T16,T16,Martin Kaymer,61,"23' 6""",10541.75,449
17,T16,T16,Martin Laird,68,"23' 6""",13102.667,558
18,T16,T16,John Merrick,79,"23' 6""",16768.25,713
19,T20,T20,Jason Day,86,"23' 5""",13917.25,594
20,T20,T20,Trevor Immelman,73,"23' 5""",15852.0,676
21,T20,T20,Troy Matteson,68,"23' 5""",14346.917,612
22,T23,T23,Stephen Ames,49,"23' 4""",9980.75,428
23,T23,T23,Stuart Appleby,88,"23' 4""",18162.167,777
24,T23,T23,Billy Horschel,96,"23' 4""",19663.583,844
25,T23,T23,Colt Knost,69,"23' 4""",13802.75,591
26,T27,T27,Keegan Bradley,88,"23' 3""",17199.667,740
27,T27,T27,Ben Curtis,59,"23' 3""",10897.583,469
28,T27,T27,Harris English,95,"23' 3""",18968.417,816
29,T27,T27,Bob Estes,66,"23' 3""",14292.083,615
