,GIR_Putting_Avg_-_25-30_RANK THIS WEEK,GIR_Putting_Avg_-_25-30_RANK LAST WEEK,GIR_Putting_Avg_-_25-30_PLAYER NAME,GIR_Putting_Avg_-_25-30_ROUNDS,GIR_Putting_Avg_-_25-30_% MADE,GIR_Putting_Avg_-_25-30_ATTEMPTS,GIR_Putting_Avg_-_25-30_PUTTS MADE
0,1,1,Steve Stricker,51,2.5,44,11.0
1,T2,T2,Zach Johnson,84,1.67,78,13.0
2,T2,T2,Graeme McDowell,53,1.67,42,7.0
3,4,4,Ryan Palmer,79,1.65,85,14.0
4,5,5,Dustin Johnson,71,1.63,49,8.0
5,6,6,D.J. Trahan,48,1.59,44,7.0
6,7,7,Aaron Baddeley,68,1.5,60,9.0
7,8,8,Padraig Harrington,52,1.46,41,6.0
8,T9,T9,Scott Langley,79,1.43,77,11.0
9,T9,T9,Geoff Ogilvy,57,1.43,42,6.0
10,11,11,Sergio Garcia,65,1.41,64,9.0
11,12,12,Sangmoon Bae,83,1.4,57,8.0
12,13,13,Charles Howell III,87,1.39,79,11.0
13,14,14,Phil Mickelson,78,1.38,58,8.0
14,T15,T15,Chris Kirk,89,1.36,66,9.0
15,T15,T15,Charl Schwartzel,69,1.36,66,9.0
16,17,17,"Ted Potter, Jr.",65,1.35,52,7.0
17,T18,T18,Greg Chalmers,77,1.32,76,10.0
18,T18,T18,Will Claxton,67,1.32,68,9.0
19,T18,T18,Bob Estes,66,1.32,68,9.0
20,T18,T18,Boo Weekley,100,1.32,106,14.0
21,22,22,Derek Ernst,58,1.3,46,6.0
22,T23,T23,Jordan Spieth,82,1.29,62,8.0
23,T23,T23,Kevin Stadler,83,1.29,62,8.0
24,T23,T23,Mike Weir,60,1.29,31,4.0
25,26,26,Bo Van Pelt,72,1.27,55,7.0
26,27,27,Ryo Ishikawa,72,1.25,64,8.0
27,28,28,Russell Henley,80,1.24,89,11.0
28,T29,T29,Robert Allenby,58,1.22,41,5.0
29,T29,T29,Rory McIlroy,56,1.22,41,5.0
30,T29,T29,Jin Park,52,1.22,49,6.0
31,T32,T32,Carl Pettersson,82,1.21,66,8.0
32,T32,T32,Tag Ridings,69,1.21,58,7.0
33,34,34,Daniel Summerhays,83,1.18,85,10.0
34,T35,T35,Tommy Gainey,84,1.17,60,7.0
35,T35,T35,John Senden,79,1.17,60,7.0
36,T37,T37,Roberto Castro,97,1.16,86,10.0
37,T37,T37,Matt Every,89,1.16,69,8.0
38,T39,T39,Colt Knost,69,1.15,61,7.0
39,T39,T39,Richard Lee,81,1.15,87,10.0
40,41,41,Andrew Svoboda,46,1.14,35,4.0
41,T42,T42,Jason Bohn,70,1.13,53,6.0
42,T42,T42,Doug LaBelle II,72,1.13,53,6.0
43,T42,T42,Gary Woodland,94,1.13,71,8.0
44,45,45,Luke Guthrie,82,1.11,63,7.0
45,46,46,Martin Laird,68,1.09,55,6.0
46,47,47,John Rollins,77,1.08,74,8.0
47,T48,T48,Keegan Bradley,88,1.07,75,8.0
48,T48,T48,Scott Gardiner,61,1.07,56,6.0
49,T48,T48,Jim Herman,59,1.07,56,6.0
50,51,51,Chris Stroud,88,1.05,86,9.0
51,52,52,Tim Herron,45,1.03,39,4.0
52,53,53,Brandt Snedeker,79,1.02,59,6.0
53,T54,T54,Ángel Cabrera,73,1.01,69,7.0
54,T54,T54,Brendan Steele,86,1.01,99,10.0
55,T54,T54,Nick Watney,88,1.01,89,9.0
56,T54,T54,Charlie Wi,75,1.01,69,7.0
57,T58,T58,Charley Hoffman,84,0.99,81,8.0
58,T58,T58,Henrik Norlander,70,0.99,81,8.0
59,T60,T60,Tim Clark,64,0.98,41,4.0
60,T60,T60,Harris English,95,0.98,92,9.0
61,T60,T60,Martin Flores,83,0.98,82,8.0
62,T63,T63,Steven Bowditch,67,0.97,62,6.0
63,T63,T63,Jason Dufner,78,0.97,62,6.0
64,T65,T65,Jeff Maggert,63,0.96,73,7.0
65,T65,T65,Ryan Moore,72,0.96,73,7.0
66,T65,T65,Lee Williams,62,0.96,52,5.0
67,T68,T68,Stuart Appleby,88,0.95,95,9.0
68,T68,T68,Ben Crane,62,0.95,63,6.0
69,T70,T70,Erik Compton,74,0.94,53,5.0
70,T70,T70,Mark Wilson,56,0.94,64,6.0
71,T72,T72,George McNeill,68,0.92,65,6.0
72,T72,T72,Josh Teater,86,0.92,65,6.0
73,T74,T74,Brandt Jobe,62,0.91,66,6.0
74,T74,T74,Lee Westwood,70,0.91,44,4.0
75,T76,T76,James Driscoll,76,0.9,78,7.0
76,T76,T76,Rickie Fowler,75,0.9,67,6.0
77,T78,T78,Brian Harman,89,0.89,79,7.0
78,T78,T78,Shawn Stefani,63,0.89,45,4.0
79,T80,T80,Kevin Streelman,86,0.88,68,6.0
80,T80,T80,Aaron Watkins,46,0.88,34,3.0
81,T82,T82,Ben Curtis,59,0.87,46,4.0
82,T82,T82,D.A. Points,87,0.87,69,6.0
83,84,84,Robert Karlsson,56,0.85,47,4.0
84,T85,T85,Ricky Barnes,74,0.83,60,5.0
85,T85,T85,Brad Fritsch,81,0.83,72,6.0
86,T85,T85,Vijay Singh,61,0.83,48,4.0
87,88,88,Brian Gay,79,0.82,49,4.0
88,89,89,Ian Poulter,59,0.81,37,3.0
89,T90,T90,Charlie Beljan,62,0.79,63,5.0
90,T90,T90,Ken Duke,87,0.79,101,8.0
91,T90,T90,Bryce Molder,82,0.79,76,6.0
92,T93,T93,Billy Horschel,96,0.78,90,7.0
93,T93,T93,Rory Sabbatini,86,0.78,77,6.0
94,95,95,Cameron Percy,68,0.77,52,4.0
95,96,96,Dicky Pride,71,0.76,79,6.0
96,T97,T97,Bud Cauley,67,0.75,53,4.0
97,T97,T97,D.H. Lee,65,0.75,67,5.0
98,99,99,Pat Perez,69,0.74,68,5.0
99,100,100,Graham DeLaet,94,0.73,109,8.0
100,T101,T101,Chad Campbell,78,0.71,84,6.0
101,T101,T101,Jim Furyk,80,0.71,85,6.0
102,T101,T101,David Mathis,71,0.71,70,5.0
103,104,104,Alistair Presnell,59,0.7,57,4.0
104,T105,T105,Peter Hanson,45,0.69,29,2.0
105,T105,T105,Johnson Wagner,64,0.69,58,4.0
106,T105,T105,Bubba Watson,76,0.69,58,4.0
107,T108,T108,Jonas Blixt,76,0.68,59,4.0
108,T108,T108,Brian Davis,91,0.68,74,5.0
