,3-Putt_Avoidance_RANK THIS WEEK,3-Putt_Avoidance_RANK LAST WEEK,3-Putt_Avoidance_PLAYER NAME,3-Putt_Avoidance_ROUNDS,3-Putt_Avoidance_%,3-Putt_Avoidance_TOTAL 3 PUTTS,3-Putt_Avoidance_TOTAL HOLES (OVERALL)
0,1,1,Greg Chalmers,77,1.83,24,1314
1,2,2,Matt Kuchar,93,1.85,29,1566
2,3,3,Brian Gay,79,1.9,27,1422
3,4,4,Justin Leonard,86,2.0,31,1548
4,5,5,Bob Estes,66,2.1,25,1188
5,6,6,Bryce Molder,82,2.15,31,1440
6,7,7,David Hearn,88,2.27,36,1584
7,T8,T8,Brian Harman,89,2.29,35,1530
8,T8,T8,Charl Schwartzel,69,2.29,28,1224
9,T10,T10,Chez Reavie,72,2.31,30,1296
10,T10,T10,Tag Ridings,69,2.31,27,1170
11,12,12,Peter Hanson,45,2.33,18,774
12,13,13,Keegan Bradley,88,2.36,37,1566
13,14,14,William McGirt,75,2.37,32,1350
14,T15,T15,Jason Bohn,70,2.38,30,1260
15,T15,T15,Sergio Garcia,65,2.38,27,1134
16,T15,T15,Rod Pampling,46,2.38,18,756
17,T18,T18,Luke Donald,60,2.39,25,1044
18,T18,T18,Colt Knost,69,2.39,28,1170
19,20,20,Chris Stroud,88,2.4,38,1584
20,21,21,Daniel Summerhays,83,2.41,36,1494
21,22,22,Bill Haas,85,2.45,37,1512
22,T23,T23,Brendon de Jonge,110,2.47,49,1980
23,T23,T23,Bobby Gates,49,2.47,20,810
24,T25,T25,Jeff Overton,78,2.49,35,1404
25,T25,T25,Mike Weir,60,2.49,26,1044
26,27,27,Ernie Els,63,2.51,28,1116
27,28,28,James Hahn,78,2.55,34,1332
28,T29,T29,Jonas Blixt,76,2.56,35,1368
29,T29,T29,Scott Brown,65,2.56,30,1170
30,T29,T29,Brian Davis,91,2.56,42,1638
31,T29,T29,Fabián Gómez,65,2.56,30,1170
32,33,33,Jimmy Walker,84,2.58,39,1512
33,T34,T34,Jerry Kelly,75,2.59,35,1350
34,T34,T34,Adam Scott,61,2.59,28,1080
35,36,36,Ryan Palmer,79,2.6,37,1422
36,T37,T37,Stephen Ames,49,2.61,23,882
37,T37,T37,J.J. Henry,83,2.61,38,1458
38,T37,T37,Charles Howell III,87,2.61,40,1530
39,40,40,Casey Wittenberg,72,2.62,33,1260
40,41,41,Brian Stuard,78,2.63,35,1332
41,42,42,Carl Pettersson,82,2.64,38,1440
42,43,43,Andrew Svoboda,46,2.65,21,792
43,44,44,Aaron Baddeley,68,2.69,32,1188
44,T45,T45,Jason Day,86,2.71,39,1440
45,T45,T45,Webb Simpson,92,2.71,43,1584
46,47,47,Gary Woodland,94,2.72,44,1620
47,T48,T48,David Lynn,70,2.74,34,1242
48,T48,T48,Brandt Snedeker,79,2.74,39,1422
49,T50,T50,James Driscoll,76,2.78,36,1296
50,T50,T50,Rickie Fowler,75,2.78,37,1332
51,T50,T50,Jim Furyk,80,2.78,39,1404
52,T50,T50,Freddie Jacobson,63,2.78,30,1080
53,T50,T50,Y.E. Yang,56,2.78,28,1008
54,T55,T55,Matt Jones,83,2.81,42,1494
55,T55,T55,Richard Lee,81,2.81,39,1386
56,T55,T55,John Merrick,79,2.81,40,1422
57,T58,T58,Robert Garrigus,69,2.82,33,1170
58,T58,T58,Dicky Pride,71,2.82,34,1206
59,T58,T58,John Rollins,77,2.82,37,1314
60,61,61,Padraig Harrington,52,2.83,25,882
61,62,62,Troy Matteson,68,2.86,34,1188
62,T63,T63,Chris Kirk,89,2.87,46,1602
63,T63,T63,Tiger Woods,61,2.87,31,1080
64,65,65,Billy Horschel,96,2.89,50,1728
65,66,66,Aaron Watkins,46,2.9,23,792
66,67,67,Kevin Streelman,86,2.91,45,1548
67,T68,T68,Roberto Castro,97,2.92,51,1746
68,T68,T68,Phil Mickelson,78,2.92,41,1404
69,T68,T68,Andres Romero,63,2.92,31,1062
70,71,71,Ian Poulter,59,2.94,28,954
71,72,72,Cameron Percy,68,2.95,35,1188
72,T73,T73,Scott Langley,79,2.96,40,1350
73,T73,T73,Lee Williams,62,2.96,32,1080
74,75,75,Derek Ernst,58,2.97,31,1044
75,76,76,Shawn Stefani,63,3.0,34,1134
76,T77,T77,Tim Clark,64,3.01,33,1098
77,T77,T77,Zach Johnson,84,3.01,45,1494
78,79,79,Doug LaBelle II,72,3.02,38,1260
79,80,80,Stuart Appleby,88,3.04,46,1512
80,81,81,Robert Streb,75,3.05,39,1278
81,82,82,Pat Perez,69,3.06,38,1242
82,83,83,Steve Stricker,51,3.07,26,846
83,84,84,Tim Herron,45,3.09,25,810
84,85,85,Camilo Villegas,79,3.11,42,1350
85,T86,T86,Morgan Hoffmann,64,3.13,36,1152
86,T86,T86,Cameron Tringale,80,3.13,45,1440
87,88,88,Graeme McDowell,53,3.17,28,882
88,T89,T89,Jordan Spieth,82,3.18,47,1476
89,T89,T89,Josh Teater,86,3.18,47,1476
90,91,91,Hunter Mahan,91,3.2,49,1530
91,T92,T92,Russell Henley,80,3.21,45,1404
92,T92,T92,Charlie Wi,75,3.21,41,1278
93,94,94,Harris English,95,3.22,55,1710
94,95,95,K.J. Choi,85,3.24,49,1512
95,96,96,Steven Bowditch,67,3.25,38,1170
96,T97,T97,Bud Cauley,67,3.26,37,1134
97,T97,T97,Ken Duke,87,3.26,51,1566
98,T97,T97,Brandt Jobe,62,3.26,34,1044
99,T97,T97,Vaughn Taylor,50,3.26,27,828
100,101,101,Ben Kohles,75,3.29,42,1278
101,102,102,Scott Stallings,79,3.31,47,1422
102,103,103,Brendan Steele,86,3.32,49,1476
103,104,104,Chad Campbell,78,3.36,46,1368
104,T105,T105,Tommy Gainey,84,3.37,51,1512
105,T105,T105,Michael Thompson,66,3.37,40,1188
106,107,107,Kevin Stadler,83,3.38,48,1422
107,T108,T108,Scott Gardiner,61,3.39,36,1062
108,T108,T108,Marc Leishman,77,3.39,47,1386
109,T110,T110,Martin Flores,83,3.41,51,1494
110,T110,T110,Scott Piercy,78,3.41,46,1350
111,T110,T110,Patrick Reed,83,3.41,51,1494
112,T110,T110,Bo Van Pelt,72,3.41,43,1260
113,T114,T114,Tom Gillis,69,3.42,40,1170
114,T114,T114,D.H. Lee,65,3.42,40,1170
115,T114,T114,Bubba Watson,76,3.42,45,1314
116,117,117,George McNeill,68,3.43,42,1224
117,118,118,Sean O'Hair,56,3.47,35,1008
118,119,119,David Mathis,71,3.48,42,1206
119,120,120,Ricky Barnes,74,3.49,44,1260
120,121,121,D.J. Trahan,48,3.5,29,828
121,T122,T122,Henrik Norlander,70,3.51,43,1224
122,T122,T122,Darron Stiles,51,3.51,31,882
123,T124,T124,Erik Compton,74,3.53,47,1332
124,T124,T124,Mark Wilson,56,3.53,33,936
125,T126,T126,Ben Crane,62,3.54,37,1044
126,T126,T126,David Toms,49,3.54,28,792
127,T128,T128,Matt Every,89,3.56,57,1602
128,T128,T128,John Senden,79,3.56,50,1404
129,T130,T130,Robert Allenby,58,3.57,36,1008
130,T130,T130,Charley Hoffman,84,3.57,54,1512
131,T130,T130,Dustin Johnson,71,3.57,45,1260
132,T130,T130,Seung-Yul Noh,71,3.57,43,1206
133,T134,T134,Justin Bolli,59,3.64,36,990
134,T134,T134,Rory McIlroy,56,3.64,36,990
135,136,136,Brad Fritsch,81,3.68,51,1386
136,T137,T137,Trevor Immelman,73,3.7,46,1242
137,T137,T137,Justin Rose,62,3.7,40,1080
138,139,139,David Lingmerth,68,3.76,46,1224
139,140,140,D.A. Points,87,3.77,59,1566
140,T141,T141,Graham DeLaet,94,3.78,64,1692
141,T141,T141,Lee Westwood,70,3.78,47,1242
142,143,143,Ben Curtis,59,3.8,39,1026
143,144,144,Martin Laird,68,3.84,47,1224
144,145,145,Jason Kokrak,78,3.85,54,1404
145,146,146,Ryo Ishikawa,72,3.89,49,1260
146,T147,T147,Stewart Cink,71,3.91,50,1278
147,T147,T147,Ryan Moore,72,3.91,50,1278
148,T147,T147,Henrik Stenson,65,3.91,45,1152
149,150,150,Steve LeBrun,66,3.94,44,1116
150,T151,T151,Nicholas Thompson,99,3.98,71,1782
151,T151,T151,Johnson Wagner,64,3.98,43,1080
152,153,153,Jin Park,52,4.0,36,900
153,154,154,Kevin Chappell,80,4.03,58,1440
154,T155,T155,Will Claxton,67,4.06,46,1134
155,T155,T155,Jeff Maggert,63,4.06,46,1134
156,157,157,Alistair Presnell,59,4.09,42,1026
157,158,158,Ángel Cabrera,73,4.11,54,1314
158,159,159,Charlie Beljan,62,4.12,46,1116
159,160,160,Justin Hicks,79,4.15,56,1350
160,161,161,Sangmoon Bae,83,4.22,63,1494
161,T162,T162,Jason Dufner,78,4.26,59,1386
162,T162,T162,Nick Watney,88,4.26,66,1548
163,164,164,Luke List,65,4.28,47,1098
164,165,165,John Huh,88,4.29,68,1584
165,166,166,Greg Owen,73,4.3,55,1278
166,167,167,Boo Weekley,100,4.33,78,1800
167,168,168,Martin Kaymer,61,4.41,46,1044
168,169,169,Rory Sabbatini,86,4.47,66,1476
169,170,170,Nicolas Colsaerts,50,4.49,38,846
170,171,171,Luke Guthrie,82,4.54,67,1476
171,172,172,"Ted Potter, Jr.",65,4.55,50,1098
172,173,173,Michael Bradley,56,4.7,44,936
173,174,174,Robert Karlsson,56,4.91,46,936
174,175,175,Jim Herman,59,4.95,49,990
175,176,176,Eric Meierdierks,48,5.07,42,828
176,177,177,Vijay Singh,61,5.1,56,1098
177,178,178,Geoff Ogilvy,57,5.36,55,1026
178,179,179,Kyle Stanley,71,5.4,69,1278
179,180,180,Lucas Glover,65,5.73,67,1170
