,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,1,Brandt Snedeker,79,"81' 7""",56768,58,"4' 7""","137' 5"""
1,T2,T2,Sangmoon Bae,83,"81' 6""",70436,72,"4' 7""","148' 7"""
2,T2,T2,Peter Hanson,45,"81' 6""",32278,33,"4' 7""","148' 10"""
3,T2,T2,Russell Henley,80,"81' 6""",64556,66,"4' 7""","147' 11"""
4,5,5,Stephen Ames,49,"80' 8""",42570,44,"4' 6""","160' 11"""
5,6,6,Charl Schwartzel,69,"80' 5""",52111,54,"4' 6""","126' 6"""
6,7,7,Phil Mickelson,78,"80' 4""",54937,57,"4' 6""","137' 2"""
7,8,8,"Ted Potter, Jr.",65,"80' 0""",52804,55,"4' 6""","157' 11"""
8,9,9,Harris English,95,"79' 6""",78232,82,"4' 6""","155' 1"""
9,10,10,Greg Chalmers,77,"78' 9""",66122,70,"4' 5""","123' 7"""
10,11,11,James Driscoll,76,"78' 8""",59487,63,"4' 5""","169' 0"""
11,12,12,Rickie Fowler,75,"78' 6""",55566,59,"4' 5""","145' 1"""
12,13,13,Chris Kirk,89,"78' 0""",75850,81,"4' 5""","127' 4"""
13,14,14,David Hearn,88,"77' 7""",67927,73,"4' 4""","150' 8"""
14,15,15,Richard Lee,81,"77' 4""",66823,72,"4' 4""","129' 10"""
15,T16,T16,Billy Horschel,96,"77' 2""",76841,83,"4' 4""","131' 4"""
16,T16,T16,Doug LaBelle II,72,"77' 2""",54638,59,"4' 4""","178' 5"""
17,18,18,Graeme McDowell,53,"76' 11""",34161,37,"4' 4""","126' 10"""
18,T19,T19,Aaron Baddeley,68,"76' 7""",54200,59,"4' 4""","154' 9"""
19,T19,T19,Sergio Garcia,65,"76' 7""",43216,47,"4' 4""","147' 8"""
20,21,21,Jeff Overton,78,"76' 4""",67820,74,"4' 3""","138' 4"""
21,22,22,Tim Clark,64,"76' 3""",39324,43,"4' 3""","142' 10"""
22,23,23,Charlie Wi,75,"76' 0""",60193,66,"4' 3""","163' 7"""
23,24,24,Ryan Palmer,79,"75' 10""",62821,69,"4' 3""","141' 3"""
24,T25,T25,Erik Compton,74,"75' 8""",59007,65,"4' 3""","190' 11"""
25,T25,T25,Ben Kohles,75,"75' 8""",56293,62,"4' 3""","154' 9"""
26,T25,T25,Steve Stricker,51,"75' 8""",31777,35,"4' 3""","107' 9"""
27,28,28,Aaron Watkins,46,"75' 6""",31716,35,"4' 3""","144' 3"""
28,T29,T29,Patrick Reed,83,"75' 4""",66864,74,"4' 3""","189' 3"""
29,T29,T29,Jordan Spieth,82,"75' 4""",60546,67,"4' 3""","143' 0"""
30,31,31,Morgan Hoffmann,64,"75' 2""",47805,53,"4' 3""","180' 4"""
31,T32,T32,Tommy Gainey,84,"75' 0""",67493,75,"4' 3""","169' 4"""
32,T32,T32,Martin Kaymer,61,"75' 0""",37797,42,"4' 3""","120' 4"""
33,T34,T34,Luke Guthrie,82,"74' 10""",58348,65,"4' 3""","126' 1"""
34,T34,T34,Colt Knost,69,"74' 10""",52063,58,"4' 3""","128' 5"""
35,T36,T36,Bryce Molder,82,"74' 8""",63610,71,"4' 2""","132' 4"""
36,T36,T36,Carl Pettersson,82,"74' 8""",56417,63,"4' 3""","145' 3"""
37,T38,T38,Ken Duke,87,"74' 6""",67036,75,"4' 2""","130' 1"""
38,T38,T38,Zach Johnson,84,"74' 6""",59901,67,"4' 2""","149' 9"""
39,T40,T40,Charles Howell III,87,"74' 5""",71470,80,"4' 2""","141' 2"""
40,T40,T40,Jimmy Walker,84,"74' 5""",67002,75,"4' 2""","145' 2"""
41,42,42,Derek Ernst,58,"74' 3""",43664,49,"4' 2""","147' 10"""
42,T43,T43,Martin Laird,68,"74' 2""",47192,53,"4' 2""","149' 2"""
43,T43,T43,Rory Sabbatini,86,"74' 2""",64108,72,"4' 2""","136' 1"""
44,45,45,Gary Woodland,94,"74' 1""",73818,83,"4' 2""","151' 9"""
45,46,46,D.H. Lee,65,"74' 0""",51530,58,"4' 2""","201' 6"""
46,T47,T47,Brian Davis,91,"73' 11""",73592,83,"4' 2""","141' 2"""
47,T47,T47,D.A. Points,87,"73' 11""",60335,68,"4' 2""","170' 0"""
48,T47,T47,Scott Stallings,79,"73' 11""",58568,66,"4' 2""","140' 6"""
49,T50,T50,David Lynn,70,"73' 9""",49558,56,"4' 2""","145' 7"""
50,T50,T50,Nick Watney,88,"73' 9""",64623,73,"4' 2""","133' 4"""
51,T52,T52,Andres Romero,63,"73' 8""",45984,52,"4' 2""","140' 4"""
52,T52,T52,Johnson Wagner,64,"73' 8""",45982,52,"4' 2""","159' 2"""
53,T54,T54,Matt Every,89,"73' 3""",70322,80,"4' 1""","126' 0"""
54,T54,T54,Scott Langley,79,"73' 3""",56232,64,"4' 1""","198' 8"""
55,T56,T56,Henrik Stenson,65,"73' 2""",38625,44,"4' 1""","108' 11"""
56,T56,T56,Nicholas Thompson,99,"73' 2""",75511,86,"4' 1""","129' 8"""
57,T58,T58,Padraig Harrington,52,"73' 1""",30702,35,"4' 1""","136' 11"""
58,T58,T58,Matt Kuchar,93,"73' 1""",60539,69,"4' 1""","141' 4"""
59,T58,T58,William McGirt,75,"73' 1""",62249,71,"4' 1""","112' 4"""
60,T61,T61,Graham DeLaet,94,"73' 0""",70963,81,"4' 1""","130' 7"""
61,T61,T61,Tom Gillis,69,"73' 0""",52557,60,"4' 1""","154' 10"""
62,T61,T61,Bill Haas,85,"73' 0""",60468,69,"4' 1""","126' 2"""
63,T61,T61,Charley Hoffman,84,"73' 0""",63925,73,"4' 1""","167' 10"""
64,T61,T61,Michael Thompson,66,"73' 0""",46407,53,"4' 1""","154' 5"""
65,T66,T66,Freddie Jacobson,63,"72' 11""",40260,46,"4' 1""","131' 8"""
66,T66,T66,Geoff Ogilvy,57,"72' 11""",36747,42,"4' 1""","134' 2"""
67,T68,T68,Jonas Blixt,76,"72' 10""",58574,67,"4' 1""","146' 7"""
68,T68,T68,Cameron Tringale,80,"72' 10""",65565,75,"4' 1""","137' 0"""
69,T70,T70,Jason Bohn,70,"72' 9""",57600,66,"4' 1""","163' 3"""
70,T70,T70,Casey Wittenberg,72,"72' 9""",53255,61,"4' 1""","133' 7"""
71,72,72,Webb Simpson,92,"72' 8""",61016,70,"4' 1""","143' 7"""
72,T73,T73,Luke Donald,60,"72' 7""",40043,46,"4' 1""","125' 1"""
73,T73,T73,Jim Herman,59,"72' 7""",38335,44,"4' 1""","139' 7"""
74,T73,T73,Jason Kokrak,78,"72' 7""",62711,72,"4' 1""","154' 8"""
75,T76,T76,Stuart Appleby,88,"72' 6""",68749,79,"4' 1""","171' 10"""
76,T76,T76,Rory McIlroy,56,"72' 6""",35650,41,"4' 1""","143' 2"""
77,T76,T76,Chris Stroud,88,"72' 6""",67876,78,"4' 1""","153' 4"""
78,T79,T79,Ben Crane,62,"72' 5""",47779,55,"4' 1""","158' 3"""
79,T79,T79,Jason Day,86,"72' 5""",53008,61,"4' 1""","123' 7"""
80,T79,T79,George McNeill,68,"72' 5""",55585,64,"4' 1""","140' 6"""
81,82,82,Kevin Streelman,86,"72' 4""",59031,68,"4' 1""","136' 10"""
82,T83,T83,Ángel Cabrera,73,"72' 3""",49404,57,"4' 1""","137' 10"""
83,T83,T83,Justin Hicks,79,"72' 3""",57219,66,"4' 1""","143' 1"""
84,85,85,David Lingmerth,68,"72' 2""",49368,57,"4' 1""","129' 5"""
85,86,86,Brian Stuard,78,"72' 1""",54510,63,"4' 0""","153' 10"""
86,T87,T87,D.J. Trahan,48,"72' 0""",32848,38,"4' 0""","126' 5"""
87,T87,T87,Tiger Woods,61,"72' 0""",37157,43,"4' 1""","133' 3"""
88,T89,T89,Bob Estes,66,"71' 11""",53496,62,"4' 1""","138' 11"""
