,3-Putt_Avoidance_-_Round_2_RANK THIS WEEK,3-Putt_Avoidance_-_Round_2_RANK LAST WEEK,3-Putt_Avoidance_-_Round_2_PLAYER NAME,3-Putt_Avoidance_-_Round_2_%,3-Putt_Avoidance_-_Round_2_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_2_TOTAL HOLES
0,1,1,Greg Chalmers,0.72,3,414
1,2,2,Tag Ridings,1.21,5,414
2,3,3,Carl Pettersson,1.26,5,396
3,4,4,Derek Ernst,1.32,5,378
4,T5,T5,Bobby Gates,1.54,5,324
5,T5,T5,Charl Schwartzel,1.54,5,324
6,T7,T7,Justin Leonard,1.62,7,432
7,T7,T7,William McGirt,1.62,7,432
8,9,9,Henrik Stenson,1.63,5,306
9,10,10,Chris Stroud,1.78,8,450
10,11,11,Brian Harman,1.79,9,504
11,T12,T12,Ernie Els,1.85,6,324
12,T12,T12,Bill Haas,1.85,8,432
13,T12,T12,Peter Hanson,1.85,4,216
14,T12,T12,Graeme McDowell,1.85,5,270
15,T12,T12,Rod Pampling,1.85,5,270
16,T12,T12,Robert Streb,1.85,8,432
17,T18,T18,Robert Garrigus,1.94,7,360
18,T18,T18,D.H. Lee,1.94,7,360
19,T18,T18,Pat Perez,1.94,7,360
20,T21,T21,James Driscoll,2.02,8,396
21,T21,T21,Johnson Wagner,2.02,8,396
22,23,23,Ben Curtis,2.05,7,342
23,24,24,Andrew Svoboda,2.08,6,288
24,25,25,Tom Gillis,2.12,8,378
25,26,26,Stephen Ames,2.16,7,324
26,T27,T27,K.J. Choi,2.17,9,414
27,T27,T27,Colt Knost,2.17,9,414
28,T27,T27,Bryce Molder,2.17,9,414
29,T30,T30,Tim Herron,2.22,6,270
30,T30,T30,Adam Scott,2.22,6,270
31,T32,T32,Scott Gardiner,2.27,9,396
32,T32,T32,Justin Hicks,2.27,9,396
33,T32,T32,Matt Kuchar,2.27,9,396
34,T35,T35,Stuart Appleby,2.31,10,432
35,T35,T35,Chad Campbell,2.31,10,432
36,T35,T35,Chris Kirk,2.31,10,432
37,T35,T35,Webb Simpson,2.31,10,432
38,39,39,Tim Clark,2.34,8,342
39,40,40,David Hearn,2.35,11,468
40,T41,T41,Scott Brown,2.38,9,378
41,T41,T41,Jim Furyk,2.38,9,378
42,T41,T41,Phil Mickelson,2.38,9,378
43,T44,T44,Aaron Baddeley,2.42,10,414
44,T44,T44,Troy Matteson,2.42,10,414
45,T44,T44,John Rollins,2.42,10,414
46,T47,T47,Luke Donald,2.43,7,288
47,T47,T47,Sergio Garcia,2.43,7,288
48,T49,T49,Freddie Jacobson,2.47,8,324
49,T49,T49,Aaron Watkins,2.47,8,324
50,T49,T49,Mark Wilson,2.47,8,324
51,52,52,Shawn Stefani,2.5,9,360
52,T53,T53,Fabián Gómez,2.53,10,396
53,T53,T53,Ryan Palmer,2.53,10,396
54,T53,T53,Dicky Pride,2.53,10,396
55,T56,T56,Keegan Bradley,2.55,11,432
