,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Brian Gay,79,1.528,2173,1422
1,2,2,Aaron Baddeley,68,1.545,1835,1188
2,3,3,Greg Chalmers,77,1.556,2045,1314
3,4,4,Mike Weir,60,1.5590000000000002,1628,1044
4,5,5,Luke Donald,60,1.567,1636,1044
5,6,6,Chris Kirk,89,1.57,2515,1602
6,7,7,Charlie Wi,75,1.574,2012,1278
7,T8,T8,Jonas Blixt,76,1.577,2158,1368
8,T8,T8,Brian Davis,91,1.577,2583,1638
9,T8,T8,Justin Leonard,86,1.577,2441,1548
10,T8,T8,Brandt Snedeker,79,1.577,2242,1422
11,T12,T12,Bob Estes,66,1.578,1875,1188
12,T12,T12,Bryce Molder,82,1.578,2272,1440
13,T12,T12,Chris Stroud,88,1.578,2499,1584
14,T15,T15,Steven Bowditch,67,1.5819999999999999,1851,1170
15,T15,T15,David Hearn,88,1.5819999999999999,2506,1584
16,17,17,Freddie Jacobson,63,1.5830000000000002,1710,1080
17,18,18,James Driscoll,76,1.584,2053,1296
18,19,19,Stephen Ames,49,1.585,1398,882
19,20,20,Brian Harman,89,1.5859999999999999,2426,1530
20,21,21,Phil Mickelson,78,1.587,2228,1404
21,22,22,Andres Romero,63,1.588,1686,1062
22,T23,T23,Patrick Reed,83,1.589,2374,1494
23,T23,T23,Vaughn Taylor,50,1.589,1316,828
24,25,25,Jason Day,86,1.59,2290,1440
25,26,26,Matt Kuchar,93,1.591,2492,1566
26,T27,T27,Rickie Fowler,75,1.5919999999999999,2120,1332
27,T27,T27,Charles Howell III,87,1.5919999999999999,2436,1530
28,T29,T29,Peter Hanson,45,1.5930000000000002,1233,774
29,T29,T29,Morgan Hoffmann,64,1.5930000000000002,1835,1152
30,T29,T29,Jordan Spieth,82,1.5930000000000002,2352,1476
31,T29,T29,Steve Stricker,51,1.5930000000000002,1348,846
32,33,33,David Lynn,70,1.594,1980,1242
33,34,34,Stuart Appleby,88,1.595,2412,1512
34,35,35,Daniel Summerhays,83,1.5959999999999999,2384,1494
35,36,36,Aaron Watkins,46,1.597,1265,792
36,37,37,Jeff Overton,78,1.598,2244,1404
37,T38,T38,Jason Bohn,70,1.599,2015,1260
38,T38,T38,Colt Knost,69,1.599,1871,1170
39,T40,T40,Sangmoon Bae,83,1.6,2390,1494
40,T40,T40,James Hahn,78,1.6,2131,1332
41,T42,T42,Tim Herron,45,1.601,1297,810
42,T42,T42,Lee Williams,62,1.601,1729,1080
43,T44,T44,Jerry Kelly,75,1.6019999999999999,2163,1350
44,T44,T44,Ryan Palmer,79,1.6019999999999999,2278,1422
