,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
0,1,1,Aaron Watkins,46,89.97,628,565
1,2,2,Steve Stricker,51,89.69,621,557
2,3,3,David Lynn,70,89.6,1000,896
3,4,4,Greg Chalmers,77,89.49,1247,1116
4,5,5,William McGirt,75,89.22,1290,1151
5,6,6,Richard Lee,81,89.03,1294,1152
6,7,7,Brian Gay,79,89.02,1293,1151
7,T8,T8,Hunter Mahan,91,88.98,1243,1106
8,T8,T8,Ian Poulter,59,88.98,717,638
9,10,10,Cameron Percy,68,88.95,1050,934
10,11,11,Tiger Woods,61,88.9,784,697
11,12,12,Aaron Baddeley,68,88.86,1059,941
12,13,13,Doug LaBelle II,72,88.8,1071,951
13,14,14,Graham DeLaet,94,88.79,1472,1307
14,15,15,Sergio Garcia,65,88.65,846,750
15,16,16,Colt Knost,69,88.63,1055,935
16,17,17,Brandt Snedeker,79,88.58,1033,915
17,18,18,Stephen Ames,49,88.52,793,702
18,19,19,J.J. Henry,83,88.48,1371,1213
19,20,20,Brendan Steele,86,88.45,1429,1264
20,21,21,Freddie Jacobson,63,88.44,839,742
21,22,22,Johnson Wagner,64,88.38,955,844
22,23,23,Martin Kaymer,61,88.35,764,675
23,24,24,Matt Kuchar,93,88.31,1266,1118
24,25,25,Justin Leonard,86,88.27,1381,1219
25,26,26,Stuart Appleby,88,88.25,1438,1269
26,27,27,Keegan Bradley,88,88.21,1323,1167
27,28,28,Bob Estes,66,88.2,1127,994
28,T29,T29,Jonas Blixt,76,88.14,1239,1092
29,T29,T29,Bryce Molder,82,88.14,1298,1144
30,31,31,Patrick Reed,83,88.13,1356,1195
31,32,32,David Hearn,88,88.09,1327,1169
32,T33,T33,Zach Johnson,84,88.07,1207,1063
