,Total_1_Putts_-__25_RANK THIS WEEK,Total_1_Putts_-__25_RANK LAST WEEK,Total_1_Putts_-__25_PLAYER NAME,Total_1_Putts_-__25_ROUNDS,Total_1_Putts_-__25_TOTAL,Total_1_Putts_-__25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-__25_PCT OF ALL 1-PUTTS
0,T1,T1,Stuart Appleby,88,24,576,4.2
1,T1,T1,Ken Duke,87,24,538,4.5
2,T1,T1,Zach Johnson,84,24,464,5.2
3,T4,T4,Sangmoon Bae,83,23,533,4.3
4,T4,T4,Roberto Castro,97,23,579,4.0
5,T4,T4,Harris English,95,23,603,3.8
6,T4,T4,Richard Lee,81,23,508,4.5
7,T8,T8,Greg Chalmers,77,22,547,4.0
8,T8,T8,Bill Haas,85,22,467,4.7
9,T8,T8,Boo Weekley,100,22,531,4.1
10,T8,T8,Gary Woodland,94,22,574,3.8
11,T12,T12,Luke Guthrie,82,21,482,4.4
12,T12,T12,Russell Henley,80,21,476,4.4
13,T12,T12,Charles Howell III,87,21,596,3.5
14,T12,T12,Ryan Palmer,79,21,518,4.1
15,T12,T12,Nicholas Thompson,99,21,589,3.6
16,T17,T17,Chris Kirk,89,20,643,3.1
17,T17,T17,Colt Knost,69,20,412,4.9
18,T17,T17,Carl Pettersson,82,20,447,4.5
19,T17,T17,Brandt Snedeker,79,20,463,4.3
20,T17,T17,Brendan Steele,86,20,520,3.8
21,T22,T22,Chad Campbell,78,19,470,4.0
22,T22,T22,Rickie Fowler,75,19,439,4.3
23,T22,T22,Tommy Gainey,84,19,535,3.6
24,T22,T22,William McGirt,75,19,507,3.7
25,T22,T22,Phil Mickelson,78,19,461,4.1
26,T22,T22,Jeff Overton,78,19,543,3.5
27,T28,T28,Graham DeLaet,94,18,539,3.3
28,T28,T28,Martin Flores,83,18,554,3.2
29,T28,T28,Sergio Garcia,65,18,348,5.2
30,T28,T28,John Merrick,79,18,458,3.9
31,T28,T28,Patrick Reed,83,18,558,3.2
32,T28,T28,John Rollins,77,18,452,4.0
33,T28,T28,Nick Watney,88,18,479,3.8
34,T35,T35,Aaron Baddeley,68,17,477,3.6
35,T35,T35,Jonas Blixt,76,17,513,3.3
36,T35,T35,Keegan Bradley,88,17,505,3.4
37,T35,T35,Jason Day,86,17,464,3.7
38,T35,T35,Matt Every,89,17,593,2.9
39,T35,T35,J.J. Henry,83,17,451,3.8
40,T35,T35,Matt Jones,83,17,519,3.3
41,T35,T35,Scott Langley,79,17,455,3.7
42,T35,T35,D.H. Lee,65,17,397,4.3
43,T35,T35,George McNeill,68,17,432,3.9
44,T35,T35,Bryce Molder,82,17,540,3.1
45,T35,T35,Chris Stroud,88,17,596,2.9
46,T35,T35,Daniel Summerhays,83,17,554,3.1
47,T35,T35,Jimmy Walker,84,17,552,3.1
48,T35,T35,Charlie Wi,75,17,500,3.4
49,T50,T50,Stephen Ames,49,16,335,4.8
50,T50,T50,Ángel Cabrera,73,16,376,4.3
51,T50,T50,Brian Davis,91,16,634,2.5
52,T50,T50,Charley Hoffman,84,16,518,3.1
53,T50,T50,Billy Horschel,96,16,595,2.7
54,T50,T50,Jason Kokrak,78,16,517,3.1
55,T50,T50,Doug LaBelle II,72,16,423,3.8
56,T50,T50,Marc Leishman,77,16,458,3.5
57,T50,T50,"Ted Potter, Jr.",65,16,400,4.0
58,T50,T50,Chez Reavie,72,16,460,3.5
59,T50,T50,Rory Sabbatini,86,16,508,3.1
60,T50,T50,Kevin Streelman,86,16,476,3.4
61,T50,T50,Casey Wittenberg,72,16,439,3.6
62,T63,T63,Jason Bohn,70,15,479,3.1
63,T63,T63,K.J. Choi,85,15,445,3.4
64,T63,T63,Brendon de Jonge,110,15,656,2.3
65,T63,T63,James Driscoll,76,15,469,3.2
66,T63,T63,Derek Ernst,58,15,320,4.7
67,T63,T63,Bob Estes,66,15,461,3.3
68,T63,T63,Jim Furyk,80,15,448,3.3
69,T63,T63,Tom Gillis,69,15,433,3.5
70,T63,T63,Brian Harman,89,15,552,2.7
71,T63,T63,Ryan Moore,72,15,411,3.6
72,T63,T63,D.A. Points,87,15,488,3.1
73,T63,T63,Charl Schwartzel,69,15,385,3.9
74,T63,T63,John Senden,79,15,392,3.8
75,T63,T63,Jordan Spieth,82,15,515,2.9
76,T63,T63,Kevin Stadler,83,15,470,3.2
77,T63,T63,D.J. Trahan,48,15,253,5.9
78,T63,T63,Cameron Tringale,80,15,525,2.9
79,T80,T80,Ricky Barnes,74,14,406,3.4
80,T80,T80,Erik Compton,74,14,469,3.0
81,T80,T80,Brad Fritsch,81,14,475,2.9
82,T80,T80,David Hearn,88,14,554,2.5
83,T80,T80,Justin Hicks,79,14,437,3.2
84,T80,T80,Matt Kuchar,93,14,520,2.7
85,T80,T80,Justin Leonard,86,14,571,2.5
86,T80,T80,Henrik Norlander,70,14,392,3.6
87,T80,T80,Scott Piercy,78,14,434,3.2
88,T80,T80,Tag Ridings,69,14,392,3.6
89,T80,T80,Webb Simpson,92,14,512,2.7
90,T80,T80,Brian Stuard,78,14,431,3.2
91,T80,T80,Johnson Wagner,64,14,347,4.0
92,T93,T93,Steven Bowditch,67,13,443,2.9
93,T93,T93,James Hahn,78,13,469,2.8
94,T93,T93,Padraig Harrington,52,13,263,4.9
95,T93,T93,Jim Herman,59,13,275,4.7
96,T93,T93,Ryo Ishikawa,72,13,343,3.8
97,T93,T93,Brandt Jobe,62,13,352,3.7
98,T93,T93,Graeme McDowell,53,13,275,4.7
99,T100,T100,Michael Bradley,56,12,269,4.5
100,T100,T100,Jason Dufner,78,12,429,2.8
101,T100,T100,Brian Gay,79,12,589,2.0
102,T100,T100,Tim Herron,45,12,318,3.8
103,T100,T100,Trevor Immelman,73,12,390,3.1
104,T100,T100,Dustin Johnson,71,12,355,3.4
105,T100,T100,Jeff Maggert,63,12,396,3.0
106,T100,T100,Hunter Mahan,91,12,457,2.6
107,T100,T100,Troy Matteson,68,12,401,3.0
108,T100,T100,Seung-Yul Noh,71,12,411,2.9
109,T100,T100,Greg Owen,73,12,418,2.9
110,T100,T100,Jin Park,52,12,305,3.9
111,T100,T100,Dicky Pride,71,12,404,3.0
112,T100,T100,Kyle Stanley,71,12,392,3.1
113,T100,T100,Steve Stricker,51,12,274,4.4
114,T100,T100,Bo Van Pelt,72,12,369,3.3
115,T116,T116,Ben Crane,62,11,405,2.7
116,T116,T116,Scott Gardiner,61,11,346,3.2
117,T116,T116,John Huh,88,11,506,2.2
118,T116,T116,Freddie Jacobson,63,11,360,3.1
119,T116,T116,Ben Kohles,75,11,412,2.7
120,T116,T116,Martin Laird,68,11,345,3.2
121,T116,T116,David Lingmerth,68,11,426,2.6
122,T116,T116,Luke List,65,11,369,3.0
123,T116,T116,David Mathis,71,11,403,2.7
124,T116,T116,Geoff Ogilvy,57,11,302,3.6
125,T116,T116,Cameron Percy,68,11,395,2.8
126,T116,T116,Michael Thompson,66,11,364,3.0
127,T116,T116,Lee Westwood,70,11,349,3.2
128,T116,T116,Lee Williams,62,11,360,3.1
129,T130,T130,Robert Allenby,58,10,343,2.9
130,T130,T130,Charlie Beljan,62,10,365,2.7
131,T130,T130,Justin Bolli,59,10,327,3.1
132,T130,T130,Tim Clark,64,10,336,3.0
133,T130,T130,Will Claxton,67,10,346,2.9
134,T130,T130,Ben Curtis,59,10,317,3.2
135,T130,T130,Fabián Gómez,65,10,393,2.5
136,T130,T130,Peter Hanson,45,10,261,3.8
137,T130,T130,Morgan Hoffmann,64,10,392,2.6
138,T130,T130,Henrik Stenson,65,10,298,3.4
139,T130,T130,Camilo Villegas,79,10,472,2.1
140,T130,T130,Aaron Watkins,46,10,251,4.0
141,T130,T130,Mike Weir,60,10,373,2.7
142,T130,T130,Mark Wilson,56,10,323,3.1
143,T144,T144,Scott Brown,65,9,378,2.4
144,T144,T144,Bud Cauley,67,9,373,2.4
145,T144,T144,Stewart Cink,71,9,361,2.5
146,T144,T144,Ernie Els,63,9,338,2.7
147,T144,T144,Steve LeBrun,66,9,351,2.6
148,T144,T144,David Lynn,70,9,408,2.2
