,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
0,1,1,Webb Simpson,92,4.53,13,287,95.4
1,2,2,Brian Gay,79,5.83,13,223,94.1
2,3,3,David Hearn,88,5.96,17,285,94.0
3,4,4,Tiger Woods,61,6.04,11,182,93.9
4,5,5,Charl Schwartzel,69,6.05,13,215,93.9
5,6,6,Bobby Gates,49,6.18,11,178,93.8
6,7,7,Adam Scott,61,6.38,12,188,93.6
7,8,8,Rickie Fowler,75,6.5,16,246,93.5
8,9,9,Kevin Streelman,86,6.54,20,306,93.4
9,10,10,Luke Donald,60,6.55,11,168,93.4
10,11,11,Sergio Garcia,65,6.57,14,213,93.4
11,12,12,Ryan Palmer,79,6.74,18,267,93.2
12,13,13,Bob Estes,66,6.77,18,266,93.2
13,14,14,Matt Kuchar,93,6.82,18,264,93.1
14,15,15,Greg Chalmers,77,6.83,20,293,93.1
15,16,16,Tag Ridings,69,6.97,17,244,93.0
16,17,17,Jim Furyk,80,6.99,19,272,93.0
17,18,18,Peter Hanson,45,7.02,8,114,92.9
18,19,19,John Merrick,79,7.1,23,324,92.9
19,20,20,Casey Wittenberg,72,7.12,19,267,92.8
20,21,21,Russell Henley,80,7.14,22,308,92.8
21,22,22,Scott Brown,65,7.21,16,222,92.7
22,23,23,Stephen Ames,49,7.22,14,194,92.7
23,24,24,Jeff Overton,78,7.25,24,331,92.7
24,25,25,Ian Poulter,59,7.3,10,137,92.7
25,26,26,Troy Matteson,68,7.34,19,259,92.6
26,27,27,Steve Stricker,51,7.43,11,148,92.5
27,28,28,Daniel Summerhays,83,7.52,27,359,92.4
28,29,29,Keegan Bradley,88,7.57,24,317,92.4
29,30,30,Brian Stuard,78,7.63,20,262,92.3
30,31,31,Andrew Svoboda,46,7.64,12,157,92.3
31,32,32,Jason Day,86,7.66,21,274,92.3
32,33,33,Justin Leonard,86,7.67,24,313,92.3
33,34,34,Shawn Stefani,63,7.69,16,208,92.3
34,35,35,Richard Lee,81,7.78,27,347,92.2
35,36,36,Bryce Molder,82,7.82,24,307,92.1
36,37,37,Scott Langley,79,7.87,20,254,92.1
37,38,38,Mike Weir,60,7.93,13,164,92.0
38,39,39,David Lynn,70,7.96,18,226,92.0
39,40,40,Josh Teater,86,7.97,20,251,92.0
40,41,41,Carl Pettersson,82,7.98,21,263,92.0
41,T42,T42,Brian Harman,89,8.0,24,300,92.0
42,T42,T42,Phil Mickelson,78,8.0,18,225,92.0
43,44,44,Chez Reavie,72,8.07,23,285,91.9
44,45,45,Freddie Jacobson,63,8.15,15,184,91.8
45,T46,T46,Bill Haas,85,8.18,26,318,91.8
46,T46,T46,Colt Knost,69,8.18,22,269,91.8
47,48,48,Billy Horschel,96,8.27,31,375,91.7
48,49,49,Y.E. Yang,56,8.33,14,168,91.6
49,50,50,Tim Clark,64,8.39,12,143,91.6
50,51,51,Jerry Kelly,75,8.4,21,250,91.6
51,52,52,Cameron Tringale,80,8.5,30,353,91.5
52,53,53,Tommy Gainey,84,8.53,25,293,91.4
53,T54,T54,Robert Garrigus,69,8.59,17,198,91.4
54,T54,T54,Chris Stroud,88,8.59,28,326,91.4
55,56,56,Andres Romero,63,8.64,19,220,91.3
56,57,57,Hunter Mahan,91,8.66,29,335,91.3
57,58,58,Zach Johnson,84,8.7,24,276,91.3
58,T59,T59,Ricky Barnes,74,8.72,26,298,91.2
59,T59,T59,J.J. Henry,83,8.72,34,390,91.2
60,T61,T61,Fabián Gómez,65,8.75,21,240,91.2
61,T61,T61,Aaron Watkins,46,8.75,14,160,91.2
62,63,63,James Hahn,78,8.82,24,272,91.1
63,64,64,Ben Kohles,75,8.96,25,279,91.0
64,65,65,Gary Woodland,94,9.01,32,355,90.9
65,66,66,D.H. Lee,65,9.19,25,272,90.8
66,67,67,Marc Leishman,77,9.22,26,282,90.7
67,68,68,Pat Perez,69,9.26,25,270,90.7
68,69,69,William McGirt,75,9.27,28,302,90.7
69,70,70,Bubba Watson,76,9.31,23,247,90.6
70,71,71,Brandt Jobe,62,9.43,25,265,90.5
71,72,72,Tom Gillis,69,9.47,25,264,90.5
72,73,73,Aaron Baddeley,68,9.5,23,242,90.5
73,T74,T74,Charles Howell III,87,9.51,35,368,90.4
74,T74,T74,Dicky Pride,71,9.51,25,263,90.4
75,76,76,Derek Ernst,58,9.52,22,231,90.4
76,77,77,Morgan Hoffmann,64,9.57,20,209,90.4
77,T78,T78,Jason Bohn,70,9.58,23,240,90.4
78,T78,T78,Kevin Stadler,83,9.58,25,261,90.4
79,80,80,Jonas Blixt,76,9.59,26,271,90.4
80,81,81,Rod Pampling,46,9.63,13,135,90.3
81,82,82,Vijay Singh,61,9.66,20,207,90.3
82,83,83,John Rollins,77,9.68,27,279,90.3
83,84,84,Doug LaBelle II,72,9.7,26,268,90.3
84,85,85,Jimmy Walker,84,9.73,29,298,90.2
85,86,86,Ryan Moore,72,9.76,24,246,90.2
86,T87,T87,Brendon de Jonge,110,9.79,41,419,90.2
87,T87,T87,Camilo Villegas,79,9.79,23,235,90.2
88,89,89,Harris English,95,9.89,37,374,90.1
89,90,90,Martin Kaymer,61,9.91,22,222,90.0
90,91,91,Brendan Steele,86,9.92,38,383,90.0
91,92,92,D.J. Trahan,48,10.11,18,178,89.8
92,93,93,Charley Hoffman,84,10.13,31,306,89.8
93,94,94,James Driscoll,76,10.14,29,286,89.8
94,T95,T95,"Ted Potter, Jr.",65,10.18,23,226,89.8
95,T95,T95,Bo Van Pelt,72,10.18,23,226,89.8
96,97,97,Ernie Els,63,10.22,19,186,89.7
97,98,98,Henrik Norlander,70,10.26,28,273,89.7
98,99,99,Stuart Appleby,88,10.28,37,360,89.7
99,100,100,Lee Westwood,70,10.31,20,194,89.6
100,101,101,Robert Streb,75,10.33,28,271,89.6
101,102,102,Rory McIlroy,56,10.34,15,145,89.6
102,103,103,Brian Davis,91,10.37,31,299,89.6
103,104,104,Chris Kirk,89,10.43,29,278,89.5
104,105,105,Ken Duke,87,10.44,31,297,89.5
105,106,106,K.J. Choi,85,10.45,30,287,89.5
106,107,107,Jordan Spieth,82,10.48,24,229,89.5
107,108,108,Erik Compton,74,10.49,30,286,89.5
108,109,109,Matt Jones,83,10.54,31,294,89.4
109,110,110,David Toms,49,10.57,13,123,89.4
110,111,111,Lee Williams,62,10.58,22,208,89.4
111,112,112,Cameron Percy,68,10.63,27,254,89.3
112,113,113,Robert Allenby,58,10.65,23,216,89.3
113,114,114,Scott Piercy,78,10.71,27,252,89.2
114,115,115,Tim Herron,45,10.73,19,177,89.2
115,116,116,Roberto Castro,97,10.76,37,344,89.2
116,117,117,Henrik Stenson,65,10.81,24,222,89.1
117,118,118,Nicolas Colsaerts,50,10.84,18,166,89.1
118,119,119,Brandt Snedeker,79,10.87,25,230,89.1
119,120,120,Scott Stallings,79,10.93,27,247,89.0
120,T121,T121,Stewart Cink,71,10.94,29,265,89.0
121,T121,T121,Charlie Wi,75,10.94,29,265,89.0
122,123,123,Chad Campbell,78,10.98,37,337,89.0
123,124,124,Ryo Ishikawa,72,11.01,25,227,88.9
124,125,125,Graham DeLaet,94,11.02,41,372,88.9
125,126,126,John Senden,79,11.04,33,299,88.9
126,127,127,Dustin Johnson,71,11.06,23,208,88.9
127,128,128,Steven Bowditch,67,11.11,27,243,88.8
128,129,129,Martin Laird,68,11.16,27,242,88.8
129,130,130,Justin Rose,62,11.29,21,186,88.7
130,131,131,Matt Every,89,11.34,33,291,88.6
131,132,132,Johnson Wagner,64,11.37,29,255,88.6
132,133,133,Ben Crane,62,11.38,28,246,88.6
133,134,134,Jin Park,52,11.4,22,193,88.6
134,135,135,Graeme McDowell,53,11.49,17,148,88.5
135,136,136,Trevor Immelman,73,11.54,36,312,88.4
136,137,137,David Mathis,71,11.58,30,259,88.4
