,3-Putt_Avoidance_-_15-20_RANK THIS WEEK,3-Putt_Avoidance_-_15-20_RANK LAST WEEK,3-Putt_Avoidance_-_15-20_PLAYER NAME,3-Putt_Avoidance_-_15-20_ROUNDS,3-Putt_Avoidance_-_15-20_%,3-Putt_Avoidance_-_15-20_TOTAL 3 PUTTS,3-Putt_Avoidance_-_15-20_ATTEMPTS,3-Putt_Avoidance_-_15-20_2 PUTT OR BETTER %
0,T1,T1,Stephen Ames,49,0.0,,77,100.0
1,T1,T1,Jonas Blixt,76,0.0,,114,100.0
2,T1,T1,Jason Bohn,70,0.0,,123,100.0
3,T1,T1,Chad Campbell,78,0.0,,140,100.0
4,T1,T1,Ben Curtis,59,0.0,,79,100.0
5,T1,T1,Graham DeLaet,94,0.0,,155,100.0
6,T1,T1,Luke Donald,60,0.0,,71,100.0
7,T1,T1,Martin Flores,83,0.0,,152,100.0
8,T1,T1,Scott Gardiner,61,0.0,,106,100.0
9,T1,T1,Bobby Gates,49,0.0,,71,100.0
10,T1,T1,Lucas Glover,65,0.0,,87,100.0
11,T1,T1,Peter Hanson,45,0.0,,56,100.0
12,T1,T1,J.J. Henry,83,0.0,,140,100.0
13,T1,T1,Tim Herron,45,0.0,,86,100.0
14,T1,T1,Charles Howell III,87,0.0,,151,100.0
15,T1,T1,Doug LaBelle II,72,0.0,,102,100.0
16,T1,T1,Jeff Maggert,63,0.0,,103,100.0
17,T1,T1,Hunter Mahan,91,0.0,,125,100.0
18,T1,T1,Troy Matteson,68,0.0,,113,100.0
19,T1,T1,Eric Meierdierks,48,0.0,,68,100.0
20,T1,T1,Alistair Presnell,59,0.0,,74,100.0
21,T1,T1,Charl Schwartzel,69,0.0,,98,100.0
22,T1,T1,Adam Scott,61,0.0,,81,100.0
23,T1,T1,John Senden,79,0.0,,116,100.0
24,T1,T1,Shawn Stefani,63,0.0,,101,100.0
25,T1,T1,Henrik Stenson,65,0.0,,78,100.0
26,T1,T1,Darron Stiles,51,0.0,,100,100.0
27,T1,T1,Andrew Svoboda,46,0.0,,62,100.0
28,T1,T1,Vaughn Taylor,50,0.0,,71,100.0
29,T1,T1,Michael Thompson,66,0.0,,101,100.0
30,T1,T1,Lee Williams,62,0.0,,69,100.0
31,32,32,Brendon de Jonge,110,0.48,1.0,208,99.5
32,33,33,Harris English,95,0.6,1.0,167,99.4
33,34,34,Roberto Castro,97,0.66,1.0,152,99.3
34,T35,T35,Chez Reavie,72,0.69,1.0,145,99.3
35,T35,T35,Jimmy Walker,84,0.69,1.0,144,99.3
36,T37,T37,Keegan Bradley,88,0.72,1.0,138,99.2
37,T37,T37,Matt Kuchar,93,0.72,1.0,138,99.2
38,T37,T37,Bryce Molder,82,0.72,1.0,139,99.2
39,40,40,D.A. Points,87,0.73,1.0,137,99.2
40,T41,T41,Stuart Appleby,88,0.74,1.0,136,99.2
41,T41,T41,Kevin Chappell,80,0.74,1.0,136,99.2
42,43,43,George McNeill,68,0.75,1.0,133,99.2
43,T44,T44,Brian Gay,79,0.76,1.0,131,99.2
44,T44,T44,James Hahn,78,0.76,1.0,132,99.2
