,Total_3_Putts_-_Inside_5_RANK THIS WEEK,Total_3_Putts_-_Inside_5_RANK LAST WEEK,Total_3_Putts_-_Inside_5_PLAYER NAME,Total_3_Putts_-_Inside_5_ROUNDS,Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS INSIDE 5',Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS
0,T1,T1,Martin Laird,68,3,38
1,T1,T1,D.A. Points,87,3,45
2,T3,T3,Aaron Baddeley,68,2,27
3,T3,T3,Matt Every,89,2,50
4,T3,T3,Luke Guthrie,82,2,49
5,T3,T3,James Hahn,78,2,31
6,T3,T3,Justin Hicks,79,2,51
7,T3,T3,Ryo Ishikawa,72,2,39
8,T3,T3,D.H. Lee,65,2,37
9,T3,T3,Phil Mickelson,78,2,22
10,T3,T3,Ryan Moore,72,2,36
11,T3,T3,Pat Perez,69,2,37
12,T3,T3,Brandt Snedeker,79,2,35
13,T3,T3,Tiger Woods,61,2,16
14,T15,T15,Robert Allenby,58,1,33
15,T15,T15,Sangmoon Bae,83,1,55
16,T15,T15,Jason Bohn,70,1,29
17,T15,T15,Bud Cauley,67,1,34
18,T15,T15,Kevin Chappell,80,1,44
19,T15,T15,Erik Compton,74,1,42
20,T15,T15,Ben Crane,62,1,34
21,T15,T15,Brian Davis,91,1,39
22,T15,T15,Bob Estes,66,1,24
23,T15,T15,Martin Flores,83,1,47
24,T15,T15,Sergio Garcia,65,1,20
25,T15,T15,Brian Harman,89,1,32
26,T15,T15,Russell Henley,80,1,33
27,T15,T15,John Huh,88,1,54
28,T15,T15,Zach Johnson,84,1,35
29,T15,T15,Robert Karlsson,56,1,27
30,T15,T15,Chris Kirk,89,1,40
31,T15,T15,Colt Knost,69,1,26
32,T15,T15,Ben Kohles,75,1,39
33,T15,T15,Matt Kuchar,93,1,22
34,T15,T15,Doug LaBelle II,72,1,32
35,T15,T15,Marc Leishman,77,1,36
36,T15,T15,Jeff Maggert,63,1,44
37,T15,T15,Troy Matteson,68,1,27
38,T15,T15,Rory McIlroy,56,1,22
39,T15,T15,Seung-Yul Noh,71,1,43
40,T15,T15,Geoff Ogilvy,57,1,40
41,T15,T15,Ryan Palmer,79,1,29
42,T15,T15,Rod Pampling,46,1,15
43,T15,T15,Jin Park,52,1,27
44,T15,T15,Carl Pettersson,82,1,30
45,T15,T15,"Ted Potter, Jr.",65,1,41
46,T15,T15,Vijay Singh,61,1,30
47,T15,T15,Jordan Spieth,82,1,34
48,T15,T15,Kevin Stadler,83,1,38
49,T15,T15,Kevin Streelman,86,1,27
50,T15,T15,Bo Van Pelt,72,1,30
51,T15,T15,Camilo Villegas,79,1,36
52,T15,T15,Jimmy Walker,84,1,34
53,T15,T15,Boo Weekley,100,1,58
54,T15,T15,Lee Westwood,70,1,34
55,T15,T15,Casey Wittenberg,72,1,29
