,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
0,1,1,Peter Hanson,45,0.79,63,5.0
1,2,2,Stephen Ames,49,0.78,90,7.0
2,T3,T3,Colt Knost,69,0.64,125,8.0
3,T3,T3,Aaron Watkins,46,0.64,78,5.0
4,5,5,D.H. Lee,65,0.63,144,9.0
5,T6,T6,Jason Bohn,70,0.62,129,8.0
6,T6,T6,Jason Day,86,0.62,146,9.0
7,T6,T6,John Merrick,79,0.62,161,10.0
8,9,9,Carl Pettersson,82,0.61,132,8.0
9,T10,T10,Luke Guthrie,82,0.6,133,8.0
10,T10,T10,Jason Kokrak,78,0.6,150,9.0
11,12,12,Sean O'Hair,56,0.59,102,6.0
12,T13,T13,Rickie Fowler,75,0.58,104,6.0
13,T13,T13,Richard Lee,81,0.58,173,10.0
14,T13,T13,D.A. Points,87,0.58,138,8.0
15,T13,T13,Brandt Snedeker,79,0.58,104,6.0
16,T13,T13,Brian Stuard,78,0.58,138,8.0
17,18,18,Bill Haas,85,0.57,157,9.0
18,T19,T19,Brian Gay,79,0.55,110,6.0
19,T19,T19,Padraig Harrington,52,0.55,55,3.0
20,T19,T19,Morgan Hoffmann,64,0.55,110,6.0
21,T19,T19,Matt Kuchar,93,0.55,127,7.0
22,T19,T19,Scott Piercy,78,0.55,110,6.0
23,T24,T24,Chad Campbell,78,0.54,149,8.0
24,T24,T24,Brian Davis,91,0.54,147,8.0
25,T26,T26,James Hahn,78,0.53,113,6.0
26,T26,T26,Marc Leishman,77,0.53,133,7.0
27,T26,T26,George McNeill,68,0.53,131,7.0
28,29,29,Jin Park,52,0.52,97,5.0
29,T30,T30,Ken Duke,87,0.5,121,6.0
30,T30,T30,Brad Fritsch,81,0.5,120,6.0
31,T30,T30,J.J. Henry,83,0.5,181,9.0
32,T30,T30,Cameron Percy,68,0.5,121,6.0
33,T34,T34,Freddie Jacobson,63,0.49,81,4.0
34,T34,T34,Charlie Wi,75,0.49,123,6.0
35,T34,T34,Gary Woodland,94,0.49,183,9.0
36,T37,T37,Ernie Els,63,0.48,83,4.0
37,T37,T37,"Ted Potter, Jr.",65,0.48,125,6.0
38,T39,T39,James Driscoll,76,0.47,127,6.0
39,T39,T39,Doug LaBelle II,72,0.47,148,7.0
40,T41,T41,Scott Brown,65,0.46,108,5.0
41,T41,T41,Bo Van Pelt,72,0.46,108,5.0
