,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,Fabián Gómez,65,"52' 6""",52.5,1,53,53
1,2,2,Michael Thompson,66,"40' 0""",120.083,3,56,15
2,3,3,Nicolas Colsaerts,50,"39' 4""",78.583,2,64,15
3,4,4,Robert Karlsson,56,"37' 7""",75.083,2,63,12
4,5,5,Y.E. Yang,56,"36' 11""",36.917,1,37,37
5,6,6,Robert Allenby,58,"34' 9""",34.75,1,35,35
6,7,7,Darron Stiles,51,"32' 9""",65.5,2,42,24
7,8,8,D.H. Lee,65,"31' 0""",62.0,2,36,26
8,9,9,Nick Watney,88,"30' 7""",122.25,4,68,12
9,10,10,Steven Bowditch,67,"30' 4""",60.583,2,45,16
10,11,11,Zach Johnson,84,"30' 3""",90.833,3,60,15
11,12,12,John Senden,79,"29' 8""",59.333,2,46,13
12,13,13,Chez Reavie,72,"29' 6""",88.5,3,50,15
13,14,14,Chad Campbell,78,"29' 2""",116.5,4,40,17
14,15,15,Justin Rose,62,"28' 11""",57.75,2,48,10
15,16,16,Chris Stroud,88,"27' 6""",55.0,2,36,19
16,17,17,David Lynn,70,"26' 9""",80.333,3,33,18
17,18,18,Roberto Castro,97,"26' 7""",185.917,7,61,3
18,19,19,Will Claxton,67,"26' 5""",52.75,2,50,3
19,20,20,Morgan Hoffmann,64,"25' 10""",77.583,3,55,8
20,21,21,Charl Schwartzel,69,"25' 9""",25.75,1,26,26
21,22,22,Tommy Gainey,84,"25' 6""",25.5,1,26,26
22,23,23,Colt Knost,69,"25' 4""",50.583,2,47,4
23,24,24,Scott Langley,79,"24' 6""",97.833,4,56,6
24,25,25,Jimmy Walker,84,"24' 1""",120.25,5,53,5
25,26,26,Henrik Stenson,65,"24' 0""",143.833,6,45,9
26,27,27,Gary Woodland,94,"23' 10""",142.75,6,42,8
27,T28,T28,Erik Compton,74,"23' 8""",70.917,3,33,11
28,T28,T28,Carl Pettersson,82,"23' 8""",71.0,3,44,8
29,T30,T30,Jason Day,86,"23' 4""",140.083,6,39,5
30,T30,T30,Sergio Garcia,65,"23' 4""",139.75,6,46,2
31,32,32,Jason Kokrak,78,"22' 11""",114.75,5,36,8
32,33,33,Andrew Svoboda,46,"22' 8""",45.333,2,32,14
