,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,1,Freddie Jacobson,63,45.37,147,324
1,2,2,Aaron Baddeley,68,45.17,187,414
2,3,3,Brian Gay,79,45.14,195,432
3,4,4,Chris Kirk,89,44.68,193,432
4,5,5,Greg Chalmers,77,44.44,192,432
5,6,6,Chris Stroud,88,44.23,207,468
6,7,7,Vaughn Taylor,50,44.07,119,270
7,8,8,Steven Bowditch,67,43.92,166,378
8,9,9,Mike Weir,60,43.65,165,378
9,10,10,Jerry Kelly,75,43.43,172,396
10,11,11,Roberto Castro,97,43.3,226,522
11,T12,T12,Kevin Chappell,80,43.06,186,432
12,T12,T12,Matt Every,89,43.06,217,504
13,14,14,Tiger Woods,61,42.96,116,270
14,15,15,Charlie Wi,75,42.93,170,396
15,16,16,Brandt Snedeker,79,42.75,177,414
16,17,17,Morgan Hoffmann,64,42.5,153,360
17,18,18,Luke Donald,60,42.36,122,288
18,19,19,Bryce Molder,82,42.27,175,414
19,20,20,James Driscoll,76,42.17,167,396
20,21,21,Jonas Blixt,76,42.13,182,432
21,22,22,Daniel Summerhays,83,42.09,197,468
22,23,23,Lee Williams,62,42.06,159,378
23,24,24,Russell Henley,80,42.03,174,414
24,25,25,Ian Poulter,59,41.85,113,270
25,26,26,Geoff Ogilvy,57,41.81,143,342
26,27,27,Carl Pettersson,82,41.79,173,414
27,28,28,Scott Stallings,79,41.77,203,486
28,T29,T29,Jason Day,86,41.67,150,360
29,T29,T29,Bob Estes,66,41.67,135,324
30,T29,T29,Sergio Garcia,65,41.67,120,288
31,T29,T29,Matt Jones,83,41.67,180,432
32,T29,T29,Justin Leonard,86,41.67,180,432
33,T29,T29,Patrick Reed,83,41.67,195,468
34,35,35,D.J. Trahan,48,41.48,112,270
35,36,36,Peter Hanson,45,41.45,97,234
36,37,37,Jeff Maggert,63,41.39,149,360
37,38,38,Fabián Gómez,65,41.3,171,414
38,39,39,Casey Wittenberg,72,41.24,193,468
39,40,40,Colt Knost,69,41.2,178,432
40,41,41,Matt Kuchar,93,41.16,163,396
41,42,42,Alistair Presnell,59,41.01,155,378
42,43,43,Andres Romero,63,40.83,147,360
43,44,44,Jimmy Walker,84,40.74,176,432
44,45,45,Doug LaBelle II,72,40.66,161,396
45,T46,T46,David Hearn,88,40.6,190,468
46,T46,T46,Billy Horschel,96,40.6,190,468
47,48,48,Cameron Percy,68,40.56,146,360
48,49,49,Rickie Fowler,75,40.48,153,378
49,50,50,Tim Herron,45,40.37,109,270
50,51,51,Jason Bohn,70,40.34,167,414
51,52,52,Luke Guthrie,82,40.33,196,486
52,53,53,Phil Mickelson,78,40.21,152,378
53,54,54,Dicky Pride,71,40.15,159,396
54,T55,T55,Scott Brown,65,39.95,151,378
55,T55,T55,Ryan Moore,72,39.95,151,378
56,57,57,Ryan Palmer,79,39.9,158,396
57,58,58,Ken Duke,87,39.88,201,504
58,T59,T59,Zach Johnson,84,39.86,165,414
59,T59,T59,Johnson Wagner,64,39.86,165,414
60,61,61,Steve Stricker,51,39.81,86,216
61,62,62,Brendan Steele,86,39.78,179,450
62,63,63,"Ted Potter, Jr.",65,39.68,150,378
63,64,64,Padraig Harrington,52,39.63,107,270
64,65,65,Tag Ridings,69,39.61,164,414
65,66,66,Jeff Overton,78,39.58,171,432
66,67,67,Sangmoon Bae,83,39.53,185,468
67,68,68,Jin Park,52,39.47,135,342
68,T69,T69,Ben Crane,62,39.44,142,360
69,T69,T69,Shawn Stefani,63,39.44,142,360
70,T71,T71,Michael Thompson,66,39.39,156,396
71,T71,T71,Camilo Villegas,79,39.39,156,396
72,73,73,Charley Hoffman,84,39.37,163,414
73,T74,T74,Seung-Yul Noh,71,39.35,170,432
74,T74,T74,Webb Simpson,92,39.35,170,432
75,76,76,Justin Rose,62,39.24,113,288
76,77,77,Robert Karlsson,56,39.22,120,306
77,78,78,Nicholas Thompson,99,39.08,204,522
78,T79,T79,Stephen Ames,49,38.89,126,324
79,T79,T79,Brian Davis,91,38.89,196,504
80,T79,T79,Robert Streb,75,38.89,168,432
81,T82,T82,Tommy Gainey,84,38.69,195,504
82,T82,T82,D.A. Points,87,38.69,195,504
83,84,84,Jason Dufner,78,38.62,146,378
84,85,85,Aaron Watkins,46,38.58,125,324
85,86,86,Graeme McDowell,53,38.52,104,270
86,87,87,Harris English,95,38.46,180,468
87,88,88,Charles Howell III,87,38.44,173,450
88,89,89,James Hahn,78,38.22,172,450
89,90,90,William McGirt,75,38.19,165,432
90,T91,T91,K.J. Choi,85,38.16,158,414
91,T91,T91,Marc Leishman,77,38.16,158,414
92,93,93,Graham DeLaet,94,38.03,178,468
93,T94,T94,Martin Flores,83,38.0,171,450
94,T94,T94,Jason Kokrak,78,38.0,171,450
95,96,96,Chez Reavie,72,37.88,150,396
96,97,97,Keegan Bradley,88,37.73,163,432
97,T98,T98,Richard Lee,81,37.68,156,414
98,T98,T98,Troy Matteson,68,37.68,156,414
99,100,100,Ernie Els,63,37.65,122,324
100,101,101,Scott Langley,79,37.61,176,468
101,T102,T102,Jim Furyk,80,37.57,142,378
102,T102,T102,David Lynn,70,37.57,142,378
103,104,104,Andrew Svoboda,46,37.5,108,288
104,105,105,Bobby Gates,49,37.43,128,342
105,106,106,Lee Westwood,70,37.35,121,324
106,107,107,John Huh,88,37.3,188,504
107,T108,T108,Stuart Appleby,88,37.27,161,432
108,T108,T108,Bill Haas,85,37.27,161,432
109,110,110,Ryo Ishikawa,72,37.12,147,396
110,111,111,Brian Harman,89,37.1,187,504
111,T112,T112,Jim Herman,59,37.04,120,324
112,T112,T112,George McNeill,68,37.04,140,378
113,T112,T112,Rod Pampling,46,37.04,100,270
114,115,115,Jordan Spieth,82,36.96,153,414
115,116,116,Henrik Stenson,65,36.93,113,306
116,117,117,David Toms,49,36.9,93,252
117,T118,T118,J.J. Henry,83,36.89,166,450
118,T118,T118,Rory Sabbatini,86,36.89,166,450
119,T120,T120,Justin Bolli,59,36.87,146,396
120,T120,T120,Sean O'Hair,56,36.87,146,396
121,122,122,Tim Clark,64,36.84,126,342
122,123,123,Martin Kaymer,61,36.81,106,288
123,124,124,Brad Fritsch,81,36.71,152,414
124,125,125,Gary Woodland,94,36.67,165,450
125,126,126,Erik Compton,74,36.57,158,432
126,127,127,Tom Gillis,69,36.51,138,378
127,128,128,Scott Piercy,78,36.47,151,414
128,129,129,Charl Schwartzel,69,36.42,118,324
129,130,130,D.H. Lee,65,36.36,144,396
130,T131,T131,Chad Campbell,78,36.34,157,432
131,T131,T131,Hunter Mahan,91,36.34,157,432
132,133,133,Ángel Cabrera,73,36.24,137,378
133,134,134,Josh Teater,86,36.23,150,414
134,135,135,Ricky Barnes,74,36.0,162,450
135,T136,T136,Will Claxton,67,35.99,149,414
136,T136,T136,John Rollins,77,35.99,149,414
137,T138,T138,Dustin Johnson,71,35.98,136,378
138,T138,T138,Martin Laird,68,35.98,136,378
