,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Brian Gay,79,45.71,650,1422
1,2,2,Aaron Baddeley,68,45.37,539,1188
2,3,3,Mike Weir,60,43.97,459,1044
3,4,4,Greg Chalmers,77,43.61,573,1314
4,5,5,Chris Kirk,89,43.51,697,1602
5,6,6,Brandt Snedeker,79,42.76,608,1422
6,7,7,Vaughn Taylor,50,42.75,354,828
7,8,8,Charlie Wi,75,42.72,546,1278
8,9,9,Steven Bowditch,67,42.48,497,1170
9,10,10,Jonas Blixt,76,42.32,579,1368
10,11,11,Phil Mickelson,78,42.31,594,1404
11,12,12,Bryce Molder,82,42.08,606,1440
12,13,13,Stephen Ames,49,42.06,371,882
13,14,14,Patrick Reed,83,41.97,627,1494
14,T15,T15,Luke Donald,60,41.86,437,1044
15,T15,T15,Chris Stroud,88,41.86,663,1584
16,17,17,Freddie Jacobson,63,41.85,452,1080
17,18,18,Jason Day,86,41.74,601,1440
18,T19,T19,David Hearn,88,41.73,661,1584
19,T19,T19,Justin Leonard,86,41.73,646,1548
20,21,21,Sangmoon Bae,83,41.63,622,1494
21,22,22,Peter Hanson,45,41.6,322,774
22,23,23,Andres Romero,63,41.53,441,1062
23,24,24,Bob Estes,66,41.5,493,1188
24,25,25,Brian Davis,91,41.45,679,1638
25,26,26,Charles Howell III,87,41.44,634,1530
26,27,27,Rory McIlroy,56,41.41,410,990
27,28,28,James Driscoll,76,41.28,535,1296
28,29,29,Jordan Spieth,82,41.19,608,1476
29,30,30,Steve Stricker,51,41.13,348,846
30,31,31,Matt Kuchar,93,41.06,643,1566
31,32,32,Ben Crane,62,41.0,428,1044
32,33,33,Rickie Fowler,75,40.99,546,1332
33,34,34,Jeff Overton,78,40.95,575,1404
34,35,35,David Lingmerth,68,40.93,501,1224
35,36,36,Morgan Hoffmann,64,40.89,471,1152
36,37,37,Luke Guthrie,82,40.79,602,1476
37,38,38,Matt Every,89,40.76,653,1602
38,39,39,Tiger Woods,61,40.74,440,1080
39,40,40,Ryan Palmer,79,40.72,579,1422
40,41,41,Scott Stallings,79,40.65,578,1422
41,42,42,Doug LaBelle II,72,40.56,511,1260
42,43,43,Erik Compton,74,40.54,540,1332
43,T44,T44,Martin Flores,83,40.5,605,1494
44,T44,T44,Matt Jones,83,40.5,605,1494
45,46,46,Harris English,95,40.35,690,1710
46,47,47,Jimmy Walker,84,40.34,610,1512
47,48,48,Brian Harman,89,40.33,617,1530
48,49,49,Aaron Watkins,46,40.28,319,792
49,50,50,David Lynn,70,40.26,500,1242
50,51,51,Tom Gillis,69,40.17,470,1170
