,Putting_from_-_15-20_RANK THIS WEEK,Putting_from_-_15-20_RANK LAST WEEK,Putting_from_-_15-20_PLAYER NAME,Putting_from_-_15-20_ROUNDS,Putting_from_-_15-20_% MADE,Putting_from_-_15-20_ATTEMPTS,Putting_from_-_15-20_PUTTS MADE
0,1,1,Stephen Ames,49,28.57,77,22
1,2,2,Harris English,95,27.65,170,47
2,3,3,Charles Howell III,87,27.63,152,42
3,4,4,Adam Scott,61,27.16,81,22
4,5,5,Webb Simpson,92,26.81,138,37
5,6,6,Phil Mickelson,78,26.13,111,29
6,7,7,Justin Rose,62,25.61,82,21
7,8,8,Russell Henley,80,25.4,126,32
8,9,9,Chris Kirk,89,25.3,166,42
9,10,10,Brandt Snedeker,79,24.76,105,26
10,11,11,Scott Stallings,79,24.59,122,30
11,12,12,D.A. Points,87,24.46,139,34
12,13,13,Jordan Spieth,82,24.37,119,29
13,14,14,Stuart Appleby,88,24.26,136,33
14,15,15,Colt Knost,69,23.76,101,24
15,16,16,Martin Kaymer,61,23.75,80,19
16,17,17,Rickie Fowler,75,23.68,114,27
17,18,18,Tim Clark,64,23.16,95,22
18,19,19,Graeme McDowell,53,23.08,65,15
19,20,20,Richard Lee,81,23.02,126,29
20,21,21,Andrew Svoboda,46,22.58,62,14
21,22,22,James Driscoll,76,22.5,120,27
22,23,23,Johnson Wagner,64,22.47,89,20
23,24,24,Charl Schwartzel,69,22.45,98,22
24,25,25,Luke Donald,60,22.22,72,16
25,26,26,Sangmoon Bae,83,22.14,131,29
26,T27,T27,Sergio Garcia,65,21.95,82,18
27,T27,T27,Billy Horschel,96,21.95,164,36
28,29,29,Ben Kohles,75,21.77,124,27
29,30,30,Fabián Gómez,65,21.5,107,23
30,31,31,Justin Leonard,86,21.31,122,26
31,32,32,Hunter Mahan,91,21.26,127,27
32,33,33,Seung-Yul Noh,71,21.15,104,22
33,34,34,Lee Westwood,70,21.1,109,23
34,35,35,Tiger Woods,61,21.05,76,16
35,T36,T36,Doug LaBelle II,72,20.59,102,21
36,T36,T36,Eric Meierdierks,48,20.59,68,14
37,T36,T36,Shawn Stefani,63,20.59,102,21
38,39,39,Stewart Cink,71,20.56,107,22
39,40,40,"Ted Potter, Jr.",65,20.54,112,23
40,41,41,Brendon de Jonge,110,20.38,211,43
41,42,42,Ben Curtis,59,20.25,79,16
42,43,43,Brandt Jobe,62,20.21,94,19
