,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,1,Stephen Ames,49,"12' 1""",1695.5,140,43,"11"""
1,2,2,Colt Knost,69,"11' 10""",1885.4170000000001,159,52,"3"""
2,3,3,"Ted Potter, Jr.",65,"11' 5""",2061.917,180,72,"4"""
3,4,4,Scott Langley,79,"11' 2""",2093.667,188,34,"5"""
4,5,5,Michael Bradley,56,"11' 1""",1285.75,116,62,"7"""
5,T6,T6,Stuart Appleby,88,"11' 0""",2687.417,245,57,"5"""
6,T6,T6,Ken Duke,87,"11' 0""",2586.167,235,70,"2"""
7,T6,T6,Ben Kohles,75,"11' 0""",1896.1670000000001,173,47,"4"""
8,9,9,D.J. Trahan,48,"10' 11""",1303.333,119,35,"7"""
9,T10,T10,Rickie Fowler,75,"10' 10""",2190.667,202,48,"6"""
10,T10,T10,Peter Hanson,45,"10' 10""",1260.167,116,56,"10"""
11,T10,T10,Doug LaBelle II,72,"10' 10""",2031.0829999999999,188,52,"1"""
12,T13,T13,Bob Estes,66,"10' 9""",2077.833,194,58,"5"""
13,T13,T13,Tim Herron,45,"10' 9""",1371.3329999999999,128,48,"8"""
14,T15,T15,Justin Bolli,59,"10' 8""",1310.75,123,41,"6"""
15,T15,T15,James Driscoll,76,"10' 8""",2337.833,220,54,"5"""
16,T15,T15,Russell Henley,80,"10' 8""",2504.833,235,65,"2"""
17,T15,T15,Zach Johnson,84,"10' 8""",2500.167,234,44,"3"""
18,T15,T15,Graeme McDowell,53,"10' 8""",1212.667,114,71,"3"""
19,T15,T15,Johnson Wagner,64,"10' 8""",1474.0,138,59,"2"""
20,T21,T21,Aaron Baddeley,68,"10' 7""",2016.0,190,67,"3"""
21,T21,T21,Erik Compton,74,"10' 7""",2075.417,196,55,"4"""
22,T21,T21,Bill Haas,85,"10' 7""",2489.333,236,53,"4"""
23,T21,T21,Aaron Watkins,46,"10' 7""",1178.0,111,51,1
24,T25,T25,Jason Bohn,70,"10' 6""",2438.667,233,57,"1"""
25,T25,T25,Marc Leishman,77,"10' 6""",2174.083,207,85,"1"""
26,T27,T27,Sangmoon Bae,83,"10' 5""",2764.833,266,36,"2"""
27,T27,T27,Luke Guthrie,82,"10' 5""",2257.333,216,45,"2"""
28,T27,T27,Sean O'Hair,56,"10' 5""",1424.3329999999999,137,58,"5"""
29,T27,T27,Jin Park,52,"10' 5""",1291.833,124,50,"5"""
30,T27,T27,Tag Ridings,69,"10' 5""",1888.9170000000001,182,43,"4"""
31,T27,T27,Andrew Svoboda,46,"10' 5""",1108.167,106,49,"7"""
32,T27,T27,Casey Wittenberg,72,"10' 5""",1728.8329999999999,166,48,"4"""
33,T34,T34,Martin Kaymer,61,"10' 4""",1385.4170000000001,134,59,"6"""
34,T34,T34,D.H. Lee,65,"10' 4""",1908.3329999999999,184,46,"4"""
35,T34,T34,Richard Lee,81,"10' 4""",2340.333,226,53,"5"""
36,T34,T34,Justin Leonard,86,"10' 4""",2504.667,243,51,"3"""
37,T34,T34,Jeff Maggert,63,"10' 4""",1853.6670000000001,180,70,"8"""
38,T34,T34,Darron Stiles,51,"10' 4""",1180.833,114,56,1
39,T34,T34,Robert Streb,75,"10' 4""",1984.4170000000001,192,44,"4"""
40,T34,T34,Mike Weir,60,"10' 4""",1492.4170000000001,144,57,"5"""
41,T42,T42,Ben Curtis,59,"10' 3""",1367.5,133,70,"4"""
42,T42,T42,Tom Gillis,69,"10' 3""",1778.4170000000001,173,51,"3"""
43,T42,T42,John Merrick,79,"10' 3""",2216.667,216,47,"1"""
44,T42,T42,Carl Pettersson,82,"10' 3""",2171.667,212,59,"5"""
45,T46,T46,Jonas Blixt,76,"10' 2""",1994.5829999999999,196,48,"3"""
46,T46,T46,Ángel Cabrera,73,"10' 2""",1932.9170000000001,190,50,"3"""
47,T46,T46,Geoff Ogilvy,57,"10' 2""",1301.083,128,47,"7"""
48,T46,T46,Brandt Snedeker,79,"10' 2""",2287.5,225,61,"3"""
49,T50,T50,Greg Chalmers,77,"10' 1""",2370.417,235,51,"2"""
50,T50,T50,Jim Furyk,80,"10' 1""",2249.833,224,38,"1"""
51,T50,T50,Scott Gardiner,61,"10' 1""",1567.9170000000001,155,38,"4"""
52,T50,T50,J.J. Henry,83,"10' 1""",2183.083,216,55,"5"""
53,T50,T50,Jim Herman,59,"10' 1""",1477.9170000000001,147,59,"4"""
54,T50,T50,Justin Hicks,79,"10' 1""",2191.167,218,46,"2"""
55,T50,T50,David Lynn,70,"10' 1""",1680.5,167,48,"8"""
56,T50,T50,William McGirt,75,"10' 1""",2317.917,230,59,"1"""
57,T50,T50,Bryce Molder,82,"10' 1""",2480.333,245,47,"4"""
58,T50,T50,Chez Reavie,72,"10' 1""",2167.0,215,66,"4"""
59,T50,T50,Charlie Wi,75,"10' 1""",2242.5,222,50,"1"""
60,T61,T61,K.J. Choi,85,"10' 0""",2009.3329999999999,201,40,"3"""
61,T61,T61,Harris English,95,"10' 0""",3093.917,310,48,"3"""
62,T61,T61,Tommy Gainey,84,"10' 0""",2462.917,247,44,"3"""
63,T61,T61,David Hearn,88,"10' 0""",2639.833,265,56,"4"""
64,T61,T61,Charles Howell III,87,"10' 0""",2824.167,282,57,"3"""
65,T61,T61,Ryo Ishikawa,72,"10' 0""",1595.0,160,50,"3"""
66,T61,T61,Martin Laird,68,"10' 0""",1605.25,161,61,"3"""
67,T61,T61,Troy Matteson,68,"10' 0""",1621.3329999999999,162,56,"4"""
68,T61,T61,Jeff Overton,78,"10' 0""",2477.167,248,55,"4"""
69,T61,T61,D.A. Points,87,"10' 0""",2318.0,231,55,"4"""
70,T61,T61,Dicky Pride,71,"10' 0""",1714.5829999999999,172,71,"2"""
71,T61,T61,Brian Stuard,78,"10' 0""",1865.4170000000001,186,69,"4"""
72,T61,T61,Michael Thompson,66,"10' 0""",1474.5,147,41,"3"""
73,T74,T74,Robert Allenby,58,"9' 11""",1430.5,144,42,"4"""
74,T74,T74,Brian Davis,91,"9' 11""",2945.0,296,56,"3"""
75,T76,T76,Padraig Harrington,52,"9' 10""",1089.667,111,52,"9"""
76,T76,T76,Patrick Reed,83,"9' 10""",2402.333,245,60,"1"""
77,T78,T78,Chad Campbell,78,"9' 9""",2222.333,228,46,"3"""
78,T78,T78,Tim Clark,64,"9' 9""",1334.6670000000001,137,52,"4"""
79,T78,T78,Graham DeLaet,94,"9' 9""",2866.333,293,55,"3"""
80,T78,T78,George McNeill,68,"9' 9""",1912.9170000000001,196,60,"1"""
81,T78,T78,Jordan Spieth,82,"9' 9""",2529.667,259,47,"2"""
