,Total_1_Putts_-_15-20_RANK THIS WEEK,Total_1_Putts_-_15-20_RANK LAST WEEK,Total_1_Putts_-_15-20_PLAYER NAME,Total_1_Putts_-_15-20_ROUNDS,Total_1_Putts_-_15-20_TOTAL,Total_1_Putts_-_15-20_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_15-20_PCT OF ALL 1-PUTTS
0,1,1,Harris English,95,46,603,7.6
1,T2,T2,Brendon de Jonge,110,41,656,6.3
2,T2,T2,Charles Howell III,87,41,596,6.9
3,T2,T2,Chris Kirk,89,41,643,6.4
4,5,5,Webb Simpson,92,36,512,7.0
5,6,6,Billy Horschel,96,34,595,5.7
6,T7,T7,Stuart Appleby,88,33,576,5.7
7,T7,T7,Brian Davis,91,33,634,5.2
8,T7,T7,D.A. Points,87,33,488,6.8
9,10,10,Ken Duke,87,32,538,5.9
10,11,11,Russell Henley,80,31,476,6.5
11,T12,T12,Brian Harman,89,30,552,5.4
12,T12,T12,Scott Stallings,79,30,491,6.1
13,T14,T14,Martin Flores,83,29,554,5.2
14,T14,T14,Zach Johnson,84,29,464,6.3
15,T14,T14,Richard Lee,81,29,508,5.7
16,T14,T14,Phil Mickelson,78,29,461,6.3
17,T14,T14,Jordan Spieth,82,29,515,5.6
18,T19,T19,Sangmoon Bae,83,28,533,5.3
19,T19,T19,Charley Hoffman,84,28,518,5.4
20,T19,T19,John Huh,88,28,506,5.5
21,T19,T19,Nicholas Thompson,99,28,589,4.8
22,T19,T19,Jimmy Walker,84,28,552,5.1
23,T24,T24,Roberto Castro,97,27,579,4.7
24,T24,T24,Graham DeLaet,94,27,539,5.0
25,T24,T24,James Driscoll,76,27,469,5.8
26,T24,T24,Rickie Fowler,75,27,439,6.2
27,T24,T24,Ben Kohles,75,27,412,6.6
28,T24,T24,Hunter Mahan,91,27,457,5.9
29,T24,T24,Ryan Palmer,79,27,518,5.2
30,T24,T24,Nick Watney,88,27,479,5.6
31,T32,T32,Matt Every,89,26,593,4.4
32,T32,T32,Tommy Gainey,84,26,535,4.9
33,T32,T32,David Hearn,88,26,554,4.7
34,T32,T32,J.J. Henry,83,26,451,5.8
35,T32,T32,Jason Kokrak,78,26,517,5.0
36,T32,T32,Justin Leonard,86,26,571,4.6
37,T32,T32,Bryce Molder,82,26,540,4.8
38,T32,T32,Brandt Snedeker,79,26,463,5.6
39,T40,T40,Jeff Overton,78,25,543,4.6
40,T40,T40,Pat Perez,69,25,427,5.9
41,T40,T40,Daniel Summerhays,83,25,554,4.5
42,T43,T43,Erik Compton,74,24,469,5.1
43,T43,T43,Bob Estes,66,24,461,5.2
44,T43,T43,Colt Knost,69,24,412,5.8
45,T43,T43,Greg Owen,73,24,418,5.7
46,T43,T43,Cameron Tringale,80,24,525,4.6
47,T48,T48,Ricky Barnes,74,23,406,5.7
48,T48,T48,Chad Campbell,78,23,470,4.9
49,T48,T48,Fabián Gómez,65,23,393,5.9
50,T48,T48,James Hahn,78,23,469,4.9
51,T48,T48,Marc Leishman,77,23,458,5.0
52,T48,T48,Rory Sabbatini,86,23,508,4.5
53,T48,T48,Lee Westwood,70,23,349,6.6
54,T55,T55,Stephen Ames,49,22,335,6.6
55,T55,T55,Jonas Blixt,76,22,513,4.3
56,T55,T55,Stewart Cink,71,22,361,6.1
57,T55,T55,Tim Clark,64,22,336,6.5
58,T55,T55,Jim Furyk,80,22,448,4.9
59,T55,T55,Luke Guthrie,82,22,482,4.6
60,T55,T55,Seung-Yul Noh,71,22,411,5.4
