,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,T1,T1,Sergio Garcia,18,47,22,25
1,T1,T1,Brent Schwarzrock,20,47,27,20
2,3,3,Charles Howell III,24,62,6,56
3,4,4,Donnie Hammond,14,82,39,43
4,T5,T5,"David Berganio, Jr.",25,84,31,53
5,T5,T5,Joe Durant,25,84,83,1
6,T5,T5,J.J. Henry,28,84,26,58
7,T5,T5,Phil Mickelson,23,84,6,78
8,9,9,Carl Paulson,31,92,69,23
9,10,10,Frank Lickliter II,29,98,37,61
10,11,11,Brandt Jobe,30,103,13,90
11,T12,T12,Robert Allenby,29,106,37,69
12,T12,T12,Scott McCarron,25,106,14,92
13,14,14,Kenny Perry,26,110,10,100
14,15,15,Chris Smith,30,112,9,103
15,16,16,Hal Sutton,26,114,103,11
16,T17,T17,Ben Bates,18,122,49,73
17,T17,T17,Rich Beem,31,122,47,75
18,T17,T17,Tom Lehman,23,122,25,97
19,20,20,Jonathan Kaye,33,124,54,70
20,T21,T21,Stephen Ames,26,129,65,64
21,T21,T21,Briny Baird,31,129,67,62
22,T21,T21,John Riegger,27,129,93,36
23,24,24,Steve Lowery,28,132,79,53
24,T25,T25,Stuart Appleby,29,134,19,115
25,T25,T25,Duffy Waldorf,27,134,39,95
26,T27,T27,Andrew McLardy,26,137,49,88
27,T27,T27,David Toms,28,137,95,42
28,T27,T27,Kaname Yokoo,27,137,57,80
29,30,30,Brent Geiberger,25,138,81,57
30,31,31,Jeff Maggert,27,139,98,41
31,T32,T32,Per-Ulrik Johansson,29,140,74,66
32,T32,T32,Brian Wilson,31,140,18,122
33,34,34,Tommy Armour III,32,143,62,81
34,T35,T35,Russ Cochran,24,145,95,50
35,T35,T35,David Peoples,31,145,90,55
36,T35,T35,Grant Waite,28,145,36,109
37,38,38,Billy Mayfair,29,146,141,5
38,39,39,Tiger Woods,19,148,3,145
39,40,40,Richie Coughlan,26,149,115,34
40,41,41,Joel Edwards,30,150,129,21
41,T42,T42,Olin Browne,30,151,145,6
42,T42,T42,Ian Leggatt,29,151,63,88
43,T42,T42,Vijay Singh,26,151,23,128
44,45,45,Scott Hoch,24,152,133,19
45,T46,T46,Robert Damron,27,153,126,27
46,T46,T46,David Duval,20,153,5,148
47,48,48,Bradley Hughes,33,154,121,33
48,49,49,Harrison Frazar,25,155,24,131
49,50,50,Mark Hensby,29,157,90,67
50,T51,T51,Cameron Beckman,29,158,32,126
51,T51,T51,Steve Elkington,20,158,81,77
52,T51,T51,Tim Herron,29,158,17,141
53,T51,T51,Rocco Mediate,21,158,107,51
54,T55,T55,Mark Calcavecchia,23,160,28,132
55,T55,T55,José Coceres,19,160,151,9
56,T55,T55,Steve Flesch,32,160,54,106
57,T58,T58,Jesper Parnevik,25,161,45,116
58,T58,T58,Bob Tway,29,161,98,63
59,60,60,Jason Gore,30,162,12,150
60,61,61,Brad Elder,35,164,53,111
61,62,62,Jim Carter,28,165,141,24
62,63,63,Paul Stankowski,27,166,32,134
63,64,64,Davis Love III,20,167,3,164
64,T65,T65,Fred Funk,33,168,165,3
65,T65,T65,Geoff Ogilvy,23,168,48,120
66,67,67,Chris Riley,30,170,126,44
67,68,68,Jim Furyk,24,171,164,7
68,69,69,Bob Burns,29,173,105,68
69,T70,T70,Scott Dunlap,28,174,129,45
70,T70,T70,Craig Parry,22,174,157,17
71,T70,T70,Joey Sindelar,25,174,11,163
72,73,73,Glen Hnatiuk,31,176,174,2
73,74,74,Tom Byrum,27,177,169,8
74,T75,T75,John Cook,25,178,174,4
75,T75,T75,Garrett Willis,33,178,93,85
76,77,77,Fred Couples,19,180,21,159
77,78,78,Brian Watts,16,181,67,114
78,T79,T79,Skip Kendall,33,182,160,22
79,T79,T79,Brett Quigley,21,182,2,180
80,T81,T81,Ernie Els,19,183,30,153
81,T81,T81,Chris Perry,26,183,107,76
82,T81,T81,Scott Verplank,26,183,170,13
83,T84,T84,Matt Gogel,26,184,85,99
84,T84,T84,Frank Nobilo,28,184,150,34
85,T84,T84,Lee Porter,30,184,146,38
86,T87,T87,Danny Ellis,27,186,28,158
87,T87,T87,Gabriel Hjertstedt,30,186,74,112
88,T89,T89,Greg Chalmers,27,187,105,82
89,T89,T89,Blaine McCallister,28,187,171,16
90,T89,T89,Mike Sposa,29,187,113,74
91,92,92,Glen Day,28,188,159,29
92,T93,T93,John Daly,25,189,1,188
93,T93,T93,Nick Price,20,189,149,40
94,T95,T95,Dicky Pride,27,190,138,52
95,T95,T95,Kirk Triplett,26,190,178,12
96,T97,T97,Paul Azinger,20,191,95,96
97,T97,T97,Mathew Goggin,33,191,35,156
98,T97,T97,J.P. Hayes,23,191,120,71
99,100,100,Steve Allan,31,192,8,184
100,101,101,Michael Clark II,30,193,83,110
101,T102,T102,Craig Barlow,23,194,64,130
102,T102,T102,Jerry Kelly,31,194,107,87
103,T104,T104,Justin Leonard,30,195,135,60
104,T104,T104,Craig Perks,30,195,52,143
105,T104,T104,Jean Van de Velde,17,195,167,28
106,T107,T107,Brian Gay,32,196,186,10
107,T107,T107,Mike Weir,23,196,44,152
108,109,109,Kelly Grunewald,27,197,15,182
109,T110,T110,Jeremy Anderson,28,198,60,138
110,T110,T110,Jeff Hart,28,198,184,14
111,T110,T110,J.L. Lewis,31,198,57,141
112,T113,T113,Jay Haas,21,200,154,46
113,T113,T113,John Huston,20,200,92,108
114,115,115,Rory Sabbatini,23,201,20,181
115,116,116,Tommy Tolles,31,202,45,157
116,T117,T117,Marco Dawson,19,203,34,169
117,T117,T117,Bob May,25,203,86,117
118,T119,T119,Jeff Brehaut,26,205,133,72
119,T119,T119,Dudley Hart,25,205,39,166
120,T119,T119,Chris Tidland,29,205,16,189
121,T122,T122,Mark Brooks,27,206,191,15
122,T122,T122,Carlos Franco,27,206,39,167
123,T122,T122,Kent Jones,28,206,147,59
124,125,125,Pete Jordan,36,207,189,18
125,T126,T126,Robert Gamez,22,211,162,49
126,T126,T126,Larry Mize,24,211,172,39
127,128,128,Kevin Johnson,32,212,39,173
128,129,129,Brian Henninger,29,213,122,91
129,130,130,Fulton Allem,21,214,183,31
130,131,131,Billy Andrade,27,216,87,129
131,T132,T132,Bill Glasson,26,217,138,79
132,T132,T132,Neal Lancaster,36,217,132,85
133,T134,T134,Jay Don Blake,31,218,181,37
134,T134,T134,Brandel Chamblee,23,218,153,65
135,T134,T134,Paul Goydos,29,218,186,32
136,T134,T134,Jay Williamson,35,218,135,83
137,138,138,Corey Pavin,22,220,194,26
138,T139,T139,Cliff Kresge,31,222,78,144
139,T139,T139,Esteban Toledo,36,222,192,30
140,T141,T141,Dan Forsman,25,224,177,47
141,T141,T141,Jim McGovern,21,224,54,170
142,143,143,Doug Dunakey,32,225,79,146
143,T144,T144,Edward Fryatt,31,227,100,127
144,T144,T144,Shaun Micheel,34,227,87,140
145,T146,T146,Robin Freeman,34,228,77,151
146,T146,T146,David Morland IV,29,228,107,121
147,148,148,Jerry Smith,31,230,125,105
148,T149,T149,K.J. Choi,29,233,59,174
149,T149,T149,Jeff Sluman,30,233,72,161
