,Driving_Pct._300-320_All_Drives_RANK THIS WEEK,Driving_Pct._300-320_All_Drives_RANK LAST WEEK,Driving_Pct._300-320_All_Drives_PLAYER NAME,Driving_Pct._300-320_All_Drives_ROUNDS,Driving_Pct._300-320_All_Drives_%,Driving_Pct._300-320_All_Drives_TOTAL DRIVES FOR 300-320,Driving_Pct._300-320_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._300-320_All_Drives_RELATIVE TO PAR
0,T1,T1,Rich Beem,91,50.0,2.0,4,-0.500
1,T1,T1,Tim Herron,97,50.0,2.0,4,-0.500
2,3,3,John Daly,84,41.67,10.0,24,-0.300
3,4,4,Tiger Woods,76,35.42,17.0,48,-0.294
4,T5,T5,Steve Allan,88,33.33,4.0,12,-0.250
5,T5,T5,K.J. Choi,95,33.33,4.0,12,E
6,7,7,Geoff Ogilvy,60,31.82,7.0,22,E
7,8,8,Sergio Garcia,64,30.77,12.0,39,-0.500
8,9,9,Hunter Haas,78,30.0,3.0,10,+0.333
9,10,10,Brian Wilson,88,28.13,9.0,32,-0.333
10,11,11,Rory Sabbatini,73,28.07,16.0,57,-0.250
11,12,12,Kevin Johnson,93,27.27,3.0,11,-1.000
12,13,13,Craig Parry,68,26.32,5.0,19,-0.200
13,T14,T14,Carlos Franco,87,25.0,6.0,24,-0.833
14,T14,T14,Paul Gow,79,25.0,4.0,16,E
15,T14,T14,Cliff Kresge,84,25.0,3.0,12,+0.333
16,17,17,Kenny Perry,94,24.29,17.0,70,-0.059
17,18,18,Tommy Armour III,93,23.91,11.0,46,-0.364
18,19,19,Bob May,86,23.81,5.0,21,+0.200
19,T20,T20,Joe Ogilvie,110,21.88,7.0,32,-0.143
20,T20,T20,Chris Riley,104,21.88,7.0,32,-0.143
21,22,22,Brandt Jobe,96,21.74,5.0,23,E
22,23,23,Stephen Ames,88,21.21,7.0,33,+0.143
23,T24,T24,Charles Howell III,89,21.05,12.0,57,-0.500
24,T24,T24,Tom Lehman,82,21.05,12.0,57,-0.417
25,26,26,Scott McCarron,98,20.97,13.0,62,E
26,27,27,Fred Couples,68,20.59,7.0,34,E
27,28,28,Ernie Els,70,20.51,8.0,39,-0.375
28,T29,T29,Robert Allenby,108,20.0,12.0,60,-0.250
29,T29,T29,"David Berganio, Jr.",76,20.0,5.0,25,-0.400
30,T29,T29,Keith Clearwater,62,20.0,2.0,10,-0.500
31,T29,T29,Jeff Maggert,84,20.0,7.0,35,-0.286
32,T29,T29,Andrew McLardy,75,20.0,4.0,20,-0.250
33,T29,T29,Kevin Sutherland,101,20.0,9.0,45,-0.444
34,35,35,Kaname Yokoo,81,19.57,9.0,46,-0.333
35,36,36,David Peoples,96,19.3,11.0,57,-0.364
36,37,37,Michael Clark II,87,18.92,7.0,37,-0.286
37,38,38,Steve Jones,75,18.75,3.0,16,-0.333
38,39,39,Russ Cochran,76,18.18,8.0,44,-0.500
39,40,40,Vijay Singh,98,18.06,13.0,72,-0.462
40,41,41,J.L. Lewis,108,18.0,9.0,50,-0.111
41,42,42,Lee Janzen,96,17.24,10.0,58,-0.600
42,T43,T43,Stuart Appleby,105,16.67,9.0,54,-0.444
43,T43,T43,Ben Ferguson,76,16.67,2.0,12,E
44,T43,T43,Mark Hensby,71,16.67,1.0,6,E
45,T43,T43,Chris Tidland,83,16.67,2.0,12,-0.500
46,47,47,Jonathan Kaye,116,16.22,6.0,37,-0.667
47,48,48,Bob Burns,92,15.91,7.0,44,-0.286
48,49,49,Bob Estes,91,15.87,10.0,63,-0.200
49,T50,T50,Michael Muehr,94,15.56,7.0,45,+0.286
50,T50,T50,Carl Paulson,93,15.56,7.0,45,-0.571
51,T50,T50,Ted Tryba,110,15.56,7.0,45,-0.571
52,53,53,Jesper Parnevik,91,15.52,9.0,58,-0.444
53,54,54,Davis Love III,75,15.48,13.0,84,-0.462
54,55,55,Marco Dawson,57,15.38,4.0,26,-0.250
55,56,56,Bob Tway,109,15.25,9.0,59,-0.222
56,57,57,Paul Azinger,79,15.22,7.0,46,-0.714
57,58,58,Woody Austin,99,15.15,5.0,33,-0.400
58,59,59,Stewart Cink,102,15.12,13.0,86,-0.308
59,60,60,Craig Kanada,80,15.0,3.0,20,-0.333
60,T61,T61,Neal Lancaster,107,14.71,5.0,34,-0.200
61,T61,T61,Ian Leggatt,84,14.71,5.0,34,E
62,63,63,Tom Pernice Jr.,106,14.58,7.0,48,+0.143
63,T64,T64,Jason Gore,82,14.29,3.0,21,-0.667
64,T64,T64,Steve Stricker,73,14.29,4.0,28,E
65,T64,T64,Mike Weir,86,14.29,7.0,49,E
66,T67,T67,Gabriel Hjertstedt,76,13.64,3.0,22,E
67,T67,T67,Tripp Isenhour,92,13.64,3.0,22,E
68,T67,T67,Rocky Walcher,59,13.64,3.0,22,-0.667
