,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,John Daly,84,306.7,49075,160
1,2,2,Brett Quigley,67,298.5,37606,126
2,T3,T3,Davis Love III,75,297.6,41959,141
3,T3,T3,Tiger Woods,76,297.6,42561,143
4,5,5,David Duval,78,296.1,40866,138
5,T6,T6,Charles Howell III,89,293.9,49367,168
6,T6,T6,Phil Mickelson,85,293.9,45259,154
7,8,8,Steve Allan,88,293.3,49571,169
8,9,9,Chris Smith,101,293.2,57465,196
9,10,10,Kenny Perry,94,292.3,52028,178
10,11,11,Joey Sindelar,69,291.5,38481,132
11,12,12,Jason Gore,82,290.5,46473,160
12,13,13,Brandt Jobe,96,290.4,54298,187
13,14,14,Scott McCarron,98,289.7,54459,188
14,15,15,Kelly Grunewald,66,289.1,37874,131
15,16,16,Chris Tidland,83,289.0,46237,160
16,17,17,Tim Herron,97,288.9,52581,182
17,18,18,Brian Wilson,88,288.8,49680,172
18,19,19,Stuart Appleby,105,288.6,53676,186
19,20,20,Rory Sabbatini,73,288.5,37218,129
20,21,21,Fred Couples,68,288.2,38048,132
21,22,22,Sergio Garcia,64,287.8,31653,110
22,23,23,Vijay Singh,98,287.5,50602,176
23,24,24,Harrison Frazar,88,286.8,47615,166
24,25,25,Tom Lehman,82,286.7,44150,154
25,26,26,J.J. Henry,86,286.6,47858,167
26,27,27,Brent Schwarzrock,63,286.4,36086,126
27,T28,T28,Mark Calcavecchia,81,286.2,42927,150
28,T28,T28,Danny Ellis,76,286.2,42637,149
29,30,30,Ernie Els,70,285.8,32012,112
30,31,31,"David Berganio, Jr.",76,285.5,41677,146
31,T32,T32,Cameron Beckman,103,285.4,56508,198
32,T32,T32,Paul Stankowski,91,285.4,50234,176
33,34,34,Marco Dawson,57,285.2,32225,113
34,35,35,Mathew Goggin,96,285.1,52748,185
35,36,36,Grant Waite,78,284.9,43307,152
36,T37,T37,Robert Allenby,108,284.7,57788,203
