,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
0,T1,T1,Billy Andrade,82,0.0,,16,E
1,T1,T1,Ben Ferguson,76,0.0,,12,E
2,T1,T1,Robert Gamez,59,0.0,,4,E
3,T1,T1,Hunter Haas,78,0.0,,6,E
4,T1,T1,Tim Herron,97,0.0,,4,E
5,T1,T1,Glen Hnatiuk,104,0.0,,33,E
6,T1,T1,Steve Jones,75,0.0,,16,E
7,T1,T1,Craig Kanada,80,0.0,,17,E
8,T1,T1,Andrew McLardy,75,0.0,,20,E
9,T1,T1,Sean Murphy,70,0.0,,8,E
10,T1,T1,Gary Nicklaus,96,0.0,,19,E
11,T1,T1,Dennis Paulson,75,0.0,,3,E
12,T1,T1,Mark Wiebe,62,0.0,,3,E
13,14,14,Per-Ulrik Johansson,82,2.94,1.0,34,E
14,15,15,Jeff Hart,87,3.13,1.0,32,E
15,T16,T16,Tripp Isenhour,92,4.55,1.0,22,-1.00
16,T16,T16,Kaname Yokoo,81,4.55,2.0,44,E
17,18,18,John Huston,64,5.26,1.0,19,E
18,19,19,David Peoples,96,5.36,3.0,56,+0.67
19,T20,T20,Stuart Appleby,105,5.45,3.0,55,-0.33
20,T20,T20,Greg Kraft,105,5.45,3.0,55,+0.67
21,22,22,Doug Barron,62,5.88,1.0,17,-1.00
22,T23,T23,Woody Austin,99,6.67,2.0,30,E
23,T23,T23,Edward Fryatt,93,6.67,1.0,15,E
24,T25,T25,Fred Funk,118,6.82,3.0,44,E
25,T25,T25,Mike Sposa,96,6.82,3.0,44,-0.67
26,27,27,Robert Allenby,108,6.9,4.0,58,-0.50
27,28,28,Olin Browne,99,7.14,3.0,42,E
28,29,29,Robert Damron,91,7.5,3.0,40,+0.33
29,T30,T30,Jim Carter,103,7.69,4.0,52,-0.25
30,T30,T30,Scott Verplank,99,7.69,5.0,65,+0.20
31,32,32,Jerry Smith,95,8.11,3.0,37,-0.33
32,T33,T33,Kent Jones,74,8.33,1.0,12,E
33,T33,T33,Cliff Kresge,84,8.33,1.0,12,E
34,T33,T33,Corey Pavin,72,8.33,1.0,12,E
35,T33,T33,Mike Weir,86,8.33,4.0,48,-0.25
36,37,37,Michael Clark II,87,8.57,3.0,35,+0.33
37,38,38,Jay Don Blake,100,8.62,5.0,58,-0.20
38,39,39,Steve Pate,89,8.7,2.0,23,-0.50
39,40,40,Andrew Magee,97,8.89,4.0,45,-0.25
40,41,41,Rory Sabbatini,73,8.93,5.0,56,E
41,T42,T42,Steve Allan,88,9.09,1.0,11,E
42,T42,T42,Glen Day,89,9.09,5.0,55,-0.20
43,T42,T42,Kelly Grunewald,66,9.09,1.0,11,E
44,T42,T42,Bradley Hughes,96,9.09,3.0,33,-0.33
45,T42,T42,Blaine McCallister,80,9.09,4.0,44,-0.25
46,T47,T47,Ian Leggatt,84,9.38,3.0,32,-0.33
47,T47,T47,Joe Ogilvie,110,9.38,3.0,32,+0.33
48,T49,T49,Bob Burns,92,9.52,4.0,42,E
49,T49,T49,Russ Cochran,76,9.52,4.0,42,E
50,T49,T49,Mathew Goggin,96,9.52,4.0,42,E
51,T49,T49,Rocky Walcher,59,9.52,2.0,21,E
52,T53,T53,Fred Couples,68,9.68,3.0,31,+1.00
53,T53,T53,Jay Williamson,92,9.68,3.0,31,E
54,T55,T55,Bernhard Langer,62,10.0,5.0,50,-0.20
55,T55,T55,Bob May,86,10.0,2.0,20,E
56,57,57,Bob Tway,109,10.17,6.0,59,E
57,58,58,John Riegger,86,10.42,5.0,48,+0.40
58,T59,T59,Keith Clearwater,62,11.11,1.0,9,E
59,T59,T59,Richie Coughlan,66,11.11,1.0,9,+1.00
60,T59,T59,Skip Kendall,111,11.11,6.0,54,E
61,T59,T59,Tommy Tolles,89,11.11,1.0,9,-1.00
62,63,63,Billy Mayfair,102,11.27,8.0,71,E
63,T64,T64,Danny Ellis,76,11.36,5.0,44,-0.20
64,T64,T64,Shaun Micheel,103,11.36,5.0,44,E
65,66,66,Joel Edwards,99,11.63,5.0,43,-0.60
