,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,T1,T1,Jeremy Anderson,69,0.0,,12,E
1,T1,T1,K.J. Choi,95,0.0,,12,E
2,T1,T1,Ben Ferguson,76,0.0,,12,E
3,T1,T1,Robert Gamez,59,0.0,,4,E
4,T1,T1,Kelly Grunewald,66,0.0,,11,E
5,T1,T1,Hunter Haas,78,0.0,,6,E
6,T1,T1,Kevin Johnson,93,0.0,,11,E
7,T1,T1,Jim McGovern,66,0.0,,3,E
8,T1,T1,Chris Perry,80,0.0,,12,E
9,T1,T1,Tommy Tolles,89,0.0,,9,E
10,T1,T1,Mark Wiebe,62,0.0,,3,E
11,12,12,Shaun Micheel,103,2.27,1.0,44,E
12,13,13,Joe Durant,80,2.44,1.0,41,E
13,14,14,J.J. Henry,86,2.7,1.0,37,+1.00
14,T15,T15,Tom Byrum,85,2.94,1.0,34,E
15,T15,T15,Bill Glasson,69,2.94,1.0,34,E
16,17,17,Pete Jordan,105,3.13,1.0,32,-1.00
17,18,18,Lee Porter,93,3.85,1.0,26,-1.00
18,19,19,David Toms,100,3.92,2.0,51,E
19,T20,T20,Len Mattiace,98,4.0,1.0,25,E
20,T20,T20,Kirk Triplett,88,4.0,1.0,25,E
21,22,22,John Daly,84,4.35,1.0,23,E
22,23,23,Andrew McLardy,75,5.0,1.0,20,+1.00
23,24,24,Jay Don Blake,100,5.17,3.0,58,+0.33
24,25,25,Craig Parry,68,5.26,1.0,19,E
25,26,26,Scott Dunlap,80,5.88,1.0,17,E
26,T27,T27,Woody Austin,99,6.67,2.0,30,E
27,T27,T27,Brian Gay,114,6.67,2.0,30,+0.50
28,29,29,Fred Funk,118,6.82,3.0,44,E
29,T30,T30,Robert Allenby,108,6.9,4.0,58,+0.75
30,T30,T30,Scott McCarron,98,6.9,4.0,58,E
31,32,32,Brian Henninger,81,7.02,4.0,57,E
32,T33,T33,Briny Baird,106,7.5,3.0,40,E
33,T33,T33,Robert Damron,91,7.5,3.0,40,E
34,T33,T33,Grant Waite,78,7.5,3.0,40,-0.67
35,36,36,Marco Dawson,57,7.69,2.0,26,E
36,T37,T37,Bernhard Langer,62,8.0,4.0,50,E
37,T37,T37,Scott Simpson,73,8.0,2.0,25,+0.50
38,39,39,Scott Hoch,84,8.11,3.0,37,+1.00
39,T40,T40,Matt Gogel,83,8.7,2.0,23,+0.50
40,T40,T40,Tom Scherrer,69,8.7,2.0,23,E
41,42,42,Jeff Maggert,84,8.82,3.0,34,-0.67
42,T43,T43,Lee Janzen,96,8.93,5.0,56,E
43,T43,T43,Tom Lehman,82,8.93,5.0,56,-0.20
44,T43,T43,David Peoples,96,8.93,5.0,56,-0.20
45,T46,T46,Steve Allan,88,9.09,1.0,11,E
46,T46,T46,Brandel Chamblee,77,9.09,1.0,11,E
47,T46,T46,Charles Howell III,89,9.09,5.0,55,-0.40
48,T46,T46,Bradley Hughes,96,9.09,3.0,33,E
49,T46,T46,Tripp Isenhour,92,9.09,2.0,22,+0.50
50,T46,T46,Brandt Jobe,96,9.09,2.0,22,-0.50
51,T46,T46,Jonathan Kaye,116,9.09,3.0,33,-0.33
52,T46,T46,Greg Kraft,105,9.09,5.0,55,-0.60
53,T46,T46,Blaine McCallister,80,9.09,4.0,44,-0.25
54,T46,T46,Geoff Ogilvy,60,9.09,2.0,22,E
55,T46,T46,Chris Tidland,83,9.09,1.0,11,+1.00
56,57,57,Skip Kendall,111,9.26,5.0,54,+0.40
57,58,58,Joel Edwards,99,9.3,4.0,43,E
58,T59,T59,Fulton Allem,56,9.38,3.0,32,-0.33
59,T59,T59,Jeff Hart,87,9.38,3.0,32,-0.33
60,T59,T59,Ian Leggatt,84,9.38,3.0,32,E
61,T59,T59,Loren Roberts,84,9.38,3.0,32,+0.33
62,T59,T59,Garrett Willis,88,9.38,3.0,32,E
63,64,64,Gabriel Hjertstedt,76,9.52,2.0,21,E
64,65,65,Fred Couples,68,9.68,3.0,31,-0.33
65,66,66,Ted Tryba,110,9.76,4.0,41,+0.50
66,67,67,Billy Mayfair,102,9.86,7.0,71,+0.14
67,68,68,Sergio Garcia,64,10.26,4.0,39,+0.25
68,69,69,John Riegger,86,10.42,5.0,48,-0.20
69,70,70,José Coceres,60,10.53,6.0,57,-0.50
70,71,71,Tom Pernice Jr.,106,10.64,5.0,47,E
71,72,72,Scott Verplank,99,10.77,7.0,65,-0.29
72,73,73,Tiger Woods,76,10.87,5.0,46,-0.20
73,74,74,Glen Day,89,10.91,6.0,55,-0.17
74,T75,T75,Mark Brooks,88,11.11,3.0,27,-0.67
75,T75,T75,David Frost,87,11.11,4.0,36,E
76,77,77,Carl Paulson,93,11.36,5.0,44,+0.20
77,78,78,David Duval,78,11.54,6.0,52,-0.83
78,79,79,Michael Muehr,94,11.63,5.0,43,-0.20
79,T80,T80,Spike McRoy,95,11.76,4.0,34,+0.50
80,T80,T80,Duffy Waldorf,77,11.76,2.0,17,+0.50
81,82,82,Mathew Goggin,96,11.9,5.0,42,-0.20
82,83,83,"David Berganio, Jr.",76,12.0,3.0,25,E
83,T84,T84,Frank Lickliter II,102,12.07,7.0,58,-0.14
84,T84,T84,Jesper Parnevik,91,12.07,7.0,58,E
85,T86,T86,Glen Hnatiuk,104,12.12,4.0,33,-0.50
