,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,1,Charles Howell III,89,5,3,2
1,2,2,Joe Durant,80,9,5,4
2,3,3,Donnie Hammond,51,14,4,10
3,T4,T4,J.J. Henry,86,18,5,13
4,T4,T4,Tom Lehman,82,18,17,1
5,6,6,Kenny Perry,94,22,14,8
6,7,7,Hal Sutton,96,25,16,9
7,T8,T8,Phil Mickelson,85,31,5,26
8,T8,T8,Chris Smith,101,31,15,16
9,10,10,David Toms,100,34,27,7
10,11,11,Scott McCarron,98,37,12,25
11,12,12,Tiger Woods,76,44,39,5
12,13,13,Robert Allenby,108,45,12,33
13,14,14,Briny Baird,106,48,21,27
14,15,15,Brandt Jobe,96,51,11,40
15,16,16,Sergio Garcia,64,56,1,55
16,17,17,Stephen Ames,88,57,21,36
17,18,18,Frank Lickliter II,102,58,10,48
18,T19,T19,Rocco Mediate,69,63,51,12
19,T19,T19,Bob Tway,109,63,58,5
20,T21,T21,Billy Mayfair,102,65,38,27
21,T21,T21,John Riegger,86,65,21,44
22,23,23,David Peoples,96,67,35,32
23,24,24,Brent Schwarzrock,63,70,1,69
24,T25,T25,Tim Herron,97,72,51,21
25,T25,T25,Vijay Singh,98,72,42,30
26,27,27,Steve Lowery,100,75,24,51
27,28,28,Joel Edwards,99,76,41,35
28,T29,T29,"David Berganio, Jr.",76,78,5,73
29,T29,T29,John Cook,91,78,75,3
30,T29,T29,Duffy Waldorf,77,78,25,53
31,T32,T32,Glen Hnatiuk,104,84,73,11
32,T32,T32,Per-Ulrik Johansson,82,84,32,52
33,T32,T32,Davis Love III,75,84,64,20
34,35,35,Jim Furyk,88,85,68,17
35,36,36,David Duval,78,87,46,41
36,T37,T37,Olin Browne,99,91,42,49
37,T37,T37,Bradley Hughes,96,91,48,43
38,T39,T39,Cameron Beckman,103,93,51,42
39,T39,T39,Russ Cochran,76,93,35,58
40,41,41,Jonathan Kaye,116,94,20,74
41,42,42,Scott Verplank,99,95,81,14
42,43,43,Jeff Maggert,84,98,31,67
43,44,44,Fred Couples,68,101,77,24
44,45,45,Carl Paulson,93,106,9,97
45,46,46,Brent Geiberger,84,108,30,78
46,47,47,Steve Flesch,112,112,55,57
47,48,48,Kirk Triplett,88,114,95,19
48,49,49,Fred Funk,118,115,65,50
49,50,50,José Coceres,60,116,55,61
50,51,51,Mark Calcavecchia,81,118,55,63
51,52,52,Scott Hoch,84,120,45,75
52,53,53,Ian Leggatt,84,121,42,79
53,54,54,Grant Waite,78,126,35,91
54,55,55,Chris Perry,80,128,81,47
55,T56,T56,Paul Azinger,79,131,97,34
56,T56,T56,John Huston,64,131,113,18
57,58,58,Jerry Kelly,104,133,102,31
58,T59,T59,Bob Burns,92,134,69,65
59,T59,T59,Craig Parry,68,134,70,64
60,61,61,Harrison Frazar,88,136,49,87
61,62,62,Jesper Parnevik,91,140,58,82
62,63,63,Rich Beem,91,141,17,124
63,64,64,Frank Nobilo,91,142,84,58
64,T65,T65,Ben Bates,53,146,17,129
65,T65,T65,Joey Sindelar,69,146,70,76
66,67,67,Paul Stankowski,91,148,63,85
67,T68,T68,Jay Haas,75,152,113,39
68,T68,T68,Andrew McLardy,75,152,27,125
69,70,70,Kaname Yokoo,81,154,27,127
70,71,71,Bob May,86,155,117,38
71,T72,T72,Dudley Hart,80,156,119,37
72,T72,T72,Skip Kendall,111,156,79,77
73,74,74,Nick Price,74,161,93,68
74,75,75,John Daly,84,163,93,70
75,76,76,Brett Quigley,67,165,79,86
76,77,77,Jeff Hart,87,166,110,56
77,78,78,Mike Weir,86,167,107,60
78,79,79,Stuart Appleby,105,168,25,143
79,80,80,Jeff Sluman,106,171,149,22
80,T81,T81,Craig Barlow,74,173,102,71
81,T81,T81,Chris DiMarco,108,173,158,15
82,83,83,Tom Byrum,85,174,74,100
83,84,84,Ernie Els,70,180,81,99
84,T85,T85,Tommy Armour III,93,181,34,147
85,T85,T85,Jim Carter,103,181,62,119
86,T85,T85,Mike Sposa,96,181,89,92
87,88,88,Robert Damron,91,182,46,136
88,T89,T89,Brian Watts,56,184,78,106
89,T89,T89,Brian Wilson,88,184,32,152
90,91,91,Justin Leonard,106,185,104,81
91,92,92,Neal Lancaster,107,186,132,54
92,T93,T93,Stewart Cink,102,187,158,29
93,T93,T93,Brian Gay,114,187,107,80
94,T95,T95,Marco Dawson,57,189,117,72
95,T95,T95,Kevin Sutherland,101,189,166,23
96,97,97,Scott Dunlap,80,190,70,120
97,98,98,Greg Chalmers,92,192,89,103
98,99,99,Steve Elkington,64,195,51,144
99,100,100,Matt Gogel,83,197,84,113
100,T101,T101,Richie Coughlan,66,198,40,158
101,T101,T101,Bill Glasson,69,198,132,66
102,103,103,Michael Clark II,87,199,101,98
103,104,104,Bob Estes,91,200,155,45
104,T105,T105,Chris Riley,104,201,67,134
105,T105,T105,Garrett Willis,88,201,75,126
106,107,107,Mathew Goggin,96,202,97,105
107,108,108,J.P. Hayes,76,209,97,112
108,109,109,Rory Sabbatini,73,210,115,95
109,110,110,Jeff Brehaut,80,211,119,92
110,111,111,Mark Hensby,71,216,50,166
111,112,112,Bernhard Langer,62,219,173,46
