,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
0,T1,T1,Ben Ferguson,76,100.0,12,12,+0.08
1,T1,T1,Robert Gamez,59,100.0,4,4,-0.25
2,T1,T1,Mark Wiebe,62,100.0,3,3,E
3,4,4,Andrew McLardy,75,90.0,18,20,-0.11
4,5,5,Tommy Tolles,89,88.89,8,9,-0.25
5,6,6,Glen Hnatiuk,104,87.88,29,33,-0.14
6,7,7,Sean Murphy,70,87.5,7,8,E
7,8,8,Robert Damron,91,85.0,34,40,-0.29
8,9,9,Jay Don Blake,100,84.48,49,58,-0.14
9,T10,T10,Fred Funk,118,84.09,37,44,-0.14
10,T10,T10,Shaun Micheel,103,84.09,37,44,-0.32
11,12,12,J.J. Henry,86,83.78,31,37,-0.10
12,T13,T13,Jeremy Anderson,69,83.33,10,12,-0.50
13,T13,T13,Hunter Haas,78,83.33,5,6,E
14,15,15,Bill Glasson,69,82.35,28,34,-0.25
15,16,16,David Peoples,96,82.14,46,56,-0.37
16,T17,T17,Tripp Isenhour,92,81.82,18,22,-0.39
17,T17,T17,Greg Kraft,105,81.82,45,55,-0.27
18,T19,T19,Billy Andrade,82,81.25,13,16,E
19,T19,T19,Jeff Hart,87,81.25,26,32,-0.19
20,T19,T19,Pete Jordan,105,81.25,26,32,-0.15
21,T19,T19,Ian Leggatt,84,81.25,26,32,-0.15
22,23,23,Lee Porter,93,80.77,21,26,-0.24
23,24,24,Joe Durant,80,80.49,33,41,-0.33
24,25,25,Woody Austin,99,80.0,24,30,-0.21
25,26,26,Blaine McCallister,80,79.55,35,44,-0.37
26,T27,T27,Brian Henninger,81,78.95,45,57,-0.11
27,T27,T27,Gary Nicklaus,96,78.95,15,19,-0.13
28,T27,T27,Craig Parry,68,78.95,15,19,-0.13
29,30,30,Bradley Hughes,96,78.79,26,33,-0.35
30,T31,T31,Mathew Goggin,96,78.57,33,42,-0.33
31,T31,T31,Lee Janzen,96,78.57,44,56,-0.41
32,33,33,Charles Howell III,89,78.18,43,55,-0.33
33,34,34,Skip Kendall,111,77.78,42,54,-0.33
34,35,35,Robert Allenby,108,77.59,45,58,-0.27
35,36,36,Scott Verplank,99,76.92,50,65,-0.18
36,37,37,Joel Edwards,99,76.74,33,43,-0.33
37,T38,T38,Tom Byrum,85,76.47,26,34,-0.27
38,T38,T38,David Toms,100,76.47,39,51,-0.33
39,40,40,Billy Mayfair,102,76.06,54,71,-0.20
40,41,41,Bernhard Langer,62,76.0,38,50,-0.16
41,T42,T42,Jim Carter,103,75.0,39,52,-0.23
42,T42,T42,K.J. Choi,95,75.0,9,12,E
43,T42,T42,Tim Herron,97,75.0,3,4,-0.67
44,T42,T42,Kent Jones,74,75.0,9,12,+0.11
45,T42,T42,John Riegger,86,75.0,36,48,-0.25
46,T42,T42,Mike Sposa,96,75.0,33,44,-0.24
47,T48,T48,Stuart Appleby,105,74.55,41,55,-0.37
48,T48,T48,Glen Day,89,74.55,41,55,-0.15
49,50,50,Fred Couples,68,74.19,23,31,-0.09
50,T51,T51,José Coceres,60,73.68,42,57,-0.05
51,T51,T51,John Huston,64,73.68,14,19,-0.14
52,53,53,Spike McRoy,95,73.53,25,34,-0.24
53,54,54,Edward Fryatt,93,73.33,11,15,E
54,55,55,Ted Tryba,110,73.17,30,41,-0.33
55,56,56,Scott Hoch,84,72.97,27,37,-0.11
56,T57,T57,Steve Allan,88,72.73,8,11,-0.50
57,T57,T57,Kelly Grunewald,66,72.73,8,11,-0.13
58,T57,T57,Kevin Johnson,93,72.73,8,11,-0.25
59,T57,T57,Dicky Pride,78,72.73,16,22,-0.19
60,61,61,Len Mattiace,98,72.0,18,25,-0.22
61,T62,T62,Olin Browne,99,71.43,30,42,-0.33
62,T62,T62,Shigeki Maruyama,98,71.43,25,35,-0.60
63,64,64,Tommy Armour III,93,71.11,32,45,-0.19
64,T65,T65,Doug Barron,62,70.59,12,17,-0.25
65,T65,T65,Scott Dunlap,80,70.59,12,17,-0.33
66,T65,T65,Per-Ulrik Johansson,82,70.59,24,34,-0.50
67,T65,T65,Craig Kanada,80,70.59,12,17,-0.33
68,T65,T65,Jeff Maggert,84,70.59,24,34,-0.17
69,T65,T65,Duffy Waldorf,77,70.59,12,17,-0.17
70,T71,T71,Carl Paulson,93,70.45,31,44,-0.26
71,T71,T71,Kaname Yokoo,81,70.45,31,44,-0.39
72,73,73,Jerry Smith,95,70.27,26,37,-0.42
73,74,74,Grant Waite,78,70.0,28,40,-0.25
74,T75,T75,Steve Flesch,112,69.64,39,56,-0.36
75,T75,T75,Tom Lehman,82,69.64,39,56,-0.31
76,77,77,Tom Scherrer,69,69.57,16,23,-0.31
77,78,78,Marco Dawson,57,69.23,18,26,-0.11
78,79,79,Russ Cochran,76,69.05,29,42,-0.14
79,80,80,Fulton Allem,56,68.75,22,32,-0.05
80,T81,T81,Danny Ellis,76,68.18,30,44,-0.13
81,T81,T81,Brandt Jobe,96,68.18,15,22,-0.13
82,T83,T83,Rocco Mediate,69,67.74,21,31,-0.38
83,T83,T83,Jay Williamson,92,67.74,21,31,+0.10
84,85,85,Briny Baird,106,67.5,27,40,-0.11
85,86,86,Michael Muehr,94,67.44,29,43,-0.17
86,T87,T87,Paul Azinger,79,67.39,31,46,-0.52
87,T87,T87,Tiger Woods,76,67.39,31,46,-0.23
88,89,89,Jesper Parnevik,91,67.24,39,58,-0.33
89,T90,T90,Cameron Beckman,103,66.67,28,42,-0.32
90,T90,T90,Mark Brooks,88,66.67,18,27,-0.22
91,T90,T90,Steve Elkington,64,66.67,16,24,-0.38
92,T90,T90,Brian Gay,114,66.67,20,30,-0.40
93,T90,T90,Paul Gow,79,66.67,10,15,+0.10
94,T90,T90,Mark Hensby,71,66.67,4,6,-0.75
95,T90,T90,Jonathan Kaye,116,66.67,22,33,-0.36
96,T90,T90,Jim McGovern,66,66.67,2,3,E
97,T90,T90,Dennis Paulson,75,66.67,2,3,-0.50
98,T90,T90,Craig Perks,78,66.67,22,33,-0.18
99,T90,T90,Nick Price,74,66.67,30,45,-0.40
100,T90,T90,Rocky Walcher,59,66.67,14,21,-0.36
101,102,102,Tom Pernice Jr.,106,65.96,31,47,-0.13
102,103,103,John Cook,91,65.91,29,44,-0.28
103,104,104,Michael Clark II,87,65.71,23,35,-0.35
104,T105,T105,Joe Ogilvie,110,65.63,21,32,-0.29
105,T105,T105,Garrett Willis,88,65.63,21,32,-0.19
106,107,107,Frank Lickliter II,102,65.52,38,58,-0.26
