,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,T1,T1,Ben Ferguson,76,0.0,,12,E
1,T1,T1,Robert Gamez,59,0.0,,4,E
2,T1,T1,Hunter Haas,78,0.0,,6,E
3,T1,T1,Mark Wiebe,62,0.0,,3,E
4,5,5,Andrew McLardy,75,5.0,1.0,20,+10.00
5,6,6,Kelly Grunewald,66,9.09,1.0,11,E
6,7,7,Tommy Tolles,89,11.11,1.0,9,-10.00
7,8,8,Glen Hnatiuk,104,12.12,4.0,33,-5.00
8,T9,T9,Jeff Hart,87,12.5,4.0,32,-2.50
9,T9,T9,Sean Murphy,70,12.5,1.0,8,-10.00
10,11,11,Woody Austin,99,13.33,4.0,30,E
11,T12,T12,Fred Funk,118,13.64,6.0,44,E
12,T12,T12,Tripp Isenhour,92,13.64,3.0,22,E
13,T12,T12,Shaun Micheel,103,13.64,6.0,44,E
14,T15,T15,Robert Allenby,108,13.79,8.0,58,+1.25
15,T15,T15,Jay Don Blake,100,13.79,8.0,58,E
16,17,17,David Peoples,96,14.29,8.0,56,+1.25
17,18,18,Greg Kraft,105,14.55,8.0,55,-1.25
18,19,19,Joe Durant,80,14.63,6.0,41,E
19,20,20,Bill Glasson,69,14.71,5.0,34,-2.00
20,21,21,Robert Damron,91,15.0,6.0,40,+1.67
21,22,22,Pete Jordan,105,15.63,5.0,32,-6.00
22,23,23,J.J. Henry,86,16.22,6.0,37,+5.00
23,T24,T24,Jeremy Anderson,69,16.67,2.0,12,E
24,T24,T24,Chris Perry,80,16.67,2.0,12,E
25,26,26,Bernhard Langer,62,18.0,9.0,50,-1.11
26,T27,T27,Steve Allan,88,18.18,2.0,11,E
27,T27,T27,Bradley Hughes,96,18.18,6.0,33,-1.67
28,T27,T27,Blaine McCallister,80,18.18,8.0,44,-2.50
29,30,30,Scott Verplank,99,18.46,12.0,65,-0.83
30,T31,T31,Billy Andrade,82,18.75,3.0,16,+6.67
31,T31,T31,Ian Leggatt,84,18.75,6.0,32,-1.67
32,33,33,Lee Porter,93,19.23,5.0,26,-4.00
33,34,34,Brian Henninger,81,19.3,11.0,57,-1.82
34,35,35,Fred Couples,68,19.35,6.0,31,+3.33
35,36,36,David Toms,100,19.61,10.0,51,-2.00
36,T37,T37,Glen Day,89,20.0,11.0,55,-1.82
37,T37,T37,Scott Simpson,73,20.0,5.0,25,+2.00
38,39,39,Skip Kendall,111,20.37,11.0,54,+1.82
39,40,40,John Riegger,86,20.83,10.0,48,+1.00
40,41,41,Joel Edwards,99,20.93,9.0,43,-3.33
41,T42,T42,Gary Nicklaus,96,21.05,4.0,19,E
42,T42,T42,Craig Parry,68,21.05,4.0,19,+2.50
43,44,44,Billy Mayfair,102,21.13,15.0,71,+0.67
44,T45,T45,Mathew Goggin,96,21.43,9.0,42,-1.11
45,T45,T45,Lee Janzen,96,21.43,12.0,56,E
46,47,47,Charles Howell III,89,21.82,12.0,55,-2.50
47,48,48,Kaname Yokoo,81,22.73,10.0,44,E
48,49,49,José Coceres,60,22.81,13.0,57,-2.31
49,T50,T50,Jim Carter,103,23.08,12.0,52,E
50,T50,T50,Marco Dawson,57,23.08,6.0,26,-1.67
51,52,52,Brian Gay,114,23.33,7.0,30,+1.43
52,T53,T53,Doug Barron,62,23.53,4.0,17,-2.50
53,T53,T53,Tom Byrum,85,23.53,8.0,34,+1.25
54,T53,T53,Per-Ulrik Johansson,82,23.53,8.0,34,-1.25
55,T53,T53,Craig Kanada,80,23.53,4.0,17,-5.00
56,T53,T53,Duffy Waldorf,77,23.53,4.0,17,+5.00
57,58,58,Olin Browne,99,23.81,10.0,42,-2.00
58,59,59,Tiger Woods,76,23.91,11.0,46,-0.91
59,60,60,Ted Tryba,110,24.39,10.0,41,+1.00
60,T61,T61,K.J. Choi,95,25.0,3.0,12,E
61,T61,T61,Danny Ellis,76,25.0,11.0,44,-1.82
62,T61,T61,Tim Herron,97,25.0,1.0,4,E
63,T61,T61,Kent Jones,74,25.0,3.0,12,+3.33
64,T61,T61,Tom Lehman,82,25.0,14.0,56,-2.86
65,T61,T61,Mike Sposa,96,25.0,11.0,44,-2.73
66,67,67,Stuart Appleby,105,25.45,14.0,55,-3.57
