,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,,Stuart Appleby,,557,Buick Challenge,4,15,535
1,2,,David Toms,,529,Buick Challenge,1,15,535
2,3,,Charles Howell III,,526,Invensys Classic at Las Vegas,3,16,538
3,4,,Tom Scherrer,,523,Invensys Classic at Las Vegas,3,16,538
4,5,,Chris Smith,,522,Invensys Classic at Las Vegas,3,16,538
5,T6,,Jim Carter,,509,Invensys Classic at Las Vegas,5,16,538
6,T6,,Paul Stankowski,,509,Invensys Classic at Las Vegas,1,16,538
7,T6,,Michael Campbell,,509,Buick Classic,2,2,27
8,9,,Paul Stankowski,,496,Invensys Classic at Las Vegas,4,16,538
9,10,,Harrison Frazar,,476,Buick Classic,2,2,27
10,11,,Rory Sabbatini,,465,Invensys Classic at Las Vegas,5,18,538
11,12,,David Morland IV,,461,National Car Rental Golf Classic Disney,4,18,45
12,13,,Robert Allenby,,459,THE TOUR Championship,4,17,643
13,14,,Bob Tway,,458,National Car Rental Golf Classic Disney,4,18,45
14,15,,John Huston,,454,National Car Rental Golf Classic Disney,4,18,45
15,16,,David Duval,,451,THE TOUR Championship,4,17,643
16,17,,Spike McRoy,,450,Invensys Classic at Las Vegas,3,18,538
17,18,,Tim Herron,,449,Invensys Classic at Las Vegas,1,18,538
18,19,,Kaname Yokoo,,447,Invensys Classic at Las Vegas,2,18,538
19,T20,,Brian Gay,,443,Invensys Classic at Las Vegas,1,18,538
20,T20,,Gabriel Hjertstedt,,443,Invensys Classic at Las Vegas,2,18,538
21,22,,Mark O'Meara,,439,Buick Challenge,4,18,535
22,23,,Robert Gamez,,438,Invensys Classic at Las Vegas,3,18,538
23,24,,Pete Jordan,,436,Invensys Classic at Las Vegas,4,18,538
24,25,,Shigeki Maruyama,,435,Invensys Classic at Las Vegas,4,18,538
25,T26,,Mark O'Meara,,434,Buick Challenge,2,10,535
26,T26,,Carl Paulson,,434,Invensys Classic at Las Vegas,2,18,538
27,T26,,Sergio Garcia,,434,Buick Challenge,2,10,535
28,29,,Nick Cassini,,433,Invensys Classic at Las Vegas,2,18,538
29,30,,Loren Roberts,,430,Buick Challenge,3,17,535
30,T31,,Olin Browne,,425,National Car Rental Golf Classic Disney,2,16,45
31,T31,,Bradley Hughes,,425,National Car Rental Golf Classic Disney,2,16,45
32,T31,,Brent Geiberger,,425,National Car Rental Golf Classic Disney,1,16,45
33,T31,,Carl Paulson,,425,National Car Rental Golf Classic Disney,2,16,45
34,35,,Stephen Ames,,424,Invensys Classic at Las Vegas,4,18,538
35,T36,,Ernie Els,,423,Buick Challenge,2,18,535
36,T36,,Jimmy Green,,423,Invensys Classic at Las Vegas,2,18,538
37,T38,,Kevin Sutherland,,422,Buick Challenge,2,18,535
38,T38,,Mike Weir,,422,THE TOUR Championship,2,17,643
39,T40,,Bob Estes,,419,Buick Challenge,2,10,535
40,T40,,Bob Tway,,419,National Car Rental Golf Classic Disney,4,16,45
41,42,,Andrew Magee,,418,Buick Challenge,1,10,535
42,T43,,Russ Cochran,,416,Buick Challenge,2,10,535
43,T43,,Jeff Maggert,,416,Buick Challenge,2,10,535
44,T43,,Kevin Sutherland,,416,Buick Challenge,1,10,535
45,T46,,Kevin Sutherland,,414,Buick Challenge,2,10,535
46,T46,,Steve Flesch,,414,Invensys Classic at Las Vegas,4,16,538
47,T46,,Brent Geiberger,,414,Buick Challenge,4,10,535
48,T49,,Mark Calcavecchia,,413,THE TOUR Championship,4,15,643
49,T49,,Glen Hnatiuk,,413,Buick Challenge,2,10,535
50,T51,,Neal Lancaster,,412,Buick Challenge,2,15,535
51,T51,,Justin Leonard,,412,Buick Challenge,2,10,535
52,53,,Jeff Sluman,,411,Buick Challenge,2,10,535
53,T54,,Chris Smith,,410,Buick Challenge,2,17,535
54,T54,,Rory Sabbatini,,410,Buick Challenge,4,17,535
55,56,,Mike Weir,,409,National Car Rental Golf Classic Disney,4,11,45
56,57,,Bob Tway,,408,Buick Challenge,1,17,535
57,T58,,Davis Love III,,407,Buick Challenge,4,10,535
58,T58,,Billy Mayfair,,407,National Car Rental Golf Classic Disney,3,11,45
59,T58,,Kaname Yokoo,,407,National Car Rental Golf Classic Disney,3,11,45
60,61,,José Coceres,,405,Buick Challenge,1,10,535
61,62,,Carl Paulson,,402,National Car Rental Golf Classic Disney,4,16,45
62,63,,Andrew Magee,,400,Buick Challenge,4,17,535
