,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,Joe Durant,80,81.1,884,1090
1,2,2,Glen Hnatiuk,104,77.82,1098,1411
2,3,3,Fred Funk,118,77.2,1263,1636
3,4,4,John Cook,91,76.59,942,1230
4,5,5,Billy Mayfair,102,76.53,1027,1342
5,6,6,Olin Browne,99,75.84,1017,1341
6,7,7,Jim Furyk,88,75.7,913,1206
7,8,8,Tom Byrum,85,75.61,896,1185
8,9,9,José Coceres,60,75.58,582,770
9,10,10,Brian Gay,114,75.55,1162,1538
10,11,11,Hal Sutton,96,75.43,1004,1331
11,12,12,Kirk Triplett,88,75.32,876,1163
12,13,13,Scott Verplank,99,75.23,981,1304
13,14,14,Jeff Hart,87,74.51,883,1185
14,15,15,Mark Brooks,88,74.27,892,1201
15,16,16,Blaine McCallister,80,74.24,827,1114
16,17,17,Craig Parry,68,74.15,654,882
17,18,18,Pete Jordan,105,74.03,1063,1436
18,19,19,Scott Hoch,84,73.93,845,1143
19,20,20,Brent Schwarzrock,63,73.83,649,879
20,21,21,Joel Edwards,99,73.71,1018,1381
21,22,22,Skip Kendall,111,73.49,1106,1505
22,23,23,Carl Paulson,93,73.47,936,1274
23,24,24,Jim Carter,103,73.13,1037,1418
24,25,25,Sergio Garcia,64,73.05,572,783
25,26,26,Corey Pavin,72,72.97,691,947
26,27,27,Robert Damron,91,72.95,925,1268
27,28,28,Jean Van de Velde,52,72.88,438,601
28,29,29,Glen Day,89,72.63,849,1169
29,30,30,Esteban Toledo,116,72.52,1153,1590
30,31,31,Fulton Allem,56,72.38,566,782
31,32,32,Paul Goydos,86,72.31,846,1170
32,33,33,Bradley Hughes,96,72.23,947,1311
33,T34,T34,Richie Coughlan,66,72.14,663,919
34,T34,T34,Frank Nobilo,91,72.14,896,1242
35,36,36,John Riegger,86,72.08,844,1171
36,37,37,Jay Don Blake,100,72.03,963,1337
37,38,38,Lee Porter,93,71.95,903,1255
38,39,39,Larry Mize,76,71.87,741,1031
39,40,40,Nick Price,74,71.84,704,980
40,41,41,Jeff Maggert,84,71.53,819,1145
41,42,42,David Toms,100,71.37,930,1303
42,43,43,Donnie Hammond,51,71.29,504,707
43,44,44,Chris Riley,104,71.22,995,1397
44,45,45,Scott Dunlap,80,71.04,785,1105
45,46,46,Jay Haas,75,71.03,711,1001
46,T47,T47,Dan Forsman,81,71.02,772,1087
47,T47,T47,Loren Roberts,84,71.02,794,1118
48,49,49,Robert Gamez,59,71.01,583,821
49,50,50,Russ Cochran,76,70.98,724,1020
50,51,51,Rocco Mediate,69,70.96,677,954
51,52,52,Dicky Pride,78,70.93,771,1087
52,T53,T53,"David Berganio, Jr.",76,70.91,724,1021
53,T53,T53,Steve Lowery,100,70.91,953,1344
54,55,55,David Peoples,96,70.88,920,1298
55,56,56,Charles Howell III,89,70.83,840,1186
56,57,57,Brent Geiberger,84,70.82,779,1100
57,58,58,J.J. Henry,86,70.71,828,1171
58,59,59,Kent Jones,74,70.54,728,1032
59,60,60,Justin Leonard,106,70.49,958,1359
60,61,61,Frank Lickliter II,102,70.48,962,1365
61,62,62,Briny Baird,106,70.47,1012,1436
62,63,63,Bob Tway,109,70.3,1039,1478
63,64,64,Stephen Ames,88,70.19,824,1174
64,65,65,Brandel Chamblee,77,70.13,716,1021
65,66,66,Per-Ulrik Johansson,82,70.06,784,1119
66,67,67,Mark Hensby,71,70.03,694,991
67,68,68,Bob Burns,92,70.02,869,1241
68,69,69,Robert Allenby,108,70.0,1001,1430
69,70,70,Jonathan Kaye,116,69.96,1092,1561
70,71,71,J.P. Hayes,76,69.79,700,1003
71,72,72,Jeff Brehaut,80,69.77,750,1075
72,73,73,Ben Bates,53,69.69,515,739
73,74,74,Mike Sposa,96,69.64,906,1301
74,75,75,Rich Beem,91,69.6,863,1240
75,76,76,Chris Perry,80,69.59,746,1072
76,77,77,Steve Elkington,64,69.45,573,825
77,78,78,Phil Mickelson,85,69.38,750,1081
78,79,79,Bill Glasson,69,69.34,631,910
79,80,80,Kaname Yokoo,81,69.29,785,1133
80,81,81,Tommy Armour III,93,69.16,877,1268
81,82,82,Greg Chalmers,92,69.13,860,1244
82,83,83,Jay Williamson,92,69.11,868,1256
83,84,84,Tripp Isenhour,92,68.98,856,1241
84,T85,T85,Neal Lancaster,107,68.97,1009,1463
