,Driving_Pct._300_All_Drives_RANK THIS WEEK,Driving_Pct._300_All_Drives_RANK LAST WEEK,Driving_Pct._300_All_Drives_PLAYER NAME,Driving_Pct._300_All_Drives_ROUNDS,Driving_Pct._300_All_Drives_%,Driving_Pct._300_All_Drives_TOTAL DRIVES FOR 300+,Driving_Pct._300_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._300_All_Drives_RELATIVE TO PAR
0,T1,T1,Rich Beem,91,75.0,3.0,4,-0.333
1,T1,T1,Tim Herron,97,75.0,3.0,4,-0.333
2,3,3,John Daly,84,66.67,16.0,24,-0.375
3,T4,T4,Steve Allan,88,50.0,6.0,12,-0.333
4,T4,T4,Dennis Paulson,75,50.0,2.0,4,-0.500
5,6,6,Tiger Woods,76,45.83,22.0,48,-0.136
6,7,7,Sergio Garcia,64,41.03,16.0,39,-0.313
7,8,8,Hunter Haas,78,40.0,4.0,10,+0.250
8,T9,T9,Paul Gow,79,37.5,6.0,16,E
9,T9,T9,Brian Wilson,88,37.5,12.0,32,-0.417
10,11,11,Rory Sabbatini,73,36.84,21.0,57,-0.190
11,T12,T12,Kevin Johnson,93,36.36,4.0,11,-0.750
12,T12,T12,Geoff Ogilvy,60,36.36,8.0,22,-0.125
13,14,14,Kevin Sutherland,101,35.56,16.0,45,-0.375
14,15,15,Brent Geiberger,84,34.29,12.0,35,-0.167
15,T16,T16,K.J. Choi,95,33.33,4.0,12,E
16,T16,T16,Ben Ferguson,76,33.33,4.0,12,+0.250
17,T16,T16,Jason Gore,82,33.33,7.0,21,-0.286
18,T16,T16,Cliff Kresge,84,33.33,4.0,12,+0.500
19,T16,T16,Chris Perry,80,33.33,4.0,12,E
20,T16,T16,Mark Wiebe,62,33.33,1.0,3,E
21,22,22,Kenny Perry,94,32.86,23.0,70,-0.174
22,23,23,Steve Stricker,73,32.14,9.0,28,+0.444
23,24,24,Robert Allenby,108,31.67,19.0,60,-0.211
24,25,25,Craig Parry,68,31.58,6.0,19,E
25,T26,T26,Marco Dawson,57,30.77,8.0,26,-0.125
26,T26,T26,Ernie Els,70,30.77,12.0,39,-0.250
27,T28,T28,Chris Smith,101,30.43,7.0,23,-0.286
28,T28,T28,Kaname Yokoo,81,30.43,14.0,46,-0.429
