,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Joe Durant,80,89.89,1005,1118
1,2,2,Glen Hnatiuk,104,89.16,1258,1411
2,3,3,John Cook,91,89.02,1095,1230
3,4,4,Kirk Triplett,88,88.82,1033,1163
4,5,5,Hal Sutton,96,88.58,1179,1331
5,6,6,Olin Browne,99,88.52,1187,1341
6,7,7,Brent Schwarzrock,63,88.05,774,879
7,8,8,Charles Howell III,89,88.03,1044,1186
8,9,9,Donnie Hammond,51,87.55,619,707
9,10,10,Bob Tway,109,87.42,1292,1478
10,T11,T11,Bradley Hughes,96,87.11,1142,1311
11,T11,T11,Skip Kendall,111,87.11,1311,1505
12,13,13,Fred Funk,118,87.1,1425,1636
13,14,14,Frank Nobilo,91,87.04,1081,1242
14,15,15,Craig Parry,68,86.96,767,882
15,16,16,Brandt Jobe,96,86.72,1136,1310
16,17,17,Stephen Ames,88,86.71,1018,1174
17,18,18,Kenny Perry,94,86.69,1075,1240
18,19,19,Joel Edwards,99,86.68,1197,1381
19,20,20,Jeff Hart,87,86.67,1027,1185
20,21,21,David Peoples,96,86.59,1124,1298
21,22,22,Fulton Allem,56,86.57,677,782
22,23,23,Rocco Mediate,69,86.47,837,968
23,24,24,Brian Gay,114,86.4,1353,1566
24,25,25,"David Berganio, Jr.",76,86.39,882,1021
25,26,26,Blaine McCallister,80,86.36,962,1114
26,27,27,Briny Baird,106,86.35,1240,1436
27,28,28,Jim Carter,103,86.32,1224,1418
28,T29,T29,Scott McCarron,98,86.29,1133,1313
29,T29,T29,Esteban Toledo,116,86.29,1372,1590
30,31,31,Pete Jordan,105,86.28,1239,1436
31,32,32,Chris Smith,101,86.23,1165,1351
32,33,33,Jay Haas,75,86.21,863,1001
33,34,34,John Riegger,86,86.17,1009,1171
34,35,35,Jeff Brehaut,80,86.14,926,1075
35,36,36,Lee Porter,93,86.06,1080,1255
36,37,37,Tom Lehman,82,85.94,941,1095
37,38,38,Rich Beem,91,85.89,1065,1240
38,39,39,Robert Damron,91,85.8,1088,1268
39,40,40,J.J. Henry,86,85.74,1004,1171
40,41,41,Chris Perry,80,85.73,931,1086
41,42,42,Cameron Beckman,103,85.71,1182,1379
42,43,43,Russ Cochran,76,85.69,874,1020
43,44,44,Jim Furyk,88,85.66,1057,1234
44,T45,T45,Neal Lancaster,107,85.65,1253,1463
45,T45,T45,Larry Mize,76,85.65,883,1031
46,47,47,Tom Byrum,85,85.57,1014,1185
47,48,48,Glen Day,89,85.54,1000,1169
48,49,49,Scott Verplank,99,85.51,1163,1360
49,50,50,Spike McRoy,95,85.32,1081,1267
50,T51,T51,Woody Austin,99,85.27,1129,1324
51,T51,T51,Kent Jones,74,85.27,880,1032
52,53,53,Tommy Armour III,93,85.25,1081,1268
