,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
121,T121,T121,Joe Durant,80,2.44,1.0,41,E
122,123,123,Jim Furyk,88,2.38,1.0,42,+1.000
123,T124,T124,Stewart Cink,102,2.33,2.0,86,+0.500
124,T124,T124,Joel Edwards,99,2.33,1.0,43,E
125,T124,T124,Mathew Goggin,96,2.33,1.0,43,E
126,T127,T127,Kevin Sutherland,101,2.22,1.0,45,+1.000
127,T127,T127,Ted Tryba,110,2.22,1.0,45,E
128,129,129,Tommy Armour III,93,2.17,1.0,46,E
129,130,130,J.L. Lewis,108,2.0,1.0,50,E
130,131,131,Bernhard Langer,62,1.96,1.0,51,E
131,T132,T132,Charles Howell III,89,1.75,1.0,57,-1.000
132,T132,T132,Rory Sabbatini,73,1.75,1.0,57,E
133,134,134,Jesper Parnevik,91,1.72,1.0,58,+2.000
134,135,135,Robert Allenby,108,1.67,1.0,60,E
135,136,136,Scott Verplank,99,1.54,1.0,65,E
136,137,137,Davis Love III,75,1.19,1.0,84,-1.000
137,T138,T138,Billy Andrade,82,0.0,,16,E
138,T138,T138,Cameron Beckman,103,0.0,,44,E
139,T138,T138,Rich Beem,91,0.0,,4,E
140,T138,T138,Mark Calcavecchia,81,0.0,,32,E
141,T138,T138,Greg Chalmers,92,0.0,,20,E
142,T138,T138,K.J. Choi,95,0.0,,12,E
143,T138,T138,Russ Cochran,76,0.0,,44,E
144,T138,T138,John Daly,84,0.0,,24,E
145,T138,T138,Doug Dunakey,83,0.0,,22,E
146,T138,T138,David Duval,78,0.0,,52,E
147,T138,T138,Steve Elkington,64,0.0,,24,E
148,T138,T138,Danny Ellis,76,0.0,,46,E
149,T138,T138,Ernie Els,70,0.0,,39,E
150,T138,T138,Robin Freeman,105,0.0,,24,E
151,T138,T138,Robert Gamez,59,0.0,,4,E
152,T138,T138,Paul Gow,79,0.0,,16,E
153,T138,T138,Tim Herron,97,0.0,,4,E
154,T138,T138,Steve Jones,75,0.0,,16,E
155,T138,T138,Craig Kanada,80,0.0,,20,E
156,T138,T138,Jerry Kelly,104,0.0,,19,E
157,T138,T138,Len Mattiace,98,0.0,,25,E
158,T138,T138,Jim McGovern,66,0.0,,4,E
159,T138,T138,Rocco Mediate,69,0.0,,32,E
160,T138,T138,Sean Murphy,70,0.0,,8,E
161,T138,T138,Joe Ogilvie,110,0.0,,32,E
162,T138,T138,Craig Parry,68,0.0,,19,E
163,T138,T138,Steve Pate,89,0.0,,24,E
164,T138,T138,David Peoples,96,0.0,,57,E
165,T138,T138,Tom Pernice Jr.,106,0.0,,48,E
166,T138,T138,Chris Riley,104,0.0,,32,E
167,T138,T138,Scott Simpson,73,0.0,,25,E
168,T138,T138,Chris Smith,101,0.0,,23,E
169,T138,T138,Hal Sutton,96,0.0,,40,E
170,T138,T138,Tommy Tolles,89,0.0,,10,E
171,T138,T138,Mike Weir,86,0.0,,49,E
172,T138,T138,Mark Wiebe,62,0.0,,3,E
173,T138,T138,Tiger Woods,76,0.0,,48,E
