,Driving_Pct._260-280_Measured_RANK THIS WEEK,Driving_Pct._260-280_Measured_RANK LAST WEEK,Driving_Pct._260-280_Measured_PLAYER NAME,Driving_Pct._260-280_Measured_ROUNDS,Driving_Pct._260-280_Measured_%,Driving_Pct._260-280_Measured_TOTAL DRIVES FOR 260-280,Driving_Pct._260-280_Measured_TOTAL DRVS - OVERALL,Driving_Pct._260-280_Measured_RELATIVE TO PAR
0,1,1,Len Mattiace,98,80.0,8.0,10,-0.13
1,2,2,Spike McRoy,95,78.57,11.0,14,-0.36
2,3,3,Kent Jones,74,66.67,4.0,6,E
3,4,4,Rocky Walcher,59,62.5,5.0,8,-0.40
4,5,5,Steve Pate,89,60.0,6.0,10,-0.33
5,6,6,Frank Nobilo,91,58.33,7.0,12,-0.43
6,7,7,Brian Gay,114,57.14,8.0,14,-0.25
7,8,8,John Riegger,86,55.56,10.0,18,-0.30
8,T9,T9,Jeremy Anderson,69,50.0,3.0,6,-0.33
9,T9,T9,Cameron Beckman,103,50.0,9.0,18,-0.33
10,T9,T9,Doug Dunakey,83,50.0,5.0,10,-0.60
11,T9,T9,Steve Elkington,64,50.0,4.0,8,-0.50
12,T9,T9,Mathew Goggin,96,50.0,8.0,16,-0.38
13,T9,T9,Jeff Hart,87,50.0,7.0,14,-0.14
14,T9,T9,Jim McGovern,66,50.0,1.0,2,+3.00
15,T9,T9,Corey Pavin,72,50.0,2.0,4,-1.00
16,T9,T9,Lee Porter,93,50.0,5.0,10,E
17,T9,T9,Nick Price,74,50.0,8.0,16,-0.50
18,T9,T9,Chris Tidland,83,50.0,3.0,6,+0.67
19,T20,T20,Glen Day,89,45.45,10.0,22,-0.20
20,T20,T20,Bob Tway,109,45.45,10.0,22,+0.10
21,T22,T22,Fred Funk,118,44.44,8.0,18,E
22,T22,T22,Andrew Magee,97,44.44,8.0,18,-0.38
23,T22,T22,Blaine McCallister,80,44.44,8.0,18,-0.50
24,T25,T25,Briny Baird,106,43.75,7.0,16,-0.14
25,T25,T25,Bernhard Langer,62,43.75,7.0,16,+0.29
26,T27,T27,Joe Durant,80,42.86,6.0,14,-0.67
27,T27,T27,David Frost,87,42.86,6.0,14,E
28,T27,T27,Mark O'Meara,69,42.86,6.0,14,-0.67
29,T27,T27,Joe Ogilvie,110,42.86,6.0,14,-0.17
30,T31,T31,Mark Brooks,88,41.67,5.0,12,-0.40
31,T31,T31,Larry Mize,76,41.67,5.0,12,E
32,T31,T31,Garrett Willis,88,41.67,5.0,12,-0.60
33,T34,T34,Brian Henninger,81,40.91,9.0,22,-0.33
34,T34,T34,David Peoples,96,40.91,9.0,22,-0.44
35,T34,T34,Jeff Sluman,106,40.91,9.0,22,-0.22
36,T37,T37,Mark Calcavecchia,81,40.0,4.0,10,-0.50
37,T37,T37,Greg Chalmers,92,40.0,4.0,10,E
38,T37,T37,Matt Gogel,83,40.0,4.0,10,E
39,T37,T37,Tripp Isenhour,92,40.0,4.0,10,-0.50
40,T37,T37,Frank Lickliter II,102,40.0,8.0,20,-0.38
41,T37,T37,Kirk Triplett,88,40.0,4.0,10,-0.25
42,T43,T43,Russ Cochran,76,38.89,7.0,18,+0.29
43,T43,T43,John Cook,91,38.89,7.0,18,-0.14
44,T43,T43,Joel Edwards,99,38.89,7.0,18,-0.71
45,T46,T46,Doug Barron,62,37.5,3.0,8,-0.33
46,T46,T46,Scott Dunlap,80,37.5,3.0,8,-0.67
47,T46,T46,Carlos Franco,87,37.5,3.0,8,-0.33
48,T46,T46,Paul Gow,79,37.5,3.0,8,E
49,T46,T46,John Huston,64,37.5,3.0,8,-0.33
50,T46,T46,Jerry Kelly,104,37.5,3.0,8,E
51,T46,T46,Duffy Waldorf,77,37.5,3.0,8,+0.67
52,53,53,Chris DiMarco,108,36.67,11.0,30,-0.64
53,T54,T54,Bob Estes,91,36.36,8.0,22,-0.75
54,T54,T54,Greg Kraft,105,36.36,8.0,22,-0.75
55,T54,T54,Jesper Parnevik,91,36.36,8.0,22,-0.88
56,T57,T57,Brent Geiberger,84,35.71,5.0,14,+0.40
57,T57,T57,Bradley Hughes,96,35.71,5.0,14,-0.80
58,T57,T57,Craig Perks,78,35.71,5.0,14,-0.20
59,T60,T60,Billy Andrade,82,33.33,2.0,6,-0.50
60,T60,T60,Olin Browne,99,33.33,6.0,18,-0.50
61,T60,T60,Brandel Chamblee,77,33.33,2.0,6,E
62,T60,T60,Keith Clearwater,62,33.33,2.0,6,E
63,T60,T60,Richie Coughlan,66,33.33,2.0,6,+1.00
64,T60,T60,Hunter Haas,78,33.33,2.0,6,E
65,T60,T60,Glen Hnatiuk,104,33.33,4.0,12,-0.75
66,T60,T60,Steve Jones,75,33.33,2.0,6,+0.50
67,T60,T60,Andrew McLardy,75,33.33,3.0,9,+0.67
68,T60,T60,Michael Muehr,94,33.33,6.0,18,-0.83
69,T60,T60,Loren Roberts,84,33.33,4.0,12,-0.25
70,T60,T60,Hal Sutton,96,33.33,4.0,12,-0.25
71,T60,T60,Tommy Tolles,89,33.33,2.0,6,-1.00
72,T60,T60,Grant Waite,78,33.33,6.0,18,+0.17
73,T60,T60,Jay Williamson,92,33.33,4.0,12,-0.25
74,T75,T75,Skip Kendall,111,31.82,7.0,22,-0.57
75,T75,T75,Scott Verplank,99,31.82,7.0,22,-0.14
76,T77,T77,Robert Damron,91,31.25,5.0,16,E
77,T77,T77,Brad Faxon,95,31.25,5.0,16,-0.80
78,79,79,Steve Lowery,100,30.77,8.0,26,-0.50
79,T80,T80,Craig Kanada,80,30.0,3.0,10,-0.33
80,T80,T80,Gary Nicklaus,96,30.0,3.0,10,-0.33
81,T80,T80,Dicky Pride,78,30.0,3.0,10,E
82,T80,T80,Tom Scherrer,69,30.0,3.0,10,-0.33
83,T80,T80,Scott Simpson,73,30.0,3.0,10,-0.33
84,T85,T85,Tom Byrum,85,28.57,4.0,14,-0.50
85,T85,T85,Michael Clark II,87,28.57,4.0,14,-1.25
86,T85,T85,Jim Furyk,88,28.57,4.0,14,-0.50
87,T85,T85,Bill Glasson,69,28.57,4.0,14,-0.75
88,T85,T85,Paul Goydos,86,28.57,4.0,14,-0.50
89,T85,T85,Per-Ulrik Johansson,82,28.57,4.0,14,-0.75
90,T85,T85,Pete Jordan,105,28.57,4.0,14,-0.75
91,T85,T85,Neal Lancaster,107,28.57,4.0,14,-0.75
92,T85,T85,Ian Leggatt,84,28.57,4.0,14,-0.50
93,T85,T85,Shigeki Maruyama,98,28.57,4.0,14,-1.00
94,T95,T95,Danny Ellis,76,27.78,5.0,18,-0.20
95,T95,T95,Kevin Sutherland,101,27.78,5.0,18,-0.40
96,T95,T95,David Toms,100,27.78,5.0,18,-0.40
97,T95,T95,Ted Tryba,110,27.78,5.0,18,+0.60
98,T95,T95,Kaname Yokoo,81,27.78,5.0,18,-0.40
99,100,100,Justin Leonard,106,27.27,6.0,22,E
100,101,101,Billy Mayfair,102,26.92,7.0,26,-0.14
101,102,102,Stewart Cink,102,26.67,8.0,30,-0.13
102,T103,T103,K.J. Choi,95,25.0,1.0,4,E
103,T103,T103,Ernie Els,70,25.0,3.0,12,-0.33
104,T103,T103,Harrison Frazar,88,25.0,2.0,8,+0.50
105,T103,T103,Sergio Garcia,64,25.0,3.0,12,-0.33
106,T103,T103,Scott Hoch,84,25.0,3.0,12,+0.33
107,T103,T103,Sean Murphy,70,25.0,1.0,4,E
108,T103,T103,Vijay Singh,98,25.0,6.0,24,-0.67
109,T103,T103,Esteban Toledo,116,25.0,3.0,12,-0.33
110,111,111,Lee Janzen,96,22.73,5.0,22,-0.60
111,T112,T112,Tommy Armour III,93,22.22,4.0,18,-0.25
112,T112,T112,J.L. Lewis,108,22.22,4.0,18,+0.25
113,T112,T112,Tom Pernice Jr.,106,22.22,4.0,18,+0.25
114,T112,T112,Mike Sposa,96,22.22,4.0,18,-0.75
115,T116,T116,Fulton Allem,56,21.43,3.0,14,E
116,T116,T116,Woody Austin,99,21.43,3.0,14,-0.33
117,T116,T116,Jimmy Green,94,21.43,3.0,14,-0.33
118,T116,T116,J.J. Henry,86,21.43,3.0,14,-0.67
119,T116,T116,Jonathan Kaye,116,21.43,3.0,14,-0.33
120,T116,T116,Jeff Maggert,84,21.43,3.0,14,-0.33
121,T116,T116,Chris Riley,104,21.43,3.0,14,-0.67
122,T116,T116,Jerry Smith,95,21.43,3.0,14,-0.67
123,T116,T116,Brian Wilson,88,21.43,3.0,14,-0.67
124,T125,T125,"David Berganio, Jr.",76,20.0,2.0,10,-1.00
